, LIBBY DAM, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, NOXON RAPIDS DAM, ALBENI FALLS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, SPOKANE RIV AT LONGLAKE, GRAND COULEE DAM, GRAND COULEE DAM, FEEDER CANAL AT GRANDCOULEE, GRAND COULEE DAM, GRAND COULEE DAM, CHIEF JOSEPH DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, WELLS DAM, no designation found, no designation found, ROCKY REACH DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, no designation found, no designation found, PRIEST RAPIDS DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, RIMROCK LAKE, NACHES RIVER NR CLIFFDEL, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, RIRIE DAM, SNAKE RIVER NR SHELLEY, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, OWYHEE DAM, LUCKY PEAK RESERVOIR, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, BULLY CREEK DAM & RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, CASCADE DAM, DEADWOOD DAM, DEADWOOD DAM, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, BROWNLEE DAM, SNAKE R @HELLS CANYON DAM, SNAKE R @HELLS CANYON DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LOWER GRANITE DAM, LITTLE GOOSE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, ICE HARBOR DAM, PRIEST RAPIDS DAM, YAKIMA RIVER AT KIONA, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, THE DALLES, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM, BONNEVILLE DAM
2002-11-13,3481.0,4800.0,5701.0,872.0,2450.0,3689.0,199.0,250.0,465.0,196.0,499.0,1205.0,651.0,2033.0,2567.0,4367.0,7925.0,2567.0,10210.0,10210.0,11612.0,15250.0,1523.0,1470.0,2650.0,2650.0,87284.0,237.0,2650.0,92827.0,92827.0,0.0,90000.0,90000.0,90608.0,90608.0,826.0,298.0,91517.0,91517.0,399.0,2200.0,93703.0,93703.0,1410.0,99679.0,99679.0,99277.0,99277.0,222.0,100.0,165.0,269.0,422.0,250.0,583.0,30.0,892.0,78.0,120.0,282.0,164.0,50.0,282.0,352.0,892.0,352.0,1286.0,1924.0,319.0,80.0,484.0,1252.0,1252.0,406.0,1502.0,273.0,280.0,1389.0,2006.0,1050.0,1472.0,18.0,2.0,1502.0,1472.0,2481.0,2.0,2651.0,2651.0,2473.0,2450.0,4942.0,350.0,669.0,75.0,7788.0,255.0,20.0,240.0,333.0,51.0,1.0,64.0,4.0,2.0,2.0,1.0,4.0,2.0,83.0,283.0,200.0,74.0,50.0,200.0,50.0,1108.0,7788.0,20.0,333.0,1108.0,145.0,10507.0,10507.0,11109.0,8000.0,8679.0,8679.0,3848.0,828.0,13749.0,1204.0,1500.0,1416.0,3336.0,13749.0,3336.0,17085.0,17085.0,17085.0,17085.0,17181.0,17181.0,17181.0,17181.0,99277.0,1924.0,17181.0,107.0,113812.0,113812.0,86.0,109.0,0.0,252.0,344.0,117293.0,117293.0,4768.0,118169.0,118169.0,118169.0,803.0,587.0,682.0,123685.0,123685.0
2002-11-14,3259.0,4800.0,5717.0,479.0,2450.0,3827.0,199.0,250.0,469.0,196.0,479.0,1182.0,642.0,1995.0,2568.0,4487.0,8700.0,2568.0,10849.0,10849.0,12388.0,16025.0,1244.0,1470.0,2632.0,2632.0,87041.0,237.0,2632.0,89429.0,89429.0,0.0,90000.0,90000.0,90000.0,90000.0,820.0,299.0,91132.0,91132.0,400.0,2200.0,93400.0,93400.0,1658.0,100126.0,100126.0,100147.0,100147.0,171.0,100.0,104.0,265.0,335.0,250.0,600.0,26.0,907.0,76.0,120.0,277.0,149.0,50.0,277.0,234.0,907.0,234.0,1356.0,1996.0,319.0,80.0,493.0,1258.0,1258.0,404.0,1505.0,272.0,280.0,1375.0,2027.0,1050.0,1467.0,18.0,2.0,1505.0,1467.0,2471.0,2.0,2626.0,2626.0,2498.0,2522.0,5062.0,350.0,722.0,75.0,7802.0,240.0,20.0,240.0,361.0,67.0,1.0,64.0,4.0,7.0,2.0,1.0,4.0,2.0,86.0,284.0,200.0,61.0,50.0,200.0,50.0,1101.0,7802.0,20.0,361.0,1101.0,151.0,10805.0,10805.0,11204.0,8000.0,8676.0,8676.0,3822.0,774.0,13378.0,1220.0,1500.0,1483.0,3380.0,13378.0,3380.0,16758.0,16758.0,16758.0,16758.0,16855.0,16855.0,16855.0,16855.0,100147.0,1996.0,16855.0,114.0,118814.0,118814.0,88.0,109.0,4.0,258.0,318.0,121753.0,121753.0,4646.0,122048.0,122048.0,122048.0,776.0,623.0,661.0,123802.0,123802.0
2002-11-15,3215.0,4800.0,5694.0,291.0,2450.0,3741.0,199.0,249.0,468.0,195.0,473.0,1176.0,628.0,1968.0,2538.0,4435.0,9438.0,2538.0,11645.0,11645.0,12948.0,15665.0,1209.0,1516.0,2628.0,2628.0,89121.0,239.0,2628.0,91675.0,91675.0,0.0,88125.0,88125.0,88750.0,88750.0,821.0,300.0,90142.0,90142.0,400.0,2200.0,92663.0,92663.0,1074.0,98893.0,98893.0,98990.0,98990.0,147.0,100.0,66.0,264.0,178.0,250.0,595.0,24.0,902.0,67.0,120.0,270.0,137.0,50.0,270.0,166.0,902.0,166.0,1320.0,2058.0,318.0,80.0,500.0,1259.0,1259.0,399.0,1511.0,272.0,280.0,1341.0,2009.0,1050.0,1466.0,18.0,2.0,1511.0,1466.0,2493.0,2.0,2640.0,2640.0,2508.0,2543.0,5102.0,350.0,769.0,75.0,7859.0,233.0,20.0,240.0,363.0,71.0,1.0,65.0,4.0,3.0,2.0,1.0,4.0,2.0,90.0,285.0,200.0,49.0,50.0,200.0,50.0,1083.0,7859.0,20.0,363.0,1083.0,168.0,10771.0,10771.0,11237.0,8000.0,8673.0,8673.0,3842.0,722.0,13342.0,1137.0,1500.0,1467.0,3422.0,13342.0,3422.0,16764.0,16764.0,16764.0,16764.0,16864.0,16864.0,16864.0,16864.0,98990.0,2058.0,16864.0,120.0,118892.0,118892.0,89.0,109.0,1.0,253.0,298.0,122345.0,122345.0,4613.0,122764.0,122764.0,122764.0,762.0,430.0,627.0,124772.0,124772.0
2002-11-16,3115.0,4800.0,5691.0,272.0,2450.0,3670.0,198.0,249.0,467.0,195.0,464.0,1168.0,621.0,1946.0,2507.0,4306.0,9600.0,2507.0,12359.0,12359.0,13940.0,13940.0,1393.0,1765.0,2742.0,2742.0,89770.0,241.0,2742.0,92880.0,92880.0,0.0,77500.0,77500.0,80000.0,80000.0,825.0,300.0,82276.0,82276.0,400.0,2200.0,85720.0,85720.0,798.0,92555.0,92555.0,92970.0,92970.0,160.0,100.0,87.0,266.0,139.0,250.0,598.0,29.0,911.0,76.0,120.0,275.0,149.0,50.0,275.0,170.0,911.0,170.0,1278.0,2056.0,318.0,80.0,502.0,1256.0,1256.0,397.0,1510.0,271.0,280.0,1307.0,1974.0,1050.0,1465.0,18.0,2.0,1510.0,1465.0,2501.0,2.0,2647.0,2647.0,2518.0,2555.0,5113.0,350.0,764.0,76.0,7948.0,232.0,20.0,240.0,365.0,79.0,1.0,64.0,4.0,7.0,2.0,1.0,4.0,2.0,91.0,282.0,200.0,45.0,50.0,200.0,50.0,1054.0,7948.0,20.0,365.0,1054.0,164.0,10788.0,10788.0,11247.0,8000.0,8671.0,8671.0,3820.0,641.0,13287.0,1135.0,1500.0,1439.0,3379.0,13287.0,3379.0,16665.0,16665.0,16665.0,16665.0,16767.0,16767.0,16767.0,16767.0,92970.0,2056.0,16767.0,123.0,116394.0,116394.0,88.0,109.0,3.0,252.0,284.0,120386.0,120386.0,4618.0,120910.0,120910.0,120910.0,770.0,473.0,600.0,122963.0,122963.0
2002-11-17,3090.0,4800.0,5696.0,268.0,2450.0,3641.0,198.0,248.0,466.0,194.0,468.0,1175.0,631.0,1956.0,2491.0,4447.0,9600.0,2491.0,12639.0,12639.0,14760.0,14760.0,1556.0,1928.0,3089.0,3089.0,90037.0,240.0,3089.0,93299.0,93299.0,0.0,76250.0,76250.0,72500.0,72500.0,829.0,301.0,72389.0,72389.0,400.0,2200.0,73787.0,73787.0,814.0,78794.0,78794.0,78998.0,78998.0,161.0,100.0,97.0,270.0,138.0,250.0,601.0,30.0,922.0,77.0,120.0,276.0,152.0,50.0,276.0,172.0,922.0,172.0,1293.0,2040.0,317.0,80.0,505.0,1254.0,1254.0,397.0,1505.0,271.0,280.0,1292.0,1944.0,1050.0,1464.0,18.0,2.0,1505.0,1464.0,2505.0,2.0,2643.0,2643.0,2515.0,2563.0,5124.0,350.0,760.0,76.0,8041.0,239.0,20.0,240.0,365.0,97.0,1.0,64.0,4.0,10.0,2.0,1.0,4.0,2.0,90.0,288.0,200.0,45.0,50.0,200.0,50.0,1050.0,8041.0,20.0,365.0,1050.0,166.0,10852.0,10852.0,11301.0,8000.0,8668.0,8668.0,3822.0,662.0,13223.0,1275.0,1500.0,1459.0,3400.0,13223.0,3400.0,16623.0,16623.0,16623.0,16623.0,16728.0,16728.0,16728.0,16728.0,78998.0,2040.0,16728.0,124.0,106301.0,106301.0,91.0,109.0,6.0,250.0,304.0,111819.0,111819.0,4628.0,112700.0,112700.0,112700.0,778.0,595.0,579.0,115632.0,115632.0
2002-11-18,3028.0,4800.0,5699.0,267.0,2450.0,3632.0,197.0,248.0,465.0,194.0,464.0,1167.0,624.0,1934.0,2494.0,4357.0,9600.0,2494.0,12666.0,12666.0,14714.0,14714.0,1547.0,1919.0,3018.0,3018.0,90777.0,239.0,3018.0,94082.0,94082.0,0.0,93125.0,93125.0,93750.0,93750.0,833.0,301.0,94617.0,94617.0,399.0,2200.0,96157.0,96157.0,886.0,99305.0,99305.0,98508.0,98508.0,166.0,100.0,103.0,275.0,133.0,250.0,605.0,31.0,927.0,84.0,120.0,277.0,157.0,50.0,277.0,171.0,927.0,171.0,1304.0,2050.0,316.0,80.0,507.0,1253.0,1253.0,398.0,1502.0,271.0,280.0,1287.0,1932.0,1050.0,1463.0,18.0,2.0,1502.0,1463.0,2506.0,2.0,2636.0,2636.0,2503.0,2560.0,5125.0,350.0,756.0,76.0,8116.0,245.0,20.0,240.0,362.0,103.0,1.0,64.0,4.0,12.0,2.0,1.0,4.0,2.0,93.0,303.0,200.0,45.0,50.0,200.0,50.0,1047.0,8116.0,20.0,362.0,1047.0,175.0,10969.0,10969.0,11416.0,8000.0,8665.0,8665.0,3840.0,705.0,13287.0,1203.0,1500.0,1483.0,3431.0,13287.0,3431.0,16719.0,16719.0,16719.0,16719.0,16827.0,16827.0,16827.0,16827.0,98508.0,2050.0,16827.0,126.0,103684.0,103684.0,95.0,109.0,12.0,249.0,325.0,105302.0,105302.0,4630.0,105378.0,105378.0,105378.0,790.0,752.0,563.0,107022.0,107022.0
2002-11-19,2982.0,4800.0,5726.0,267.0,2450.0,3626.0,197.0,247.0,464.0,193.0,462.0,1168.0,630.0,1935.0,2480.0,4336.0,9600.0,2480.0,12694.0,12694.0,14876.0,14876.0,1895.0,2267.0,3317.0,3317.0,90648.0,238.0,3317.0,94364.0,94364.0,0.0,90000.0,90000.0,90000.0,90000.0,839.0,301.0,91225.0,91225.0,399.0,2200.0,93654.0,93654.0,941.0,98892.0,98892.0,99042.0,99042.0,159.0,100.0,103.0,278.0,126.0,250.0,608.0,30.0,926.0,84.0,120.0,278.0,157.0,50.0,278.0,172.0,926.0,172.0,1313.0,2068.0,316.0,80.0,509.0,1252.0,1252.0,399.0,1500.0,270.0,280.0,1281.0,1932.0,1050.0,1462.0,18.0,2.0,1500.0,1462.0,2509.0,2.0,2628.0,2628.0,2489.0,2551.0,5119.0,350.0,752.0,77.0,8235.0,249.0,20.0,240.0,360.0,110.0,1.0,64.0,4.0,12.0,2.0,1.0,4.0,2.0,95.0,327.0,200.0,45.0,50.0,200.0,50.0,1061.0,8235.0,20.0,360.0,1061.0,198.0,11104.0,11104.0,11550.0,8000.0,8662.0,8662.0,3897.0,810.0,13397.0,1338.0,1500.0,1545.0,3535.0,13397.0,3535.0,16931.0,16931.0,16931.0,16931.0,17045.0,17045.0,17045.0,17045.0,99042.0,2068.0,17045.0,127.0,119038.0,119038.0,101.0,109.0,15.0,250.0,370.0,121501.0,121501.0,4636.0,121316.0,121316.0,121316.0,798.0,912.0,551.0,122476.0,122476.0
2002-11-20,2943.0,4800.0,5759.0,266.0,2450.0,3616.0,197.0,247.0,463.0,193.0,460.0,1162.0,633.0,1924.0,2475.0,4253.0,9600.0,2475.0,12700.0,12700.0,14841.0,14841.0,1849.0,2221.0,3406.0,3406.0,90458.0,237.0,3406.0,94303.0,94303.0,0.0,90000.0,90000.0,90000.0,90000.0,863.0,301.0,91142.0,91142.0,398.0,2200.0,93407.0,93407.0,972.0,98106.0,98106.0,98114.0,98114.0,162.0,100.0,110.0,281.0,122.0,250.0,611.0,30.0,924.0,83.0,120.0,278.0,157.0,50.0,278.0,171.0,924.0,171.0,1319.0,2074.0,315.0,80.0,511.0,1251.0,1251.0,400.0,1498.0,270.0,280.0,1276.0,1927.0,1050.0,1461.0,18.0,2.0,1498.0,1461.0,2512.0,2.0,2622.0,2622.0,2477.0,2542.0,5110.0,350.0,748.0,77.0,8307.0,255.0,20.0,240.0,357.0,115.0,1.0,64.0,4.0,16.0,2.0,1.0,4.0,2.0,94.0,320.0,200.0,45.0,50.0,200.0,50.0,1054.0,8307.0,20.0,357.0,1054.0,215.0,11257.0,11257.0,11709.0,8000.0,8660.0,8660.0,3920.0,881.0,13566.0,1215.0,1500.0,1561.0,3597.0,13566.0,3597.0,17163.0,17163.0,17163.0,17163.0,17282.0,17282.0,17282.0,17282.0,98114.0,2074.0,17282.0,130.0,117872.0,117872.0,106.0,109.0,19.0,254.0,389.0,121633.0,121633.0,4624.0,121934.0,121934.0,121934.0,793.0,925.0,608.0,124357.0,124357.0
2002-11-21,2908.0,4800.0,5769.0,266.0,2450.0,3610.0,196.0,246.0,462.0,192.0,457.0,1156.0,632.0,1911.0,2465.0,4229.0,9600.0,2465.0,12714.0,12714.0,14914.0,14914.0,1873.0,2245.0,3408.0,3408.0,90219.0,235.0,3408.0,94045.0,94045.0,0.0,90000.0,90000.0,90000.0,90000.0,917.0,300.0,91160.0,91160.0,398.0,2200.0,93422.0,93422.0,956.0,97900.0,97900.0,97909.0,97909.0,153.0,100.0,97.0,283.0,138.0,250.0,612.0,28.0,917.0,81.0,120.0,276.0,154.0,50.0,276.0,167.0,917.0,167.0,1321.0,2067.0,314.0,80.0,514.0,1252.0,1252.0,401.0,1498.0,270.0,280.0,1270.0,1923.0,1050.0,1460.0,18.0,2.0,1498.0,1460.0,2512.0,2.0,2613.0,2613.0,2467.0,2535.0,5103.0,350.0,744.0,77.0,8265.0,260.0,20.0,240.0,354.0,121.0,1.0,64.0,4.0,12.0,2.0,1.0,4.0,2.0,86.0,306.0,200.0,45.0,50.0,200.0,50.0,1029.0,8265.0,20.0,354.0,1029.0,218.0,11377.0,11377.0,11848.0,8000.0,8657.0,8657.0,3899.0,912.0,13667.0,1197.0,1500.0,1561.0,3626.0,13667.0,3626.0,17293.0,17293.0,17293.0,17293.0,17415.0,17415.0,17415.0,17415.0,97909.0,2067.0,17415.0,132.0,117604.0,117604.0,107.0,109.0,16.0,257.0,385.0,121200.0,121200.0,4617.0,121380.0,121380.0,121380.0,781.0,893.0,646.0,123759.0,123759.0
2002-11-22,2874.0,4800.0,5770.0,265.0,2450.0,3600.0,196.0,246.0,461.0,192.0,453.0,1148.0,619.0,1882.0,2447.0,4130.0,9600.0,2447.0,12718.0,12718.0,14820.0,14820.0,1850.0,2222.0,3405.0,3405.0,89980.0,234.0,3405.0,93826.0,93826.0,0.0,90000.0,90000.0,90000.0,90000.0,987.0,300.0,91204.0,91204.0,397.0,2200.0,93464.0,93464.0,914.0,97683.0,97683.0,97692.0,97692.0,152.0,100.0,94.0,283.0,175.0,250.0,612.0,28.0,913.0,80.0,120.0,274.0,152.0,50.0,274.0,164.0,913.0,164.0,1317.0,2050.0,314.0,80.0,516.0,1252.0,1252.0,403.0,1499.0,269.0,280.0,1265.0,1918.0,1050.0,1459.0,18.0,2.0,1499.0,1459.0,2510.0,2.0,2602.0,2602.0,2451.0,2526.0,5097.0,350.0,740.0,77.0,8187.0,261.0,20.0,240.0,351.0,125.0,1.0,64.0,4.0,17.0,2.0,1.0,4.0,2.0,81.0,297.0,200.0,45.0,50.0,200.0,50.0,998.0,8187.0,20.0,351.0,998.0,206.0,11370.0,11370.0,11881.0,8000.0,8654.0,8654.0,3853.0,889.0,13674.0,1132.0,1500.0,1548.0,3621.0,13674.0,3621.0,17295.0,17295.0,17295.0,17295.0,17420.0,17420.0,17420.0,17420.0,97692.0,2050.0,17420.0,134.0,117455.0,117455.0,103.0,109.0,15.0,258.0,350.0,121080.0,121080.0,4611.0,121219.0,121219.0,121219.0,781.0,963.0,639.0,123559.0,123559.0
