, LIBBY DAM, HUNGRY HORSE DAM, CLARK FORK NR DRUMMOND, KERR DAM, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, GRAND COULEE DAM, FEEDER CANAL AT GRANDCOULEE, GRAND COULEE DAM, CHIEF JOSEPH DAM, WELLS DAM, no designation found, ROCKY REACH DAM, no designation found, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, KEECHELUS LAKE, KACHESS DAM, CLE ELUM LAKE, BUMPING LAKE, RIMROCK LAKE, NACHES RIVER NR CLIFFDEL, ISLAND PARK 1SWIS.PARKDM&RES, SNAKE R ON JACKSON LAKE AT DAM, PALISADES DAM, RIRIE DAM, AMERICAN FALLS RESERVOIR, OWYHEE DAM, LUCKY PEAK RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, CASCADE DAM, DEADWOOD DAM, BROWNLEE DAM, SNAKE R @HELLS CANYON DAM, SNAKE R @HELLS CANYON DAM, DWORSHAK DAM, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, PRIEST RAPIDS DAM, MCNARY DAM, MCKAY CR NR PILOTROCK, JOHN DAY DAM, THE DALLES, THE DALLES, BONNEVILLE DAM
2002-12-02,22688.0,2400.0,235.0,9020.0,11499.0,11398.0,1500.0,2564.0,2564.0,2564.0,97202.0,0.0,101250.0,99770.0,100559.0,2200.0,102234.0,107204.0,106701.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,206.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8829.0,8829.0,1400.0,16428.0,16428.0,16515.0,16515.0,106701.0,116310.0,3.0,119329.0,120369.0,120369.0,125174.0
2002-12-03,24000.0,2400.0,235.0,9818.0,11961.0,12419.0,1500.0,2573.0,2573.0,2573.0,97453.0,0.0,106250.0,105625.0,106373.0,2200.0,108212.0,113466.0,113249.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,211.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8827.0,8827.0,1400.0,16390.0,16390.0,16478.0,16478.0,113249.0,127417.0,3.0,129656.0,129095.0,129095.0,129710.0
2002-12-04,24000.0,2400.0,234.0,10350.0,12734.0,13187.0,1500.0,2572.0,2572.0,2572.0,98266.0,0.0,110000.0,109844.0,110776.0,2200.0,112778.0,117986.0,117826.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,211.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8825.0,8825.0,1400.0,16401.0,16401.0,16493.0,16493.0,117826.0,133350.0,3.0,136270.0,135891.0,135891.0,136965.0
2002-12-05,24000.0,2400.0,234.0,10373.0,13270.0,13969.0,1500.0,2569.0,2569.0,2569.0,98988.0,0.0,107500.0,108437.0,109912.0,2200.0,112495.0,118258.0,118342.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,210.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8822.0,8822.0,1400.0,16368.0,16368.0,16465.0,16465.0,118342.0,136779.0,3.0,140197.0,139878.0,139878.0,141176.0
2002-12-06,22500.0,2400.0,233.0,10368.0,13364.0,14618.0,1500.0,2566.0,2566.0,2566.0,99676.0,0.0,96250.0,97969.0,99974.0,2200.0,103227.0,109838.0,110299.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,210.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8820.0,8820.0,1400.0,16333.0,16333.0,16432.0,16432.0,110299.0,134327.0,3.0,138943.0,138855.0,138855.0,140743.0
2002-12-07,19200.0,2400.0,233.0,10365.0,13359.0,14639.0,1500.0,2564.0,2564.0,2564.0,97276.0,0.0,81250.0,83125.0,85302.0,2200.0,88808.0,95643.0,96276.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,210.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8818.0,8818.0,1400.0,16298.0,16298.0,16398.0,16398.0,96276.0,123732.0,4.0,129424.0,129605.0,129605.0,132175.0
2002-12-08,21325.0,2400.0,232.0,10364.0,13351.0,14653.0,1719.0,2578.0,2578.0,2578.0,89752.0,0.0,80000.0,76719.0,76942.0,2200.0,78643.0,83412.0,83622.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,210.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8200.0,8815.0,8815.0,1400.0,16263.0,16263.0,16363.0,16363.0,83622.0,109176.0,5.0,115144.0,115402.0,115402.0,118237.0
2002-12-09,26000.0,2400.0,232.0,10364.0,13344.0,14670.0,2200.0,3086.0,3086.0,3086.0,89210.0,0.0,110000.0,108750.0,108435.0,2200.0,108670.0,109504.0,108180.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,209.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,8247.0,8860.0,8860.0,1400.0,16231.0,16231.0,16330.0,16330.0,108180.0,107986.0,6.0,109717.0,109039.0,109039.0,110211.0
2002-12-10,26000.0,2400.0,231.0,10338.0,13335.0,14688.0,2200.0,3257.0,3257.0,3257.0,89587.0,0.0,110000.0,110000.0,111095.0,2200.0,113351.0,117603.0,117596.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,209.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,10028.0,10639.0,10639.0,1400.0,16706.0,16706.0,16805.0,16805.0,117596.0,132114.0,7.0,133320.0,131995.0,131995.0,131789.0
2002-12-11,26000.0,2400.0,231.0,10317.0,13309.0,14691.0,2200.0,3254.0,3254.0,3254.0,89793.0,0.0,109773.0,109886.0,111008.0,2200.0,113290.0,117340.0,117355.0,180.0,24.0,180.0,24.0,223.0,100.0,30.0,209.0,85.0,280.0,1060.0,18.0,390.0,10.0,240.0,1.0,4.0,2.0,200.0,50.0,11200.0,11809.0,11809.0,1400.0,18836.0,18836.0,18935.0,18935.0,117355.0,137214.0,8.0,140732.0,140144.0,140144.0,141637.0
