, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, RIRIE DAM, SNAKE RIVER NR SHELLEY, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, YAKIMA RIVER AT KIONA, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-12-30,2635.0,8467.0,409.0,3712.0,177.0,390.0,152.0,431.0,1059.0,631.0,1887.0,2443.0,4513.0,2443.0,13057.0,15294.0,2471.0,82241.0,302.0,86917.0,98750.0,92200.0,645.0,293.0,89620.0,665.0,86132.0,621.0,84348.0,83782.0,114.0,105.0,202.0,174.0,470.0,35.0,732.0,72.0,238.0,150.0,323.0,732.0,323.0,1336.0,2056.0,316.0,444.0,1150.0,1150.0,379.0,1487.0,488.0,1223.0,2096.0,1465.0,1.0,1487.0,1465.0,2535.0,0.0,2472.0,2472.0,1957.0,1541.0,4340.0,636.0,90.0,6654.0,263.0,221.0,91.0,49.0,34.0,0.0,0.0,0.0,76.0,867.0,88.0,200.0,46.0,1352.0,6654.0,10.0,221.0,1352.0,869.0,11246.0,11246.0,12529.0,4146.0,779.0,14409.0,2897.0,2072.0,3893.0,14409.0,3893.0,18302.0,18302.0,18447.0,18447.0,2056.0,18447.0,460.0,97909.0,111.0,12.0,193.0,623.0,105148.0,5245.0,104819.0,894.0,837.0,932.0,107462.0
2003-12-31,2602.0,7206.0,407.0,3665.0,177.0,389.0,147.0,419.0,1020.0,577.0,1786.0,2363.0,4356.0,2363.0,11824.0,14487.0,2232.0,81391.0,283.0,85824.0,90000.0,92031.0,655.0,293.0,93874.0,661.0,95467.0,630.0,99615.0,99760.0,107.0,106.0,203.0,167.0,470.0,37.0,728.0,70.0,233.0,147.0,319.0,728.0,319.0,1345.0,2037.0,316.0,443.0,1145.0,1145.0,356.0,1481.0,478.0,1224.0,2049.0,1467.0,1.0,1481.0,1467.0,2382.0,0.0,2357.0,2357.0,1981.0,1487.0,4114.0,644.0,86.0,6828.0,263.0,223.0,88.0,49.0,32.0,0.0,0.0,0.0,125.0,731.0,86.0,200.0,46.0,1149.0,6828.0,10.0,223.0,1149.0,607.0,10535.0,10535.0,11893.0,3669.0,783.0,14529.0,2272.0,1943.0,3780.0,14529.0,3780.0,18309.0,18309.0,18687.0,18687.0,2037.0,18687.0,559.0,114153.0,128.0,12.0,197.0,662.0,115821.0,4967.0,113685.0,1049.0,1138.0,1148.0,115022.0
2004-01-01,2570.0,6605.0,405.0,3646.0,177.0,388.0,147.0,414.0,1000.0,554.0,1736.0,2268.0,4270.0,2268.0,10828.0,13479.0,1946.0,78963.0,260.0,83830.0,80000.0,80622.0,666.0,292.0,82458.0,658.0,84400.0,614.0,89561.0,90253.0,101.0,111.0,204.0,167.0,469.0,44.0,728.0,68.0,229.0,144.0,312.0,728.0,312.0,1355.0,2015.0,315.0,442.0,1141.0,1141.0,344.0,1467.0,468.0,1225.0,2044.0,1466.0,1.0,1467.0,1466.0,2334.0,0.0,2283.0,2283.0,1890.0,1445.0,4073.0,660.0,82.0,6885.0,263.0,223.0,87.0,49.0,29.0,0.0,0.0,0.0,137.0,675.0,83.0,200.0,46.0,1080.0,6885.0,10.0,223.0,1080.0,450.0,10147.0,10147.0,11224.0,3423.0,787.0,15331.0,1716.0,1847.0,3683.0,15331.0,3683.0,19014.0,19014.0,19509.0,19509.0,2015.0,19509.0,512.0,119179.0,138.0,12.0,207.0,645.0,124411.0,4948.0,122992.0,1097.0,1037.0,936.0,125842.0
2004-01-02,2541.0,6066.0,403.0,3634.0,176.0,387.0,147.0,411.0,993.0,549.0,1716.0,2216.0,4244.0,2216.0,9713.0,12287.0,1770.0,76768.0,250.0,81184.0,93750.0,93594.0,673.0,292.0,94023.0,654.0,93861.0,595.0,95239.0,94686.0,97.0,108.0,205.0,165.0,469.0,46.0,731.0,67.0,225.0,141.0,306.0,731.0,306.0,1354.0,2022.0,315.0,440.0,1137.0,1137.0,338.0,1452.0,458.0,1221.0,2041.0,1465.0,1.0,1452.0,1465.0,2313.0,0.0,2258.0,2258.0,1837.0,1371.0,4007.0,667.0,79.0,6911.0,263.0,223.0,87.0,49.0,26.0,0.0,0.0,0.0,137.0,644.0,81.0,200.0,46.0,1052.0,6911.0,10.0,223.0,1052.0,378.0,10070.0,10070.0,10892.0,3370.0,782.0,17791.0,1373.0,1764.0,3582.0,17791.0,3582.0,21373.0,21373.0,21786.0,21786.0,2022.0,21786.0,397.0,113006.0,119.0,12.0,222.0,559.0,118069.0,4941.0,116847.0,980.0,946.0,854.0,120159.0
2004-01-03,2513.0,5635.0,401.0,3626.0,176.0,387.0,146.0,410.0,990.0,546.0,1702.0,2182.0,4228.0,2182.0,8627.0,11152.0,1654.0,75683.0,245.0,79362.0,87500.0,88594.0,672.0,291.0,90088.0,655.0,91353.0,605.0,94999.0,95239.0,95.0,107.0,206.0,168.0,469.0,55.0,734.0,66.0,221.0,139.0,300.0,734.0,300.0,1351.0,2055.0,314.0,439.0,1133.0,1133.0,334.0,1441.0,447.0,1217.0,2035.0,1465.0,1.0,1441.0,1465.0,2292.0,0.0,2234.0,2234.0,1811.0,1330.0,3949.0,671.0,77.0,7053.0,263.0,222.0,86.0,49.0,26.0,0.0,0.0,0.0,138.0,620.0,79.0,200.0,46.0,1037.0,7053.0,10.0,222.0,1037.0,343.0,10036.0,10036.0,10748.0,3346.0,777.0,17682.0,1242.0,1697.0,3508.0,17682.0,3508.0,21190.0,21190.0,22139.0,22139.0,2055.0,22139.0,662.0,121091.0,137.0,12.0,218.0,621.0,125133.0,4936.0,123342.0,958.0,824.0,852.0,125419.0
2004-01-04,2488.0,5510.0,399.0,3618.0,176.0,386.0,146.0,408.0,987.0,543.0,1689.0,2165.0,4217.0,2165.0,7872.0,10280.0,1603.0,82263.0,241.0,84289.0,75000.0,77187.0,668.0,291.0,79213.0,650.0,81060.0,599.0,85390.0,85887.0,89.0,97.0,207.0,156.0,469.0,48.0,737.0,64.0,218.0,137.0,294.0,737.0,294.0,1350.0,2073.0,313.0,438.0,1129.0,1129.0,330.0,1432.0,437.0,1212.0,2027.0,1464.0,1.0,1432.0,1464.0,2274.0,0.0,2213.0,2213.0,1792.0,1308.0,3920.0,673.0,76.0,7163.0,263.0,222.0,86.0,49.0,26.0,0.0,0.0,0.0,138.0,598.0,77.0,200.0,46.0,1024.0,7163.0,10.0,222.0,1024.0,324.0,10072.0,10072.0,10712.0,3330.0,773.0,17505.0,1124.0,1642.0,3443.0,17505.0,3443.0,20948.0,20948.0,21573.0,21573.0,2073.0,21573.0,595.0,116892.0,135.0,12.0,229.0,619.0,123154.0,4925.0,121920.0,944.0,765.0,803.0,125025.0
2004-01-05,2464.0,5449.0,398.0,3611.0,175.0,385.0,145.0,407.0,984.0,540.0,1676.0,2150.0,4207.0,2150.0,7720.0,10016.0,1593.0,82412.0,237.0,86273.0,70000.0,66875.0,664.0,290.0,67127.0,645.0,67510.0,577.0,70627.0,70997.0,88.0,101.0,208.0,150.0,469.0,44.0,732.0,63.0,215.0,136.0,289.0,732.0,289.0,1342.0,2103.0,313.0,437.0,1125.0,1125.0,326.0,1426.0,427.0,1208.0,2020.0,1463.0,1.0,1426.0,1463.0,2260.0,0.0,2196.0,2196.0,1776.0,1292.0,3901.0,675.0,75.0,7152.0,262.0,222.0,86.0,49.0,26.0,0.0,0.0,0.0,138.0,579.0,75.0,200.0,46.0,1013.0,7152.0,10.0,222.0,1013.0,313.0,10189.0,10189.0,10799.0,3314.0,768.0,17396.0,1042.0,1592.0,3381.0,17396.0,3381.0,20777.0,20777.0,21272.0,21272.0,2103.0,21272.0,576.0,104476.0,132.0,12.0,236.0,540.0,111723.0,4915.0,110727.0,934.0,834.0,868.0,114464.0
2004-01-06,2441.0,5387.0,396.0,3604.0,175.0,384.0,145.0,406.0,982.0,537.0,1662.0,2134.0,4198.0,2134.0,7715.0,9979.0,1541.0,81954.0,234.0,86084.0,100000.0,98750.0,659.0,290.0,98289.0,642.0,96953.0,573.0,95795.0,94468.0,87.0,101.0,209.0,145.0,469.0,46.0,729.0,62.0,214.0,134.0,287.0,729.0,287.0,1336.0,2099.0,312.0,436.0,1122.0,1122.0,322.0,1421.0,416.0,1204.0,2012.0,1462.0,1.0,1421.0,1462.0,2248.0,0.0,2182.0,2182.0,1764.0,1280.0,3887.0,676.0,74.0,7143.0,262.0,222.0,86.0,48.0,26.0,0.0,0.0,0.0,138.0,562.0,74.0,200.0,46.0,1003.0,7143.0,10.0,222.0,1003.0,306.0,10234.0,10234.0,10861.0,3300.0,763.0,17355.0,997.0,1548.0,3324.0,17355.0,3324.0,20679.0,20679.0,21139.0,21139.0,2099.0,21139.0,495.0,100193.0,118.0,12.0,232.0,513.0,103533.0,4907.0,101740.0,920.0,674.0,807.0,104159.0
2004-01-07,2420.0,5323.0,394.0,3597.0,175.0,383.0,145.0,404.0,979.0,534.0,1650.0,2119.0,4189.0,2119.0,7718.0,9963.0,1501.0,81758.0,231.0,86458.0,100000.0,100000.0,655.0,289.0,100950.0,639.0,101636.0,567.0,104014.0,104002.0,82.0,89.0,209.0,141.0,469.0,43.0,728.0,61.0,213.0,133.0,284.0,728.0,284.0,1328.0,2075.0,312.0,435.0,1119.0,1119.0,318.0,1417.0,406.0,1199.0,2005.0,1461.0,1.0,1417.0,1461.0,2238.0,0.0,2170.0,2170.0,1754.0,1271.0,3876.0,678.0,74.0,7131.0,262.0,222.0,85.0,48.0,26.0,0.0,0.0,0.0,137.0,547.0,72.0,200.0,46.0,994.0,7131.0,10.0,222.0,994.0,301.0,10217.0,10217.0,10847.0,3286.0,758.0,17331.0,966.0,1509.0,3272.0,17331.0,3272.0,20603.0,20603.0,21007.0,21007.0,2075.0,21007.0,421.0,123715.0,110.0,12.0,222.0,465.0,126100.0,4899.0,123510.0,900.0,550.0,717.0,123925.0
2004-01-08,2401.0,5260.0,393.0,3590.0,174.0,382.0,144.0,403.0,976.0,532.0,1637.0,2104.0,4182.0,2104.0,7723.0,9951.0,1456.0,81619.0,228.0,86244.0,100000.0,100000.0,651.0,289.0,100946.0,636.0,101630.0,552.0,103891.0,103897.0,77.0,82.0,210.0,138.0,469.0,39.0,724.0,61.0,212.0,132.0,282.0,724.0,282.0,1311.0,2051.0,311.0,434.0,1116.0,1116.0,314.0,1413.0,395.0,1195.0,1998.0,1460.0,1.0,1413.0,1460.0,2229.0,0.0,2159.0,2159.0,1745.0,1264.0,3868.0,679.0,74.0,7129.0,262.0,222.0,85.0,48.0,26.0,0.0,0.0,0.0,138.0,533.0,71.0,200.0,46.0,985.0,7129.0,10.0,222.0,985.0,297.0,10199.0,10199.0,10826.0,3272.0,754.0,17303.0,947.0,1472.0,3224.0,17303.0,3224.0,20527.0,20527.0,20889.0,20889.0,2051.0,20889.0,360.0,127323.0,105.0,12.0,213.0,444.0,132298.0,4891.0,130515.0,882.0,529.0,734.0,132594.0
