, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, YAKIMA RIVER AT KIONA, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-01-21,2139.0,5581.0,419.0,3683.0,189.0,392.0,139.0,383.0,964.0,587.0,1551.0,2082.0,3024.0,2082.0,6223.0,7895.0,2026.0,67209.0,270.0,73716.0,100544.0,714.0,274.0,101733.0,349.0,103565.0,571.0,102476.0,102267.0,105.0,78.0,202.0,168.0,441.0,66.0,754.0,92.0,300.0,235.0,417.0,754.0,417.0,1416.0,2134.0,333.0,435.0,1158.0,353.0,1467.0,375.0,1183.0,2017.0,1443.0,23.0,0.0,1467.0,1443.0,2253.0,2401.0,2098.0,1598.0,4162.0,541.0,105.0,7434.0,257.0,231.0,87.0,66.0,17.0,63.0,373.0,60.0,1108.0,7434.0,10.0,231.0,1108.0,652.0,10325.0,11398.0,3079.0,774.0,18931.0,1322.0,1760.0,3487.0,18931.0,3487.0,22418.0,22418.0,22640.0,22640.0,2134.0,555.0,114506.0,177.0,10.0,291.0,603.0,116597.0,4943.0,116233.0,1180.0,705.0,851.0,125179.0
2003-01-22,2104.0,5557.0,414.0,3668.0,172.0,385.0,139.0,383.0,956.0,560.0,1516.0,2025.0,4302.0,2025.0,6306.0,8260.0,2007.0,69900.0,274.0,75107.0,100000.0,711.0,272.0,100989.0,343.0,102545.0,573.0,102648.0,102660.0,145.0,163.0,208.0,186.0,449.0,92.0,774.0,126.0,344.0,272.0,475.0,774.0,475.0,1461.0,2321.0,332.0,433.0,1152.0,352.0,1455.0,374.0,1175.0,1970.0,1447.0,23.0,0.0,1455.0,1447.0,2236.0,2369.0,2064.0,1771.0,4294.0,535.0,115.0,7489.0,256.0,209.0,109.0,66.0,18.0,64.0,360.0,59.0,1100.0,7489.0,10.0,209.0,1100.0,767.0,10729.0,11640.0,3073.0,773.0,18437.0,1290.0,1857.0,3720.0,18437.0,3720.0,22157.0,22157.0,22365.0,22365.0,2321.0,996.0,127700.0,386.0,10.0,288.0,1046.0,132386.0,5154.0,130007.0,1577.0,1474.0,1301.0,132129.0
2003-01-23,2093.0,5534.0,409.0,3655.0,169.0,373.0,138.0,383.0,947.0,542.0,1489.0,1958.0,4287.0,1958.0,6247.0,8229.0,1973.0,68445.0,269.0,74934.0,100000.0,710.0,270.0,100983.0,363.0,102539.0,648.0,102711.0,102706.0,194.0,223.0,223.0,300.0,473.0,157.0,828.0,150.0,379.0,271.0,539.0,828.0,539.0,1596.0,2522.0,332.0,431.0,1146.0,351.0,1443.0,374.0,1167.0,1949.0,1447.0,23.0,0.0,1443.0,1447.0,2221.0,2347.0,2049.0,1777.0,4360.0,523.0,190.0,7626.0,255.0,200.0,171.0,66.0,18.0,65.0,348.0,58.0,1086.0,7626.0,10.0,200.0,1086.0,931.0,11109.0,12003.0,3067.0,801.0,18469.0,1267.0,1863.0,3801.0,18469.0,3801.0,22271.0,22271.0,22464.0,22464.0,2522.0,1300.0,128840.0,682.0,10.0,466.0,2369.0,135581.0,5875.0,134273.0,2052.0,1789.0,1652.0,138979.0
2003-01-24,2086.0,5514.0,404.0,3647.0,169.0,370.0,138.0,382.0,937.0,540.0,1476.0,1927.0,4270.0,1927.0,6190.0,8181.0,1961.0,67702.0,265.0,73899.0,92890.0,708.0,268.0,95419.0,376.0,98436.0,702.0,100208.0,100564.0,184.0,220.0,236.0,334.0,489.0,172.0,896.0,142.0,412.0,264.0,591.0,896.0,591.0,1775.0,2721.0,331.0,429.0,1140.0,350.0,1432.0,373.0,1163.0,1939.0,1446.0,23.0,0.0,1432.0,1446.0,2208.0,2329.0,2030.0,1762.0,4352.0,518.0,224.0,7613.0,255.0,191.0,152.0,65.0,18.0,66.0,338.0,56.0,1063.0,7613.0,10.0,191.0,1063.0,902.0,11265.0,12220.0,3059.0,844.0,18489.0,1400.0,1871.0,3973.0,18489.0,3973.0,22462.0,22462.0,22641.0,22641.0,2721.0,1171.0,128891.0,606.0,10.0,751.0,2584.0,136860.0,5784.0,135507.0,1798.0,1511.0,1367.0,140464.0
2003-01-25,2077.0,5495.0,400.0,3641.0,168.0,369.0,138.0,382.0,933.0,538.0,1470.0,1911.0,4255.0,1911.0,6162.0,8259.0,2007.0,67160.0,260.0,73553.0,62500.0,710.0,267.0,65070.0,386.0,68707.0,722.0,72514.0,73758.0,189.0,220.0,245.0,326.0,507.0,186.0,949.0,141.0,439.0,261.0,624.0,949.0,624.0,1947.0,3138.0,331.0,427.0,1134.0,348.0,1422.0,373.0,1159.0,1931.0,1445.0,23.0,0.0,1422.0,1445.0,2197.0,2312.0,2013.0,1745.0,4335.0,516.0,206.0,7692.0,255.0,183.0,114.0,65.0,18.0,69.0,328.0,55.0,1046.0,7692.0,10.0,183.0,1046.0,946.0,11310.0,12316.0,3050.0,924.0,18607.0,1927.0,1922.0,4460.0,18607.0,4460.0,23067.0,23067.0,23279.0,23279.0,3138.0,1685.0,119953.0,800.0,10.0,736.0,2899.0,131012.0,6021.0,130491.0,2026.0,1555.0,1478.0,136457.0
2003-01-26,2069.0,5479.0,396.0,3635.0,168.0,368.0,137.0,381.0,930.0,536.0,1465.0,1903.0,4243.0,1903.0,6142.0,8311.0,2238.0,70513.0,257.0,76849.0,60391.0,714.0,265.0,59551.0,380.0,59643.0,704.0,59010.0,58976.0,168.0,185.0,247.0,261.0,506.0,152.0,945.0,137.0,457.0,251.0,650.0,945.0,650.0,2039.0,3237.0,330.0,425.0,1128.0,347.0,1412.0,372.0,1155.0,1924.0,1444.0,22.0,0.0,1412.0,1444.0,2185.0,2295.0,1996.0,1730.0,4318.0,515.0,177.0,7775.0,255.0,174.0,98.0,65.0,18.0,71.0,319.0,54.0,1041.0,7775.0,10.0,174.0,1041.0,1095.0,11467.0,12560.0,3041.0,984.0,19083.0,1926.0,1999.0,4314.0,19083.0,4314.0,23397.0,23397.0,24699.0,24699.0,3237.0,1605.0,95115.0,747.0,10.0,882.0,2971.0,106825.0,5936.0,106599.0,1673.0,1471.0,1358.0,113399.0
2003-01-27,2061.0,5460.0,393.0,3631.0,168.0,367.0,137.0,379.0,927.0,534.0,1460.0,1896.0,4232.0,1896.0,6136.0,8431.0,2539.0,71175.0,253.0,78462.0,97187.0,717.0,264.0,97279.0,368.0,97173.0,689.0,93841.0,92386.0,158.0,165.0,246.0,247.0,504.0,133.0,921.0,128.0,445.0,233.0,632.0,921.0,632.0,2052.0,3272.0,330.0,424.0,1122.0,346.0,1403.0,372.0,1151.0,1918.0,1444.0,22.0,0.0,1403.0,1444.0,2174.0,2279.0,1980.0,1715.0,4301.0,515.0,154.0,7784.0,255.0,166.0,93.0,65.0,18.0,71.0,311.0,52.0,1033.0,7784.0,10.0,166.0,1033.0,1130.0,11621.0,12867.0,3032.0,1026.0,19772.0,2488.0,2127.0,5136.0,19772.0,5136.0,24908.0,24908.0,27785.0,27785.0,3272.0,1572.0,99948.0,721.0,10.0,854.0,2663.0,104608.0,5922.0,102711.0,1691.0,1330.0,1350.0,106077.0
2003-01-28,2054.0,5441.0,390.0,3626.0,167.0,366.0,136.0,377.0,924.0,532.0,1456.0,1889.0,4222.0,1889.0,6120.0,8445.0,2812.0,71271.0,249.0,78552.0,90156.0,717.0,263.0,91401.0,353.0,93372.0,652.0,94484.0,94785.0,143.0,143.0,244.0,208.0,496.0,103.0,882.0,120.0,417.0,217.0,588.0,882.0,588.0,1999.0,3192.0,329.0,422.0,1117.0,345.0,1393.0,371.0,1147.0,1911.0,1443.0,22.0,0.0,1393.0,1443.0,2163.0,2263.0,1963.0,1700.0,4286.0,515.0,135.0,7735.0,255.0,157.0,90.0,65.0,18.0,72.0,303.0,51.0,1013.0,7735.0,10.0,157.0,1013.0,950.0,11565.0,12942.0,3022.0,992.0,19092.0,2157.0,2246.0,4476.0,19092.0,4476.0,23567.0,23567.0,25129.0,25129.0,3192.0,1206.0,126839.0,545.0,10.0,814.0,2270.0,133392.0,5743.0,131248.0,1587.0,1121.0,1257.0,133794.0
2003-01-29,2047.0,5423.0,387.0,3623.0,167.0,366.0,136.0,376.0,921.0,530.0,1451.0,1882.0,4212.0,1882.0,6106.0,8422.0,2941.0,71304.0,246.0,78590.0,90000.0,717.0,261.0,90978.0,343.0,92534.0,614.0,92816.0,92819.0,133.0,131.0,240.0,191.0,490.0,86.0,846.0,112.0,390.0,205.0,542.0,846.0,542.0,1908.0,3056.0,329.0,420.0,1112.0,343.0,1384.0,371.0,1144.0,1904.0,1442.0,22.0,0.0,1384.0,1442.0,2152.0,2247.0,1947.0,1685.0,4270.0,514.0,120.0,7621.0,255.0,148.0,87.0,64.0,18.0,72.0,296.0,50.0,994.0,7621.0,10.0,148.0,994.0,741.0,11296.0,12624.0,3012.0,937.0,18082.0,1918.0,2238.0,4326.0,18082.0,4326.0,22408.0,22408.0,23316.0,23316.0,3056.0,856.0,121784.0,392.0,10.0,651.0,1821.0,130311.0,5545.0,129009.0,1534.0,937.0,1157.0,133453.0
2003-01-30,2039.0,5405.0,384.0,3620.0,167.0,365.0,136.0,374.0,918.0,528.0,1447.0,1876.0,4204.0,1876.0,6095.0,8410.0,2647.0,71292.0,243.0,78572.0,90000.0,716.0,260.0,90977.0,335.0,92533.0,593.0,92811.0,92811.0,126.0,125.0,236.0,182.0,483.0,78.0,820.0,105.0,366.0,194.0,501.0,820.0,501.0,1818.0,2944.0,328.0,419.0,1106.0,342.0,1375.0,370.0,1140.0,1898.0,1441.0,22.0,0.0,1375.0,1441.0,2141.0,2231.0,1932.0,1671.0,4255.0,514.0,109.0,7535.0,254.0,140.0,86.0,64.0,18.0,72.0,290.0,49.0,981.0,7535.0,10.0,140.0,981.0,650.0,11076.0,12265.0,3001.0,907.0,17186.0,1796.0,2168.0,4228.0,17186.0,4228.0,21414.0,21414.0,22199.0,22199.0,2944.0,651.0,119107.0,337.0,10.0,508.0,1539.0,126493.0,5456.0,124903.0,1532.0,874.0,1170.0,128711.0
