, LIBBY DAM, KOOTENAI RIV AT LEONIA, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-02-24,1246.0,5127.0,486.0,3536.0,173.0,361.0,157.0,426.0,1073.0,940.0,2126.0,3116.0,4225.0,10757.0,11625.0,963.0,13804.0,4548.0,8515.0,355.0,51627.0,327.0,60735.0,69017.0,569.0,291.0,67042.0,659.0,65539.0,87.0,1523.0,66710.0,70538.0,340.0,353.0,369.0,527.0,1205.0,368.0,2127.0,177.0,439.0,372.0,703.0,3818.0,5541.0,351.0,417.0,1150.0,368.0,1471.0,455.0,1037.0,1297.0,2072.0,1428.0,24.0,2273.0,2086.0,1866.0,1616.0,200.0,4293.0,734.0,103.0,7761.0,42.0,71.0,144.0,165.0,42.0,374.0,286.0,100.0,85.0,46.0,58.0,338.0,68.0,1488.0,770.0,10139.0,11608.0,4293.0,3077.0,20052.0,6565.0,5086.0,9913.0,29965.0,28192.0,31256.0,28928.0,1384.0,111189.0,361.0,927.0,315.0,1085.0,1168.0,1628.0,77994.0,5494.0,79165.0,1813.0,1086.0,1422.0,92313.0
2003-02-25,2189.0,5107.0,478.0,3532.0,172.0,359.0,155.0,420.0,1062.0,929.0,2102.0,3073.0,4302.0,10633.0,11497.0,932.0,14598.0,3839.0,8255.0,338.0,49534.0,323.0,58666.0,74219.0,557.0,286.0,75330.0,640.0,76582.0,84.0,1410.0,81770.0,70000.0,305.0,295.0,351.0,486.0,1099.0,292.0,1855.0,166.0,404.0,332.0,603.0,3400.0,5208.0,350.0,415.0,1145.0,365.0,1441.0,454.0,1033.0,1282.0,2048.0,1434.0,24.0,2224.0,1995.0,1748.0,1570.0,205.0,4254.0,728.0,98.0,7675.0,42.0,71.0,141.0,153.0,41.0,359.0,289.0,92.0,80.0,44.0,57.0,323.0,66.0,1405.0,644.0,10426.0,11746.0,4249.0,2653.0,20103.0,5777.0,4654.0,8762.0,28866.0,26150.0,25463.0,24993.0,1174.0,102361.0,304.0,774.0,251.0,955.0,1025.0,1442.0,111210.0,5398.0,108994.0,1720.0,954.0,1307.0,112864.0
2003-02-26,2315.0,5099.0,471.0,3504.0,170.0,358.0,153.0,414.0,1052.0,919.0,2079.0,3028.0,4294.0,10460.0,11276.0,903.0,14319.0,3476.0,7944.0,323.0,48687.0,317.0,57518.0,69375.0,543.0,280.0,70647.0,626.0,72147.0,82.0,1342.0,77709.0,70000.0,278.0,265.0,339.0,452.0,1034.0,248.0,1698.0,156.0,374.0,296.0,526.0,3137.0,4807.0,348.0,412.0,1131.0,362.0,1419.0,454.0,1027.0,1272.0,2029.0,1432.0,24.0,2182.0,1947.0,1678.0,1489.0,216.0,4182.0,722.0,93.0,7607.0,42.0,71.0,138.0,143.0,40.0,345.0,280.0,89.0,78.0,43.0,56.0,310.0,64.0,1355.0,551.0,10462.0,11810.0,4202.0,2318.0,19828.0,5281.0,4325.0,8109.0,27937.0,25787.0,25271.0,24899.0,1028.0,99969.0,267.0,670.0,210.0,799.0,943.0,1328.0,107900.0,5338.0,105581.0,1638.0,821.0,1222.0,109655.0
2003-02-27,2301.0,5088.0,464.0,3478.0,169.0,356.0,151.0,408.0,1042.0,909.0,2057.0,2989.0,4274.0,10067.0,10845.0,877.0,13833.0,3302.0,7669.0,310.0,48076.0,312.0,56877.0,65156.0,529.0,275.0,66231.0,613.0,67566.0,80.0,1302.0,72759.0,70000.0,258.0,246.0,328.0,421.0,975.0,222.0,1597.0,148.0,350.0,273.0,460.0,2936.0,4453.0,347.0,410.0,1117.0,360.0,1401.0,453.0,1022.0,1262.0,2011.0,1431.0,24.0,2144.0,1902.0,1628.0,1440.0,227.0,4128.0,716.0,91.0,7549.0,42.0,71.0,136.0,134.0,40.0,336.0,264.0,88.0,77.0,42.0,55.0,298.0,63.0,1316.0,493.0,10322.0,11667.0,4147.0,2070.0,19387.0,4956.0,4061.0,7685.0,27072.0,27072.0,27762.0,27762.0,927.0,102030.0,238.0,593.0,183.0,691.0,892.0,1233.0,109027.0,5297.0,106409.0,1567.0,748.0,1187.0,109807.0
2003-02-28,2288.0,5077.0,458.0,3455.0,168.0,354.0,149.0,403.0,1033.0,900.0,2037.0,2952.0,4276.0,9895.0,10638.0,854.0,13555.0,3328.0,7347.0,296.0,47462.0,307.0,56047.0,62656.0,515.0,270.0,64065.0,601.0,65910.0,77.0,1284.0,70893.0,70000.0,244.0,239.0,324.0,393.0,930.0,206.0,1525.0,139.0,332.0,257.0,404.0,2773.0,4179.0,346.0,407.0,1105.0,359.0,1385.0,452.0,1017.0,1253.0,1995.0,1429.0,24.0,2110.0,1862.0,1584.0,1405.0,233.0,4096.0,710.0,89.0,7500.0,42.0,71.0,133.0,126.0,39.0,331.0,239.0,87.0,77.0,41.0,54.0,286.0,61.0,1280.0,453.0,10167.0,11483.0,4092.0,1910.0,18908.0,4715.0,3947.0,7363.0,26270.0,26270.0,26935.0,26935.0,854.0,102512.0,212.0,528.0,165.0,609.0,852.0,1175.0,110011.0,5269.0,107475.0,1506.0,734.0,1165.0,111028.0
2003-03-01,2275.0,5073.0,452.0,3433.0,167.0,353.0,148.0,398.0,1024.0,891.0,2018.0,2921.0,4228.0,9801.0,10512.0,836.0,13447.0,3343.0,6069.0,285.0,47578.0,303.0,54509.0,50310.0,504.0,266.0,52714.0,589.0,56425.0,75.0,1305.0,63122.0,70000.0,236.0,238.0,322.0,367.0,900.0,197.0,1484.0,130.0,319.0,248.0,365.0,2661.0,3967.0,344.0,405.0,1094.0,357.0,1372.0,452.0,1012.0,1244.0,1978.0,1427.0,23.0,2079.0,1828.0,1548.0,1381.0,236.0,4075.0,703.0,88.0,7495.0,41.0,71.0,131.0,121.0,38.0,358.0,213.0,103.0,77.0,41.0,53.0,276.0,60.0,1248.0,423.0,10037.0,11336.0,4043.0,1835.0,18470.0,4580.0,3890.0,7149.0,25620.0,25620.0,26265.0,26265.0,799.0,101560.0,189.0,471.0,152.0,548.0,813.0,1134.0,108996.0,5246.0,106408.0,1475.0,751.0,1181.0,109945.0
2003-03-02,2262.0,5069.0,446.0,3411.0,166.0,351.0,146.0,394.0,1017.0,882.0,2000.0,2896.0,4173.0,9626.0,10304.0,822.0,13181.0,3246.0,5256.0,274.0,48465.0,299.0,54358.0,45782.0,495.0,264.0,45739.0,578.0,47170.0,73.0,1320.0,51242.0,70000.0,229.0,234.0,316.0,343.0,854.0,198.0,1448.0,121.0,311.0,242.0,349.0,2544.0,3794.0,343.0,403.0,1083.0,355.0,1359.0,451.0,1007.0,1234.0,1962.0,1426.0,23.0,2050.0,1792.0,1509.0,1355.0,238.0,4052.0,697.0,86.0,7516.0,41.0,71.0,129.0,120.0,38.0,504.0,188.0,141.0,76.0,41.0,52.0,266.0,59.0,1233.0,410.0,9921.0,11189.0,4008.0,1735.0,18028.0,4562.0,3872.0,7043.0,25071.0,25071.0,25699.0,25699.0,756.0,100619.0,179.0,428.0,154.0,492.0,777.0,1090.0,107916.0,5227.0,105246.0,1495.0,810.0,1211.0,108795.0
2003-03-03,2250.0,5062.0,440.0,3391.0,165.0,350.0,145.0,390.0,1010.0,874.0,1983.0,2868.0,4135.0,9498.0,10148.0,809.0,12984.0,3151.0,5111.0,264.0,50415.0,295.0,56068.0,72656.0,486.0,262.0,72529.0,567.0,73095.0,71.0,1301.0,74255.0,70000.0,222.0,226.0,308.0,323.0,801.0,204.0,1412.0,114.0,313.0,238.0,350.0,2451.0,3642.0,342.0,401.0,1073.0,353.0,1346.0,450.0,1003.0,1225.0,1946.0,1424.0,23.0,2021.0,1757.0,1473.0,1330.0,239.0,4027.0,690.0,84.0,7525.0,41.0,71.0,127.0,122.0,37.0,716.0,162.0,162.0,76.0,41.0,51.0,258.0,57.0,1239.0,486.0,9933.0,11151.0,3985.0,1635.0,17766.0,4648.0,3847.0,7145.0,24911.0,24911.0,25523.0,25523.0,722.0,100005.0,171.0,413.0,174.0,442.0,748.0,1051.0,107151.0,5210.0,104396.0,1513.0,888.0,1245.0,108007.0
2003-03-04,2238.0,5056.0,435.0,3371.0,164.0,349.0,143.0,387.0,1003.0,867.0,1966.0,2843.0,4106.0,9412.0,10047.0,785.0,12838.0,3073.0,4984.0,253.0,49788.0,291.0,55876.0,67250.0,478.0,260.0,68350.0,557.0,70824.0,69.0,1274.0,75458.0,70000.0,214.0,221.0,298.0,310.0,750.0,207.0,1398.0,108.0,309.0,232.0,350.0,2390.0,3529.0,340.0,399.0,1064.0,352.0,1334.0,450.0,999.0,1217.0,1931.0,1423.0,23.0,2001.0,1729.0,1439.0,1307.0,239.0,4004.0,683.0,82.0,7516.0,41.0,71.0,125.0,122.0,36.0,881.0,137.0,168.0,75.0,41.0,51.0,249.0,56.0,1246.0,637.0,10072.0,11255.0,3968.0,1610.0,17762.0,4730.0,3826.0,7457.0,25220.0,25220.0,25822.0,25822.0,694.0,99939.0,163.0,428.0,195.0,424.0,719.0,1020.0,106943.0,5199.0,104100.0,1553.0,917.0,1285.0,107786.0
2003-03-05,2227.0,5051.0,431.0,3353.0,163.0,347.0,142.0,383.0,997.0,859.0,1951.0,2823.0,4079.0,9354.0,9984.0,761.0,12752.0,3110.0,4943.0,243.0,49599.0,288.0,55505.0,67000.0,470.0,258.0,67805.0,547.0,69874.0,68.0,1270.0,73615.0,70000.0,211.0,220.0,292.0,325.0,702.0,217.0,1387.0,104.0,301.0,235.0,347.0,2347.0,3449.0,339.0,397.0,1055.0,350.0,1324.0,449.0,996.0,1209.0,1917.0,1421.0,23.0,1986.0,1708.0,1413.0,1289.0,240.0,3984.0,677.0,81.0,7508.0,41.0,71.0,123.0,123.0,36.0,981.0,137.0,185.0,75.0,42.0,50.0,242.0,55.0,1259.0,681.0,10150.0,11354.0,3959.0,1626.0,17910.0,4731.0,3814.0,7500.0,25410.0,25410.0,26077.0,26077.0,700.0,100134.0,156.0,434.0,216.0,434.0,691.0,1016.0,107119.0,5189.0,104208.0,1617.0,955.0,1341.0,107984.0
