, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-03-10,2870.0,4836.0,435.0,388.0,630.0,3628.0,198.0,434.0,178.0,436.0,1083.0,960.0,2104.0,186.0,2746.0,4257.0,10067.0,10386.0,883.0,12198.0,2889.0,5803.0,690.0,53058.0,410.0,60934.0,63107.0,510.0,273.0,60389.0,710.0,59052.0,77.0,1295.0,60668.0,61008.0,252.0,462.0,314.0,501.0,746.0,247.0,1463.0,151.0,391.0,352.0,646.0,2482.0,2910.0,369.0,368.0,1116.0,433.0,1467.0,412.0,1005.0,1288.0,2073.0,1444.0,18.0,2448.0,2095.0,1702.0,1616.0,195.0,4178.0,618.0,94.0,7445.0,41.0,71.0,145.0,221.0,38.0,674.0,188.0,741.0,74.0,73.0,40.0,48.0,830.0,75.0,1649.0,632.0,10614.0,12336.0,4500.0,6349.0,24173.0,9291.0,8207.0,16899.0,41072.0,39926.0,39657.0,40539.0,2523.0,111457.0,904.0,1978.0,733.0,1756.0,1267.0,1554.0,121998.0,6023.0,117031.0,3001.0,1875.0,2141.0,122379.0
2003-03-11,2875.0,5243.0,431.0,393.0,625.0,3618.0,205.0,435.0,174.0,431.0,1085.0,1154.0,2300.0,208.0,2834.0,4421.0,10130.0,10624.0,912.0,13276.0,3839.0,4522.0,530.0,52687.0,403.0,60211.0,80000.0,553.0,271.0,80619.0,732.0,82451.0,73.0,1411.0,86757.0,86206.0,297.0,512.0,349.0,711.0,921.0,369.0,1896.0,193.0,530.0,427.0,790.0,2853.0,3125.0,370.0,373.0,1130.0,473.0,1472.0,412.0,1004.0,1281.0,2119.0,1453.0,21.0,2447.0,2134.0,1808.0,1642.0,195.0,4157.0,618.0,153.0,7647.0,41.0,72.0,154.0,230.0,44.0,1350.0,81.0,598.0,102.0,73.0,44.0,45.0,775.0,81.0,1932.0,1053.0,11762.0,13363.0,4878.0,6941.0,29410.0,10568.0,10927.0,15212.0,44622.0,44349.0,44718.0,44192.0,2873.0,119990.0,876.0,1997.0,737.0,2040.0,1487.0,1999.0,125551.0,5896.0,122256.0,3392.0,1484.0,2037.0,127559.0
2003-03-12,3281.0,6125.0,428.0,399.0,620.0,3621.0,257.0,464.0,208.0,462.0,1160.0,1526.0,2746.0,307.0,3132.0,4872.0,10552.0,11413.0,1118.0,15337.0,7433.0,5668.0,953.0,53246.0,491.0,60468.0,80000.0,557.0,275.0,80899.0,917.0,83166.0,71.0,1662.0,88664.0,88656.0,506.0,783.0,488.0,1214.0,1287.0,638.0,2925.0,366.0,997.0,677.0,1577.0,4282.0,3650.0,366.0,377.0,1162.0,467.0,1497.0,411.0,1002.0,1281.0,2132.0,1453.0,27.0,2423.0,2112.0,1824.0,1708.0,197.0,4225.0,616.0,262.0,7866.0,41.0,72.0,169.0,254.0,61.0,2550.0,78.0,550.0,215.0,81.0,73.0,43.0,1196.0,93.0,2570.0,2290.0,13326.0,14738.0,5407.0,7084.0,30281.0,12970.0,13768.0,17445.0,47726.0,47453.0,47839.0,47313.0,3123.0,138579.0,855.0,1772.0,612.0,1955.0,1726.0,2378.0,147097.0,7003.0,145136.0,4773.0,2316.0,2277.0,151234.0
2003-03-13,4137.0,8000.0,424.0,397.0,616.0,3646.0,326.0,542.0,314.0,577.0,1419.0,1836.0,3313.0,361.0,3663.0,5106.0,11311.0,12463.0,2005.0,17979.0,12699.0,6865.0,1088.0,58519.0,1034.0,64867.0,80000.0,587.0,391.0,80980.0,1691.0,83259.0,112.0,2158.0,89027.0,89006.0,617.0,946.0,577.0,1370.0,1504.0,945.0,3717.0,510.0,1361.0,747.0,2286.0,6025.0,5018.0,379.0,381.0,1166.0,466.0,1527.0,412.0,1000.0,1282.0,2161.0,1461.0,39.0,2406.0,2084.0,1798.0,1715.0,198.0,4269.0,615.0,390.0,8065.0,41.0,72.0,194.0,287.0,78.0,3456.0,78.0,540.0,332.0,142.0,86.0,40.0,1211.0,106.0,3283.0,2948.0,15384.0,16838.0,6082.0,7124.0,31345.0,16025.0,16513.0,20845.0,52190.0,51917.0,53450.0,52923.0,3140.0,145785.0,869.0,1779.0,505.0,1770.0,2046.0,2734.0,154820.0,7861.0,153899.0,6091.0,3151.0,2552.0,163522.0
2003-03-14,4681.0,10187.0,473.0,395.0,650.0,3560.0,385.0,625.0,444.0,741.0,1971.0,1932.0,3961.0,372.0,4242.0,5537.0,12417.0,13768.0,3073.0,20687.0,14214.0,8316.0,945.0,64785.0,1847.0,73443.0,76250.0,894.0,742.0,78385.0,2471.0,81482.0,176.0,2622.0,88345.0,87380.0,576.0,903.0,566.0,1245.0,1473.0,1160.0,4036.0,502.0,1422.0,638.0,2358.0,6944.0,6924.0,382.0,382.0,1168.0,453.0,1538.0,417.0,996.0,1276.0,2151.0,1468.0,55.0,2396.0,2071.0,1778.0,1699.0,200.0,4274.0,614.0,529.0,9088.0,40.0,72.0,221.0,324.0,128.0,4054.0,77.0,530.0,389.0,209.0,114.0,38.0,1191.0,128.0,3510.0,2639.0,15860.0,17713.0,6421.0,7217.0,32724.0,17131.0,16473.0,21827.0,54552.0,54279.0,57208.0,56681.0,2861.0,151677.0,937.0,1957.0,543.0,1794.0,2230.0,3113.0,161300.0,7427.0,159962.0,5661.0,3209.0,2513.0,171186.0
2003-03-15,4957.0,11664.0,938.0,415.0,813.0,3848.0,410.0,687.0,568.0,950.0,2885.0,2775.0,5716.0,424.0,5347.0,5907.0,13679.0,15114.0,3804.0,22384.0,14852.0,10163.0,1029.0,68960.0,1966.0,80145.0,61250.0,1196.0,780.0,63981.0,1943.0,67572.0,158.0,2575.0,75397.0,72332.0,466.0,702.0,497.0,926.0,1275.0,1025.0,3446.0,449.0,1280.0,526.0,2020.0,6461.0,8092.0,378.0,383.0,1172.0,453.0,1536.0,420.0,993.0,1272.0,2196.0,1489.0,64.0,2370.0,2043.0,1759.0,1688.0,202.0,4281.0,614.0,743.0,11619.0,40.0,72.0,242.0,364.0,135.0,4724.0,76.0,526.0,399.0,293.0,144.0,39.0,1420.0,166.0,4176.0,3051.0,16965.0,18823.0,7066.0,8067.0,35611.0,19254.0,17832.0,24804.0,60415.0,60142.0,64435.0,63908.0,2769.0,151891.0,813.0,2227.0,441.0,2067.0,2603.0,3831.0,163865.0,7019.0,162366.0,4960.0,2748.0,2299.0,173668.0
2003-03-16,4749.0,10700.0,937.0,462.0,737.0,3997.0,405.0,718.0,627.0,1078.0,3147.0,2682.0,5884.0,385.0,6778.0,5661.0,15173.0,16519.0,3772.0,22878.0,13131.0,10415.0,723.0,70625.0,1645.0,82442.0,57500.0,1355.0,675.0,58062.0,1783.0,59355.0,141.0,2335.0,64363.0,72213.0,488.0,656.0,525.0,933.0,1223.0,994.0,3175.0,437.0,1201.0,529.0,1776.0,5691.0,8106.0,380.0,384.0,1170.0,465.0,1533.0,420.0,989.0,1267.0,2241.0,1508.0,57.0,2346.0,2011.0,1727.0,1670.0,206.0,4280.0,614.0,809.0,10025.0,40.0,72.0,231.0,335.0,121.0,5030.0,76.0,517.0,362.0,249.0,157.0,39.0,1174.0,132.0,4072.0,2652.0,19326.0,21727.0,7355.0,7723.0,35156.0,19329.0,16598.0,24010.0,59165.0,58892.0,61590.0,61064.0,2331.0,144875.0,752.0,1880.0,397.0,2098.0,2513.0,3790.0,157447.0,6473.0,155500.0,4362.0,2404.0,2149.0,165489.0
2003-03-17,4825.0,10099.0,887.0,466.0,680.0,3972.0,399.0,749.0,644.0,1124.0,3318.0,2484.0,5857.0,387.0,6821.0,5807.0,16157.0,17618.0,3869.0,24629.0,11857.0,11559.0,743.0,71816.0,1730.0,84760.0,78750.0,1692.0,700.0,80588.0,1926.0,82194.0,153.0,2327.0,85640.0,85008.0,476.0,651.0,508.0,973.0,1258.0,1011.0,3353.0,428.0,1205.0,487.0,1816.0,5920.0,8224.0,387.0,389.0,1180.0,448.0,1525.0,416.0,986.0,1257.0,2276.0,1518.0,85.0,2323.0,1988.0,1694.0,1641.0,213.0,4261.0,543.0,961.0,10955.0,40.0,71.0,233.0,462.0,151.0,6740.0,75.0,508.0,443.0,415.0,349.0,42.0,1224.0,130.0,4190.0,2717.0,19317.0,22677.0,7524.0,7496.0,36367.0,18144.0,15533.0,22793.0,59160.0,58887.0,62313.0,61787.0,2303.0,146224.0,860.0,2358.0,468.0,1956.0,2913.0,4389.0,156553.0,6566.0,154247.0,4589.0,2272.0,2310.0,163035.0
2003-03-18,4818.0,10444.0,1003.0,462.0,723.0,4105.0,408.0,779.0,682.0,1158.0,3588.0,3059.0,6700.0,399.0,7076.0,5949.0,16391.0,17849.0,4305.0,25220.0,11620.0,12651.0,812.0,73650.0,2240.0,88369.0,78806.0,2026.0,672.0,80480.0,1689.0,82189.0,141.0,2137.0,86732.0,86686.0,387.0,515.0,455.0,807.0,1124.0,822.0,2991.0,369.0,1080.0,432.0,1558.0,5650.0,8302.0,393.0,448.0,1225.0,452.0,1523.0,413.0,982.0,1249.0,2346.0,1526.0,79.0,2340.0,1993.0,1671.0,1611.0,226.0,4243.0,519.0,1096.0,12157.0,40.0,70.0,238.0,721.0,144.0,8810.0,74.0,505.0,519.0,470.0,354.0,45.0,1245.0,129.0,4324.0,3005.0,19490.0,23100.0,7977.0,7664.0,38014.0,18529.0,15508.0,23538.0,61552.0,61279.0,65683.0,65156.0,2460.0,160501.0,712.0,2399.0,386.0,2425.0,3387.0,5276.0,171915.0,6067.0,168771.0,4216.0,1838.0,2119.0,176486.0
2003-03-19,4519.0,9842.0,955.0,457.0,631.0,4096.0,399.0,797.0,641.0,1130.0,3467.0,2806.0,6326.0,372.0,7654.0,5909.0,17073.0,18397.0,4304.0,25124.0,10882.0,12361.0,651.0,73807.0,2304.0,88807.0,89621.0,2083.0,616.0,92103.0,1494.0,94007.0,130.0,1836.0,97558.0,97158.0,328.0,398.0,428.0,621.0,1035.0,643.0,2558.0,332.0,973.0,394.0,1362.0,4967.0,7755.0,373.0,411.0,1191.0,431.0,1530.0,408.0,978.0,1239.0,2223.0,1504.0,50.0,2347.0,2010.0,1680.0,1602.0,248.0,4228.0,526.0,1030.0,10373.0,40.0,69.0,235.0,653.0,129.0,8485.0,74.0,492.0,422.0,284.0,250.0,41.0,1035.0,122.0,3726.0,2400.0,20377.0,24499.0,8066.0,7138.0,37304.0,18015.0,14261.0,22610.0,59914.0,59641.0,62934.0,62408.0,2106.0,164010.0,526.0,1774.0,310.0,2210.0,2944.0,4997.0,176512.0,5715.0,173407.0,3647.0,1507.0,1847.0,180982.0
