, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-07-28,8741.0,18122.0,1606.0,1266.0,931.0,7342.0,32.0,288.0,338.0,668.0,1288.0,729.0,2067.0,139.0,2903.0,8228.0,12638.0,13527.0,349.0,13198.0,525.0,1308.0,55.0,91500.0,486.0,94291.0,105961.0,533.0,538.0,101628.0,1681.0,95003.0,206.0,1304.0,93078.0,90572.0,88.0,56.0,454.0,241.0,4671.0,17.0,4089.0,88.0,436.0,371.0,310.0,306.0,1962.0,538.0,279.0,1496.0,582.0,1254.0,771.0,6695.0,7121.0,7876.0,14549.0,7.0,12838.0,10281.0,7544.0,6808.0,13.0,8580.0,10.0,60.0,4900.0,151.0,158.0,340.0,84.0,75.0,108.0,1246.0,1138.0,8.0,85.0,0.0,5.0,620.0,206.0,2013.0,330.0,9326.0,9702.0,5946.0,564.0,15630.0,2499.0,1453.0,14283.0,29913.0,29913.0,29938.0,29938.0,10.0,118225.0,38.0,25.0,0.0,1.0,129.0,97.0,115246.0,4325.0,110808.0,964.0,342.0,686.0,128941.0
2003-07-29,8343.0,18107.0,1686.0,1214.0,896.0,6420.0,32.0,298.0,331.0,657.0,1273.0,683.0,2002.0,135.0,2845.0,7260.0,12279.0,13167.0,344.0,12941.0,502.0,1224.0,54.0,89690.0,468.0,91441.0,114344.0,513.0,520.0,115832.0,1636.0,116885.0,199.0,1290.0,122708.0,122542.0,84.0,55.0,446.0,229.0,4672.0,16.0,4119.0,85.0,430.0,379.0,296.0,232.0,1921.0,532.0,258.0,1486.0,569.0,1249.0,756.0,6623.0,7051.0,8033.0,14540.0,7.0,12832.0,10409.0,7777.0,7138.0,12.0,8962.0,10.0,59.0,4896.0,149.0,156.0,327.0,74.0,72.0,106.0,1099.0,975.0,8.0,83.0,0.0,1.0,617.0,196.0,2039.0,324.0,8899.0,9420.0,5823.0,553.0,18451.0,2328.0,1425.0,13993.0,32445.0,32445.0,32469.0,32469.0,10.0,156330.0,38.0,26.0,0.0,0.0,115.0,96.0,150417.0,4254.0,146382.0,1026.0,356.0,693.0,144582.0
2003-07-30,8011.0,18095.0,1614.0,1165.0,906.0,5370.0,32.0,292.0,326.0,648.0,1266.0,636.0,1944.0,132.0,2775.0,6180.0,11129.0,12026.0,340.0,11932.0,487.0,1093.0,52.0,89548.0,450.0,91288.0,110156.0,498.0,502.0,111439.0,1592.0,113694.0,192.0,1278.0,119544.0,119670.0,81.0,54.0,440.0,218.0,4653.0,16.0,4129.0,82.0,423.0,382.0,283.0,165.0,1854.0,532.0,245.0,1464.0,559.0,1224.0,741.0,6567.0,6983.0,8169.0,14526.0,7.0,12771.0,10428.0,7846.0,7302.0,12.0,9223.0,10.0,58.0,4931.0,145.0,152.0,313.0,59.0,69.0,105.0,969.0,781.0,8.0,80.0,0.0,4.0,620.0,185.0,2045.0,318.0,8600.0,9077.0,5700.0,543.0,17918.0,2205.0,1398.0,13827.0,31745.0,31745.0,31770.0,31770.0,10.0,169852.0,37.0,26.0,0.0,0.0,106.0,86.0,171336.0,4245.0,169173.0,1051.0,355.0,697.0,170936.0
2003-07-31,8196.0,18012.0,1470.0,1125.0,922.0,4166.0,32.0,286.0,322.0,644.0,1255.0,597.0,1889.0,129.0,2716.0,5116.0,9863.0,10753.0,336.0,10634.0,472.0,985.0,51.0,89405.0,434.0,90587.0,108437.0,483.0,486.0,109860.0,1549.0,112266.0,186.0,1249.0,118003.0,118111.0,77.0,53.0,423.0,208.0,4631.0,15.0,4166.0,81.0,417.0,360.0,271.0,208.0,1795.0,533.0,231.0,1437.0,550.0,1195.0,734.0,6519.0,6927.0,8149.0,13544.0,7.0,12504.0,10277.0,7803.0,7348.0,12.0,9315.0,10.0,57.0,4997.0,141.0,148.0,300.0,47.0,67.0,105.0,984.0,682.0,8.0,77.0,0.0,3.0,626.0,174.0,2068.0,312.0,8417.0,8855.0,5581.0,533.0,17472.0,2098.0,1373.0,13719.0,31191.0,31191.0,31215.0,31215.0,10.0,165597.0,37.0,25.0,0.0,0.0,99.0,81.0,167311.0,4239.0,165464.0,1047.0,335.0,699.0,167871.0
2003-08-01,7774.0,13894.0,1499.0,1090.0,828.0,3669.0,32.0,293.0,316.0,634.0,1235.0,561.0,1829.0,125.0,2663.0,4072.0,8933.0,9817.0,332.0,9722.0,451.0,963.0,50.0,94837.0,418.0,94159.0,101249.0,471.0,470.0,103080.0,1508.0,105504.0,180.0,1218.0,112070.0,112531.0,73.0,52.0,405.0,198.0,4600.0,14.0,4194.0,81.0,410.0,309.0,262.0,276.0,1785.0,542.0,220.0,1422.0,546.0,1179.0,739.0,6481.0,6886.0,8074.0,11897.0,7.0,11176.0,9195.0,7262.0,7154.0,12.0,9263.0,10.0,55.0,5098.0,140.0,147.0,287.0,46.0,68.0,107.0,1045.0,745.0,8.0,74.0,0.0,1.0,642.0,164.0,2087.0,308.0,8423.0,8833.0,5487.0,523.0,17227.0,2017.0,1349.0,13640.0,30867.0,30867.0,30891.0,30891.0,10.0,162076.0,37.0,25.0,0.0,0.0,92.0,80.0,164135.0,4234.0,162402.0,1004.0,312.0,693.0,164835.0
2003-08-02,7248.0,10083.0,1438.0,1055.0,787.0,3618.0,32.0,304.0,313.0,625.0,1232.0,535.0,1797.0,122.0,2609.0,3637.0,7842.0,8730.0,329.0,8620.0,441.0,946.0,51.0,96466.0,404.0,98325.0,94531.0,462.0,455.0,96778.0,1468.0,99256.0,175.0,1189.0,105356.0,105677.0,69.0,51.0,390.0,189.0,4569.0,14.0,4206.0,80.0,403.0,287.0,254.0,341.0,1826.0,559.0,210.0,1441.0,552.0,1202.0,771.0,6455.0,6857.0,8024.0,11591.0,7.0,10071.0,8036.0,6021.0,6189.0,12.0,8641.0,10.0,55.0,5292.0,141.0,148.0,275.0,57.0,70.0,119.0,1053.0,772.0,8.0,72.0,0.0,1.0,647.0,154.0,2107.0,304.0,8600.0,8990.0,5436.0,515.0,17166.0,1952.0,1346.0,13569.0,30735.0,30735.0,30759.0,30759.0,10.0,153423.0,36.0,26.0,0.0,0.0,86.0,87.0,155987.0,4235.0,154535.0,968.0,305.0,685.0,157296.0
2003-08-03,7016.0,10059.0,1315.0,1023.0,779.0,3504.0,32.0,302.0,313.0,616.0,1230.0,512.0,1768.0,120.0,2567.0,3512.0,7150.0,8035.0,326.0,7868.0,434.0,936.0,50.0,93310.0,390.0,95296.0,67735.0,452.0,441.0,69556.0,1429.0,72290.0,170.0,1162.0,79816.0,80921.0,65.0,50.0,376.0,181.0,4518.0,13.0,4194.0,80.0,396.0,277.0,247.0,368.0,1881.0,573.0,199.0,1453.0,572.0,1239.0,792.0,6415.0,6842.0,8016.0,11586.0,7.0,9933.0,7879.0,5469.0,5282.0,12.0,7650.0,10.0,54.0,5431.0,140.0,147.0,263.0,57.0,72.0,126.0,1054.0,742.0,8.0,69.0,0.0,1.0,664.0,144.0,2124.0,298.0,8777.0,9152.0,5388.0,507.0,17195.0,1901.0,1334.0,13244.0,30440.0,30440.0,30464.0,30464.0,10.0,140427.0,36.0,26.0,0.0,0.0,87.0,87.0,144719.0,4224.0,143637.0,941.0,300.0,674.0,146870.0
2003-08-04,7706.0,10062.0,1250.0,992.0,975.0,3442.0,33.0,321.0,353.0,624.0,1296.0,601.0,1918.0,124.0,2555.0,3708.0,6903.0,7865.0,323.0,7822.0,468.0,936.0,56.0,91745.0,378.0,93436.0,90616.0,442.0,428.0,89898.0,1392.0,89072.0,165.0,1135.0,90149.0,89058.0,63.0,49.0,362.0,174.0,4449.0,13.0,4155.0,79.0,389.0,271.0,239.0,364.0,1917.0,583.0,191.0,1452.0,593.0,1275.0,776.0,6349.0,6795.0,7997.0,11579.0,7.0,9949.0,7971.0,5529.0,5116.0,13.0,7250.0,10.0,55.0,5507.0,145.0,152.0,254.0,76.0,80.0,157.0,1055.0,730.0,8.0,66.0,0.0,2.0,745.0,136.0,2170.0,292.0,8947.0,9311.0,5404.0,500.0,17287.0,1975.0,1429.0,11611.0,28898.0,28898.0,28922.0,28922.0,10.0,119802.0,36.0,25.0,0.0,0.0,136.0,132.0,122296.0,4217.0,121273.0,931.0,296.0,667.0,124583.0
2003-08-05,7513.0,10070.0,1148.0,963.0,882.0,3355.0,33.0,325.0,335.0,637.0,1322.0,637.0,1976.0,117.0,2673.0,3525.0,6994.0,7892.0,320.0,7685.0,455.0,965.0,50.0,91175.0,368.0,92677.0,91223.0,434.0,416.0,92385.0,1356.0,94028.0,161.0,1110.0,98739.0,98853.0,60.0,48.0,348.0,167.0,4379.0,13.0,4108.0,78.0,382.0,262.0,231.0,344.0,1924.0,566.0,178.0,1421.0,593.0,1293.0,725.0,6279.0,6699.0,7897.0,11569.0,7.0,9919.0,8006.0,5574.0,5199.0,13.0,7300.0,10.0,55.0,5503.0,138.0,145.0,248.0,78.0,69.0,147.0,1056.0,712.0,8.0,63.0,0.0,1.0,691.0,127.0,2193.0,287.0,9111.0,9469.0,5467.0,498.0,17473.0,2058.0,1347.0,11671.0,29143.0,29143.0,29167.0,29167.0,10.0,133740.0,36.0,25.0,0.0,0.0,128.0,165.0,132597.0,4211.0,130312.0,919.0,292.0,662.0,130749.0
2003-08-06,6231.0,10049.0,1155.0,935.0,722.0,3351.0,33.0,315.0,300.0,619.0,1258.0,516.0,1787.0,112.0,2715.0,3289.0,7063.0,7931.0,318.0,7683.0,400.0,909.0,46.0,90748.0,358.0,92166.0,90712.0,427.0,405.0,91660.0,1321.0,93012.0,156.0,1086.0,97105.0,97137.0,58.0,48.0,334.0,161.0,4310.0,12.0,4063.0,78.0,375.0,259.0,224.0,327.0,1909.0,548.0,167.0,1408.0,578.0,1289.0,690.0,6218.0,6620.0,7794.0,11561.0,7.0,9907.0,8063.0,5644.0,5280.0,13.0,7403.0,10.0,54.0,5465.0,129.0,136.0,242.0,66.0,64.0,118.0,1057.0,716.0,8.0,61.0,0.0,1.0,675.0,118.0,2188.0,281.0,9166.0,9546.0,5352.0,492.0,17587.0,1909.0,1259.0,11581.0,29169.0,29169.0,29193.0,29193.0,10.0,135545.0,36.0,26.0,0.0,0.0,96.0,139.0,137230.0,4206.0,135826.0,910.0,286.0,655.0,137816.0
