, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER 10 ENE, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-12-22,3127.0,10735.0,690.0,549.0,839.0,3632.0,189.0,448.0,195.0,472.0,1184.0,751.0,2017.0,103.0,2412.0,4190.0,11792.0,12439.0,564.0,13935.0,2187.0,4471.0,114.0,100453.0,316.0,108686.0,117227.0,995.0,535.0,112901.0,860.0,108651.0,109.0,1182.0,105743.0,103646.0,132.0,124.0,231.0,342.0,555.0,129.0,844.0,120.0,480.0,190.0,622.0,1674.0,1868.0,359.0,430.0,1096.0,395.0,1447.0,458.0,1033.0,1306.0,2160.0,1491.0,25.0,2223.0,2205.0,1789.0,1703.0,189.0,4321.0,539.0,71.0,7270.0,56.0,84.0,128.0,76.0,63.0,282.0,248.0,766.0,94.0,61.0,38.0,53.0,342.0,88.0,1108.0,268.0,9970.0,11125.0,3403.0,1151.0,12971.0,2265.0,1736.0,4057.0,17028.0,17028.0,17223.0,17223.0,511.0,115136.0,174.0,346.0,48.0,307.0,345.0,598.0,119819.0,5344.0,118027.0,778.0,758.0,628.0,136042.0
2003-12-23,3103.0,10726.0,685.0,544.0,827.0,3616.0,189.0,453.0,195.0,470.0,1173.0,747.0,1996.0,101.0,2554.0,4228.0,11990.0,12629.0,556.0,14835.0,2074.0,4226.0,102.0,97093.0,315.0,101765.0,121250.0,1018.0,526.0,123642.0,837.0,126874.0,109.0,1148.0,133287.0,133331.0,129.0,121.0,228.0,342.0,551.0,126.0,830.0,116.0,480.0,188.0,620.0,1657.0,1858.0,359.0,428.0,1087.0,388.0,1434.0,457.0,1029.0,1288.0,2122.0,1499.0,25.0,2235.0,2178.0,1865.0,1873.0,190.0,4464.0,539.0,71.0,7238.0,56.0,84.0,128.0,75.0,63.0,281.0,246.0,758.0,93.0,61.0,38.0,49.0,332.0,87.0,1119.0,248.0,10111.0,11047.0,3378.0,1096.0,13418.0,2166.0,1566.0,4151.0,17570.0,17570.0,17876.0,17876.0,545.0,148875.0,156.0,300.0,47.0,308.0,340.0,662.0,147374.0,5490.0,145403.0,795.0,783.0,636.0,144198.0
2003-12-24,3081.0,10740.0,680.0,539.0,816.0,3605.0,188.0,453.0,194.0,467.0,1172.0,744.0,1985.0,102.0,2577.0,4233.0,12107.0,12807.0,570.0,15054.0,2176.0,3226.0,135.0,97554.0,314.0,101143.0,97500.0,1020.0,516.0,101942.0,833.0,107275.0,109.0,1152.0,116402.0,117478.0,190.0,209.0,245.0,552.0,584.0,190.0,844.0,115.0,507.0,187.0,634.0,1655.0,1873.0,358.0,427.0,1078.0,382.0,1398.0,457.0,1025.0,1283.0,2108.0,1498.0,25.0,2223.0,2174.0,1874.0,1932.0,191.0,4577.0,539.0,71.0,7233.0,56.0,84.0,127.0,74.0,63.0,281.0,246.0,758.0,93.0,61.0,39.0,54.0,323.0,85.0,1137.0,267.0,10436.0,11370.0,3352.0,1091.0,13536.0,2088.0,1709.0,4066.0,17602.0,17602.0,18856.0,18856.0,755.0,157469.0,357.0,384.0,124.0,277.0,375.0,732.0,163540.0,5759.0,163553.0,1249.0,1404.0,890.0,166237.0
2003-12-25,3064.0,10831.0,675.0,534.0,806.0,3595.0,188.0,452.0,193.0,465.0,1170.0,741.0,1972.0,102.0,2568.0,4286.0,12135.0,12954.0,686.0,15471.0,2627.0,3599.0,269.0,97978.0,314.0,101914.0,70000.0,1020.0,507.0,70280.0,829.0,72193.0,109.0,1187.0,78877.0,79822.0,188.0,205.0,246.0,534.0,600.0,237.0,934.0,117.0,597.0,186.0,719.0,1764.0,1891.0,357.0,425.0,1070.0,378.0,1382.0,456.0,1023.0,1279.0,2099.0,1496.0,25.0,2186.0,2137.0,1855.0,1934.0,192.0,4603.0,539.0,70.0,7331.0,56.0,84.0,127.0,74.0,63.0,280.0,246.0,759.0,93.0,61.0,39.0,71.0,315.0,84.0,1223.0,586.0,10707.0,11605.0,3331.0,1325.0,13792.0,2173.0,2406.0,4192.0,17984.0,17984.0,20996.0,20996.0,1451.0,133811.0,465.0,926.0,181.0,400.0,606.0,1056.0,143971.0,5870.0,145090.0,1239.0,1120.0,821.0,150845.0
2003-12-26,3042.0,10841.0,670.0,530.0,796.0,3586.0,188.0,451.0,193.0,464.0,1166.0,737.0,1958.0,99.0,2553.0,4270.0,12105.0,12866.0,684.0,15278.0,2469.0,3617.0,150.0,97987.0,315.0,102267.0,96250.0,1002.0,499.0,97848.0,797.0,99613.0,109.0,1148.0,102569.0,101617.0,147.0,144.0,243.0,385.0,579.0,191.0,955.0,112.0,632.0,185.0,773.0,1930.0,1961.0,357.0,423.0,1063.0,374.0,1371.0,456.0,1020.0,1275.0,2092.0,1495.0,25.0,2163.0,2109.0,1822.0,1909.0,193.0,4591.0,539.0,70.0,7333.0,56.0,84.0,127.0,73.0,63.0,280.0,246.0,760.0,93.0,61.0,41.0,80.0,308.0,83.0,1225.0,577.0,11006.0,12057.0,3314.0,1276.0,13895.0,2269.0,2045.0,4237.0,18132.0,18132.0,19817.0,19817.0,1066.0,115490.0,278.0,622.0,94.0,853.0,529.0,1168.0,120152.0,5698.0,120035.0,974.0,812.0,648.0,123548.0
2003-12-27,3023.0,10823.0,666.0,525.0,787.0,3578.0,187.0,450.0,192.0,462.0,1163.0,734.0,1945.0,97.0,2538.0,4208.0,12084.0,12796.0,666.0,15156.0,2291.0,3431.0,110.0,91194.0,316.0,97350.0,80000.0,976.0,490.0,82818.0,777.0,86633.0,109.0,1081.0,93543.0,94240.0,132.0,119.0,237.0,333.0,567.0,153.0,912.0,108.0,616.0,184.0,758.0,1936.0,2073.0,356.0,421.0,1056.0,370.0,1362.0,455.0,1017.0,1271.0,2085.0,1493.0,25.0,2146.0,2089.0,1798.0,1881.0,193.0,4563.0,539.0,70.0,7244.0,55.0,84.0,126.0,72.0,63.0,280.0,245.0,760.0,92.0,60.0,42.0,73.0,302.0,81.0,1184.0,388.0,10904.0,12032.0,3292.0,1130.0,13827.0,2249.0,1848.0,4219.0,18047.0,18047.0,18911.0,18911.0,745.0,129376.0,203.0,407.0,73.0,629.0,467.0,1001.0,134988.0,5581.0,134221.0,903.0,674.0,606.0,135845.0
2003-12-28,3005.0,10807.0,661.0,521.0,779.0,3570.0,187.0,449.0,192.0,461.0,1160.0,731.0,1931.0,95.0,2524.0,4188.0,12070.0,12750.0,646.0,15085.0,2005.0,3166.0,105.0,83576.0,315.0,89017.0,78750.0,956.0,482.0,77641.0,760.0,77818.0,110.0,1039.0,80850.0,80741.0,124.0,110.0,231.0,311.0,557.0,132.0,869.0,105.0,595.0,183.0,733.0,1864.0,2105.0,355.0,420.0,1049.0,366.0,1353.0,454.0,1014.0,1268.0,2078.0,1492.0,25.0,2130.0,2072.0,1778.0,1860.0,193.0,4539.0,539.0,70.0,7209.0,55.0,83.0,126.0,72.0,62.0,280.0,245.0,761.0,92.0,60.0,43.0,67.0,296.0,80.0,1161.0,310.0,10708.0,11756.0,3269.0,1054.0,13687.0,2163.0,1758.0,4133.0,17821.0,17821.0,18480.0,18480.0,664.0,114671.0,174.0,338.0,67.0,435.0,433.0,874.0,122789.0,5519.0,122961.0,874.0,611.0,593.0,126598.0
2003-12-29,2989.0,10802.0,657.0,517.0,771.0,3563.0,186.0,448.0,191.0,459.0,1156.0,727.0,1918.0,93.0,2509.0,4178.0,12058.0,12709.0,625.0,15022.0,1799.0,2917.0,103.0,76826.0,315.0,81918.0,119640.0,940.0,474.0,120180.0,743.0,120774.0,110.0,1012.0,121228.0,119666.0,117.0,104.0,225.0,294.0,548.0,120.0,839.0,102.0,578.0,182.0,711.0,1796.0,2060.0,355.0,418.0,1043.0,363.0,1346.0,454.0,1012.0,1264.0,2071.0,1490.0,25.0,2116.0,2055.0,1761.0,1842.0,193.0,4519.0,539.0,70.0,7197.0,55.0,83.0,126.0,71.0,62.0,279.0,245.0,761.0,92.0,60.0,43.0,63.0,291.0,79.0,1148.0,281.0,10576.0,11510.0,3249.0,1014.0,13546.0,2071.0,1696.0,4027.0,17573.0,17573.0,18193.0,18193.0,597.0,118919.0,161.0,304.0,64.0,370.0,415.0,814.0,120022.0,5476.0,118662.0,849.0,577.0,586.0,119523.0
2003-12-30,2974.0,10801.0,653.0,513.0,763.0,3556.0,186.0,446.0,191.0,458.0,1153.0,724.0,1905.0,92.0,2495.0,4169.0,12044.0,12669.0,605.0,14961.0,1669.0,2748.0,101.0,71985.0,315.0,76138.0,114250.0,926.0,467.0,116181.0,727.0,119089.0,110.0,987.0,124019.0,124279.0,111.0,98.0,220.0,279.0,540.0,111.0,817.0,99.0,563.0,181.0,692.0,1742.0,1997.0,354.0,417.0,1037.0,359.0,1338.0,453.0,1009.0,1261.0,2065.0,1488.0,25.0,2102.0,2040.0,1746.0,1825.0,193.0,4502.0,539.0,70.0,7191.0,55.0,83.0,125.0,71.0,62.0,279.0,245.0,761.0,92.0,60.0,42.0,60.0,286.0,78.0,1135.0,261.0,10509.0,11363.0,3231.0,984.0,13434.0,1989.0,1644.0,3928.0,17362.0,17362.0,17964.0,17964.0,529.0,148921.0,153.0,282.0,62.0,342.0,400.0,786.0,151841.0,5448.0,150212.0,828.0,554.0,579.0,150232.0
2003-12-31,2960.0,11011.0,648.0,510.0,756.0,3551.0,186.0,445.0,190.0,456.0,1150.0,721.0,1892.0,90.0,2482.0,4161.0,12028.0,12630.0,587.0,14901.0,1607.0,2670.0,99.0,70854.0,314.0,74219.0,106583.0,913.0,459.0,108509.0,712.0,111459.0,109.0,964.0,116308.0,116637.0,105.0,94.0,216.0,265.0,533.0,105.0,801.0,96.0,550.0,181.0,676.0,1699.0,1941.0,353.0,415.0,1032.0,356.0,1331.0,452.0,1006.0,1257.0,2058.0,1487.0,25.0,2089.0,2025.0,1730.0,1810.0,194.0,4486.0,539.0,70.0,7188.0,55.0,83.0,125.0,70.0,63.0,279.0,245.0,762.0,91.0,60.0,42.0,56.0,282.0,77.0,1122.0,251.0,10472.0,11288.0,3213.0,956.0,13372.0,1918.0,1598.0,3842.0,17214.0,17214.0,17800.0,17800.0,497.0,145415.0,146.0,264.0,61.0,324.0,387.0,766.0,151753.0,5430.0,151220.0,809.0,535.0,573.0,153715.0
