, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, LUCKY PEAK RESERVOIR, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER 10 ENE, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2004-01-20,2831.0,4499.0,827.0,396.0,280.0,3598.0,164.0,376.0,179.0,582.0,1221.0,576.0,1807.0,85.0,2418.0,4613.0,8476.0,8763.0,526.0,12300.0,1579.0,3090.0,69.0,70713.0,358.0,73502.0,102410.0,1011.0,414.0,102833.0,575.0,103577.0,88.0,1087.0,102591.0,100844.0,165.0,123.0,215.0,273.0,556.0,203.0,909.0,142.0,334.0,214.0,545.0,1582.0,1797.0,326.0,390.0,1087.0,332.0,1479.0,513.0,956.0,1190.0,1879.0,1293.0,24.0,2224.0,2144.0,1899.0,1488.0,182.0,4121.0,511.0,84.0,6501.0,53.0,82.0,137.0,83.0,51.0,272.0,242.0,655.0,285.0,774.0,10.0,61.0,32.0,37.0,251.0,54.0,1071.0,369.0,9549.0,10211.0,3261.0,984.0,18210.0,1382.0,1296.0,3868.0,22078.0,22078.0,22420.0,22420.0,861.0,100112.0,191.0,505.0,116.0,523.0,711.0,1152.0,108396.0,5607.0,107729.0,910.0,696.0,601.0,127847.0
2004-01-21,2739.0,4502.0,824.0,395.0,446.0,3586.0,163.0,374.0,179.0,580.0,1216.0,575.0,1801.0,85.0,2410.0,4599.0,8828.0,9119.0,521.0,11305.0,1552.0,3028.0,68.0,73903.0,359.0,77391.0,105000.0,1028.0,404.0,106630.0,567.0,108919.0,88.0,1024.0,109947.0,109884.0,151.0,111.0,214.0,249.0,546.0,177.0,883.0,134.0,326.0,208.0,530.0,1557.0,1768.0,326.0,389.0,1082.0,331.0,1471.0,512.0,954.0,1188.0,1859.0,1292.0,24.0,2021.0,1955.0,1773.0,1381.0,182.0,4079.0,511.0,80.0,6505.0,53.0,81.0,136.0,83.0,51.0,271.0,241.0,655.0,284.0,767.0,10.0,61.0,32.0,36.0,250.0,53.0,1025.0,356.0,9815.0,10564.0,3238.0,963.0,16776.0,1371.0,1275.0,3814.0,20590.0,20590.0,20916.0,20916.0,777.0,116335.0,160.0,360.0,85.0,424.0,663.0,1098.0,120360.0,5581.0,118118.0,877.0,698.0,568.0,118824.0
2004-01-22,2645.0,4510.0,821.0,394.0,471.0,3577.0,162.0,372.0,178.0,578.0,1212.0,574.0,1794.0,84.0,2385.0,4585.0,9152.0,9440.0,515.0,11686.0,1507.0,2985.0,68.0,75033.0,357.0,78727.0,103984.0,1026.0,393.0,105829.0,560.0,108326.0,88.0,982.0,109596.0,109649.0,141.0,104.0,212.0,237.0,539.0,158.0,851.0,126.0,318.0,202.0,515.0,1520.0,1729.0,325.0,388.0,1079.0,330.0,1463.0,511.0,952.0,1185.0,1854.0,1291.0,24.0,1965.0,1859.0,1609.0,1228.0,182.0,3949.0,511.0,79.0,6496.0,53.0,81.0,136.0,83.0,51.0,271.0,241.0,655.0,283.0,767.0,10.0,60.0,32.0,36.0,248.0,53.0,1019.0,344.0,9851.0,10587.0,3214.0,948.0,16595.0,1359.0,1263.0,3753.0,20348.0,20348.0,20656.0,20656.0,667.0,120452.0,149.0,310.0,55.0,293.0,619.0,1045.0,126448.0,5569.0,124861.0,854.0,636.0,541.0,126830.0
2004-01-23,2551.0,4518.0,818.0,392.0,471.0,3568.0,160.0,370.0,178.0,576.0,1207.0,572.0,1787.0,84.0,2366.0,4573.0,9168.0,9451.0,517.0,11735.0,1462.0,2988.0,67.0,75429.0,353.0,79270.0,96016.0,1017.0,387.0,98647.0,552.0,101979.0,88.0,949.0,104271.0,104634.0,136.0,106.0,211.0,237.0,538.0,148.0,828.0,120.0,311.0,198.0,499.0,1481.0,1701.0,325.0,387.0,1076.0,329.0,1454.0,511.0,949.0,1182.0,1849.0,1290.0,24.0,1954.0,1843.0,1550.0,1111.0,182.0,3807.0,511.0,79.0,6486.0,53.0,81.0,135.0,83.0,51.0,271.0,240.0,655.0,282.0,768.0,10.0,60.0,32.0,36.0,247.0,52.0,1015.0,332.0,9859.0,10611.0,3190.0,939.0,16564.0,1348.0,1257.0,3738.0,20302.0,20302.0,20896.0,20896.0,1488.0,120598.0,171.0,459.0,51.0,243.0,606.0,1004.0,126638.0,5560.0,125102.0,883.0,636.0,535.0,127131.0
2004-01-24,2459.0,4527.0,814.0,391.0,472.0,3559.0,159.0,369.0,177.0,574.0,1203.0,571.0,1781.0,83.0,2358.0,4561.0,9167.0,9444.0,616.0,11834.0,1427.0,3256.0,67.0,75531.0,350.0,79688.0,77813.0,1021.0,385.0,80476.0,545.0,84103.0,88.0,918.0,87252.0,88006.0,143.0,124.0,215.0,286.0,551.0,159.0,826.0,114.0,311.0,196.0,490.0,1466.0,1708.0,324.0,385.0,1073.0,328.0,1447.0,510.0,947.0,1178.0,1843.0,1289.0,24.0,1946.0,1830.0,1532.0,1070.0,182.0,3730.0,511.0,78.0,6493.0,53.0,81.0,135.0,83.0,51.0,270.0,240.0,655.0,281.0,769.0,10.0,60.0,32.0,36.0,246.0,52.0,1012.0,325.0,9840.0,10589.0,3166.0,995.0,15247.0,1346.0,1331.0,3885.0,19133.0,19133.0,21770.0,21770.0,3602.0,115433.0,318.0,1149.0,58.0,432.0,767.0,1129.0,123172.0,5577.0,121976.0,1115.0,741.0,596.0,124743.0
2004-01-25,2391.0,4537.0,811.0,390.0,472.0,3550.0,158.0,367.0,177.0,572.0,1198.0,570.0,1775.0,83.0,2349.0,4550.0,9164.0,9436.0,646.0,11867.0,1437.0,3193.0,66.0,75611.0,346.0,79700.0,78125.0,1012.0,383.0,78126.0,538.0,79070.0,87.0,887.0,79003.0,78890.0,131.0,111.0,217.0,270.0,550.0,154.0,838.0,109.0,314.0,191.0,487.0,1503.0,1710.0,323.0,384.0,1071.0,328.0,1440.0,509.0,944.0,1175.0,1838.0,1289.0,24.0,1938.0,1819.0,1519.0,1055.0,182.0,3702.0,511.0,78.0,6515.0,53.0,81.0,134.0,84.0,51.0,270.0,239.0,655.0,281.0,770.0,10.0,59.0,32.0,36.0,245.0,51.0,1009.0,323.0,9833.0,10574.0,3142.0,1040.0,14720.0,1345.0,1345.0,3811.0,18531.0,18531.0,20552.0,20552.0,2325.0,98791.0,278.0,1105.0,57.0,1082.0,687.0,1228.0,107767.0,5581.0,106888.0,991.0,675.0,592.0,110587.0
2004-01-26,2386.0,4546.0,808.0,389.0,472.0,3542.0,158.0,366.0,176.0,570.0,1194.0,569.0,1769.0,83.0,2341.0,4538.0,9160.0,9426.0,640.0,11860.0,1485.0,3028.0,66.0,75647.0,343.0,79583.0,108359.0,990.0,381.0,109102.0,532.0,109937.0,87.0,857.0,107807.0,106612.0,121.0,96.0,216.0,237.0,543.0,139.0,831.0,105.0,309.0,188.0,475.0,1529.0,1714.0,323.0,383.0,1069.0,327.0,1434.0,509.0,941.0,1171.0,1832.0,1288.0,24.0,1930.0,1808.0,1508.0,1045.0,182.0,3689.0,511.0,78.0,6491.0,53.0,81.0,134.0,84.0,50.0,270.0,239.0,655.0,280.0,770.0,10.0,59.0,32.0,36.0,244.0,51.0,1006.0,315.0,9841.0,10576.0,3118.0,1010.0,15206.0,1336.0,1305.0,3696.0,18902.0,18902.0,19919.0,19919.0,1242.0,101617.0,205.0,715.0,50.0,1010.0,613.0,1119.0,105917.0,5558.0,103851.0,901.0,597.0,540.0,105207.0
2004-01-27,2383.0,4555.0,805.0,388.0,472.0,3533.0,157.0,364.0,176.0,568.0,1190.0,568.0,1762.0,82.0,2333.0,4527.0,9156.0,9417.0,629.0,11849.0,1433.0,2979.0,65.0,75642.0,340.0,79533.0,105078.0,971.0,380.0,106772.0,525.0,109269.0,87.0,827.0,110559.0,110708.0,114.0,90.0,214.0,221.0,537.0,128.0,815.0,101.0,303.0,185.0,462.0,1512.0,1740.0,322.0,382.0,1066.0,326.0,1427.0,508.0,938.0,1168.0,1826.0,1287.0,24.0,1923.0,1797.0,1497.0,1037.0,183.0,3679.0,511.0,78.0,6479.0,53.0,81.0,134.0,84.0,50.0,269.0,238.0,654.0,279.0,771.0,10.0,59.0,32.0,36.0,244.0,50.0,1002.0,306.0,9837.0,10574.0,3093.0,971.0,16566.0,1323.0,1279.0,3647.0,20213.0,20213.0,20930.0,20930.0,905.0,125618.0,170.0,640.0,47.0,679.0,570.0,1029.0,130235.0,5537.0,127861.0,880.0,615.0,528.0,128199.0
2004-01-28,2381.0,4564.0,802.0,387.0,472.0,3525.0,156.0,363.0,175.0,566.0,1186.0,567.0,1756.0,82.0,2325.0,4516.0,9153.0,9408.0,619.0,11839.0,1368.0,2992.0,65.0,75628.0,336.0,79530.0,105000.0,957.0,378.0,106536.0,519.0,108825.0,87.0,798.0,109678.0,109682.0,109.0,89.0,214.0,211.0,534.0,119.0,800.0,97.0,298.0,182.0,450.0,1484.0,1769.0,322.0,381.0,1064.0,325.0,1421.0,507.0,936.0,1164.0,1821.0,1286.0,24.0,1916.0,1787.0,1487.0,1029.0,183.0,3670.0,511.0,78.0,6488.0,53.0,81.0,133.0,84.0,50.0,269.0,238.0,654.0,279.0,772.0,10.0,59.0,32.0,36.0,243.0,50.0,999.0,301.0,9811.0,10546.0,3069.0,951.0,16626.0,1310.0,1260.0,3611.0,20237.0,20237.0,21253.0,21253.0,1116.0,127379.0,155.0,773.0,46.0,633.0,544.0,976.0,133884.0,5526.0,132296.0,916.0,814.0,582.0,134467.0
2004-01-29,2379.0,4573.0,799.0,387.0,472.0,3517.0,155.0,362.0,175.0,564.0,1182.0,566.0,1750.0,81.0,2317.0,4505.0,9151.0,9404.0,613.0,11836.0,1327.0,3006.0,65.0,75616.0,334.0,79527.0,103984.0,945.0,376.0,105721.0,514.0,108218.0,87.0,769.0,109255.0,109309.0,105.0,89.0,213.0,205.0,531.0,113.0,789.0,94.0,293.0,180.0,439.0,1466.0,1778.0,321.0,380.0,1062.0,325.0,1415.0,507.0,933.0,1161.0,1815.0,1286.0,24.0,1909.0,1777.0,1476.0,1022.0,184.0,3662.0,511.0,78.0,6499.0,52.0,81.0,133.0,84.0,50.0,269.0,238.0,654.0,278.0,773.0,10.0,58.0,32.0,36.0,242.0,49.0,996.0,300.0,9804.0,10530.0,3045.0,940.0,16609.0,1301.0,1250.0,3633.0,20242.0,20242.0,21738.0,21738.0,1210.0,128246.0,150.0,717.0,53.0,732.0,541.0,950.0,134593.0,5527.0,132933.0,933.0,856.0,570.0,135115.0
