, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, LUCKY PEAK RESERVOIR, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER 10 ENE, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2004-02-09,2876.0,4794.0,549.0,431.0,303.0,3577.0,164.0,367.0,171.0,461.0,1070.0,635.0,1754.0,106.0,2268.0,4372.0,9012.0,9454.0,588.0,12143.0,2620.0,4742.0,155.0,55975.0,313.0,60965.0,92417.0,769.0,385.0,87672.0,570.0,84198.0,86.0,1330.0,82138.0,80320.0,215.0,186.0,260.0,414.0,771.0,262.0,1128.0,152.0,410.0,231.0,581.0,1992.0,1989.0,367.0,370.0,1051.0,317.0,1325.0,455.0,923.0,1144.0,1839.0,1291.0,20.0,1875.0,1708.0,1413.0,1507.0,180.0,4184.0,603.0,93.0,6552.0,51.0,80.0,127.0,87.0,46.0,356.0,279.0,895.0,299.0,925.0,91.0,56.0,59.0,61.0,231.0,40.0,1165.0,575.0,10010.0,11191.0,3334.0,1498.0,18276.0,2495.0,1847.0,4640.0,22915.0,22915.0,23513.0,23513.0,842.0,115923.0,170.0,568.0,172.0,555.0,999.0,1518.0,121202.0,6647.0,120589.0,1255.0,976.0,1003.0,132887.0
2004-02-10,2859.0,4782.0,543.0,429.0,317.0,3569.0,164.0,365.0,162.0,460.0,1059.0,625.0,1730.0,104.0,2248.0,4345.0,9059.0,9492.0,579.0,12080.0,2464.0,4049.0,152.0,54530.0,311.0,59829.0,95313.0,774.0,382.0,96819.0,563.0,99611.0,87.0,1289.0,105387.0,105434.0,197.0,175.0,252.0,390.0,739.0,244.0,1071.0,143.0,393.0,222.0,553.0,1889.0,1917.0,366.0,369.0,1048.0,317.0,1321.0,454.0,921.0,1141.0,1834.0,1292.0,20.0,1874.0,1703.0,1405.0,1499.0,180.0,4094.0,603.0,89.0,6562.0,51.0,80.0,127.0,87.0,46.0,356.0,279.0,854.0,298.0,919.0,91.0,55.0,59.0,57.0,231.0,40.0,1136.0,567.0,9750.0,10679.0,3292.0,1424.0,19130.0,2456.0,1782.0,4693.0,23823.0,23823.0,24442.0,24442.0,778.0,137325.0,167.0,520.0,163.0,528.0,946.0,1429.0,139704.0,6756.0,138043.0,1203.0,854.0,945.0,138836.0
2004-02-11,2842.0,4769.0,538.0,428.0,332.0,3567.0,163.0,364.0,161.0,458.0,1053.0,620.0,1714.0,101.0,2220.0,4328.0,9655.0,10061.0,570.0,12538.0,2338.0,3964.0,146.0,53869.0,310.0,58683.0,94219.0,790.0,381.0,95549.0,556.0,98000.0,87.0,1251.0,103155.0,103206.0,184.0,165.0,245.0,367.0,708.0,232.0,1024.0,136.0,378.0,215.0,529.0,1804.0,1830.0,366.0,368.0,1045.0,316.0,1315.0,453.0,919.0,1138.0,1827.0,1292.0,19.0,1868.0,1694.0,1397.0,1491.0,180.0,4080.0,603.0,89.0,6574.0,51.0,79.0,126.0,87.0,46.0,355.0,278.0,806.0,297.0,919.0,90.0,55.0,59.0,53.0,230.0,40.0,1123.0,550.0,9760.0,10629.0,3249.0,1370.0,17375.0,2395.0,1709.0,4557.0,21931.0,21931.0,22636.0,22636.0,737.0,145233.0,164.0,483.0,156.0,497.0,900.0,1365.0,152929.0,6624.0,152391.0,1166.0,794.0,920.0,155363.0
2004-02-12,2826.0,4759.0,532.0,426.0,346.0,3564.0,163.0,363.0,161.0,457.0,1051.0,615.0,1703.0,99.0,2202.0,4316.0,10557.0,10939.0,562.0,13405.0,2220.0,3859.0,141.0,54148.0,308.0,58554.0,90156.0,802.0,380.0,91498.0,550.0,94036.0,87.0,1214.0,99277.0,99453.0,173.0,156.0,239.0,346.0,684.0,218.0,986.0,129.0,365.0,210.0,507.0,1735.0,1747.0,365.0,367.0,1042.0,315.0,1309.0,453.0,917.0,1135.0,1820.0,1291.0,19.0,1862.0,1684.0,1389.0,1483.0,182.0,4071.0,603.0,88.0,6584.0,51.0,79.0,126.0,88.0,46.0,355.0,278.0,787.0,296.0,918.0,90.0,55.0,58.0,49.0,230.0,40.0,1114.0,531.0,9739.0,10582.0,3226.0,1319.0,16855.0,2326.0,1649.0,4428.0,21282.0,21282.0,21985.0,21985.0,708.0,140307.0,161.0,454.0,151.0,480.0,858.0,1338.0,148109.0,6554.0,147639.0,1137.0,789.0,921.0,150924.0
2004-02-13,2810.0,4749.0,527.0,425.0,361.0,3562.0,162.0,362.0,161.0,455.0,1049.0,610.0,1692.0,98.0,2190.0,4305.0,11005.0,11374.0,554.0,13928.0,2111.0,3718.0,136.0,54945.0,306.0,59091.0,88437.0,801.0,379.0,89968.0,544.0,92583.0,87.0,1180.0,97500.0,97588.0,165.0,152.0,233.0,327.0,671.0,208.0,957.0,123.0,354.0,210.0,488.0,1676.0,1702.0,364.0,366.0,1040.0,315.0,1303.0,452.0,915.0,1132.0,1813.0,1290.0,19.0,1855.0,1674.0,1379.0,1474.0,183.0,4062.0,602.0,87.0,6579.0,51.0,79.0,126.0,88.0,46.0,354.0,277.0,782.0,295.0,918.0,90.0,55.0,58.0,45.0,229.0,39.0,1106.0,513.0,9724.0,10543.0,3210.0,1270.0,16697.0,2265.0,1595.0,4364.0,21061.0,21061.0,21865.0,21865.0,685.0,135360.0,159.0,448.0,148.0,472.0,819.0,1346.0,142978.0,6495.0,142426.0,1118.0,819.0,923.0,145649.0
2004-02-14,2795.0,4743.0,521.0,423.0,375.0,3559.0,161.0,361.0,160.0,454.0,1048.0,605.0,1682.0,97.0,2178.0,4295.0,11082.0,11451.0,550.0,14045.0,2027.0,3663.0,132.0,55691.0,304.0,59813.0,77969.0,819.0,378.0,80034.0,538.0,83319.0,88.0,1152.0,89123.0,89582.0,164.0,161.0,231.0,309.0,671.0,222.0,951.0,118.0,344.0,213.0,471.0,1641.0,1746.0,364.0,365.0,1037.0,314.0,1296.0,452.0,914.0,1130.0,1808.0,1290.0,19.0,1848.0,1664.0,1369.0,1464.0,185.0,4053.0,602.0,87.0,6627.0,51.0,79.0,125.0,88.0,46.0,354.0,278.0,776.0,294.0,918.0,89.0,54.0,58.0,41.0,228.0,39.0,1102.0,504.0,9705.0,10517.0,3194.0,1257.0,16728.0,2238.0,1559.0,4604.0,21333.0,21333.0,23576.0,23576.0,766.0,131317.0,165.0,689.0,205.0,498.0,917.0,1574.0,139279.0,6566.0,138802.0,1171.0,958.0,998.0,142096.0
2004-02-15,2781.0,4742.0,516.0,422.0,390.0,3557.0,161.0,360.0,160.0,452.0,1046.0,601.0,1672.0,96.0,2167.0,4284.0,11107.0,11493.0,589.0,14162.0,2053.0,3953.0,130.0,56559.0,303.0,60921.0,70938.0,868.0,377.0,71419.0,532.0,73315.0,88.0,1137.0,77728.0,77971.0,155.0,154.0,228.0,292.0,670.0,231.0,970.0,113.0,339.0,217.0,458.0,1660.0,1762.0,363.0,364.0,1035.0,313.0,1291.0,451.0,912.0,1128.0,1802.0,1289.0,19.0,1841.0,1655.0,1359.0,1454.0,186.0,4043.0,602.0,90.0,6684.0,51.0,79.0,125.0,88.0,46.0,353.0,281.0,771.0,294.0,917.0,89.0,54.0,57.0,41.0,228.0,39.0,1143.0,699.0,9838.0,10760.0,3179.0,1409.0,17274.0,2360.0,1717.0,5521.0,22795.0,22795.0,27150.0,27150.0,1251.0,124129.0,222.0,912.0,309.0,763.0,1993.0,2975.0,133508.0,6609.0,133130.0,1237.0,940.0,1079.0,136823.0
2004-02-16,2767.0,4735.0,511.0,420.0,405.0,3555.0,160.0,359.0,159.0,451.0,1044.0,598.0,1663.0,95.0,2156.0,4275.0,11112.0,11486.0,614.0,14158.0,2057.0,3765.0,123.0,56838.0,303.0,61044.0,98177.0,880.0,376.0,98342.0,527.0,99018.0,89.0,1109.0,99984.0,98859.0,147.0,145.0,226.0,277.0,658.0,221.0,967.0,109.0,339.0,216.0,452.0,1684.0,1777.0,362.0,363.0,1032.0,312.0,1285.0,450.0,910.0,1126.0,1796.0,1289.0,19.0,1834.0,1645.0,1349.0,1444.0,187.0,4033.0,602.0,93.0,6697.0,51.0,79.0,124.0,89.0,45.0,353.0,284.0,767.0,293.0,917.0,89.0,54.0,57.0,41.0,227.0,39.0,1140.0,760.0,10089.0,11418.0,3163.0,1374.0,17801.0,2516.0,1671.0,5095.0,22897.0,22897.0,25821.0,25821.0,1151.0,121223.0,194.0,738.0,255.0,942.0,1821.0,3480.0,129581.0,6542.0,128748.0,1223.0,878.0,984.0,131743.0
2004-02-17,2753.0,4730.0,505.0,419.0,419.0,3552.0,160.0,358.0,159.0,449.0,1042.0,596.0,1654.0,94.0,2147.0,4265.0,11109.0,11491.0,637.0,14179.0,2042.0,3617.0,119.0,56862.0,302.0,60959.0,86546.0,881.0,375.0,88982.0,521.0,92642.0,88.0,1075.0,98398.0,98992.0,139.0,138.0,223.0,264.0,649.0,209.0,957.0,105.0,340.0,213.0,458.0,1680.0,1801.0,362.0,362.0,1030.0,312.0,1280.0,450.0,908.0,1123.0,1790.0,1288.0,19.0,1828.0,1633.0,1339.0,1434.0,187.0,4024.0,602.0,97.0,6744.0,51.0,79.0,124.0,88.0,45.0,352.0,284.0,762.0,292.0,908.0,88.0,54.0,57.0,41.0,226.0,39.0,1116.0,736.0,10096.0,11635.0,3148.0,1272.0,18539.0,2554.0,1648.0,5176.0,23715.0,23715.0,26848.0,26848.0,1066.0,139195.0,181.0,631.0,240.0,786.0,1423.0,2951.0,146977.0,6449.0,145539.0,1206.0,817.0,950.0,147288.0
2004-02-18,2738.0,4726.0,500.0,416.0,432.0,3549.0,160.0,357.0,158.0,448.0,1038.0,593.0,1644.0,94.0,2137.0,4256.0,11096.0,11469.0,650.0,14150.0,2025.0,3515.0,115.0,56865.0,301.0,60863.0,79678.0,881.0,374.0,81023.0,516.0,83484.0,88.0,1038.0,87548.0,87768.0,131.0,128.0,220.0,251.0,636.0,193.0,937.0,102.0,339.0,210.0,463.0,1665.0,1793.0,361.0,361.0,1028.0,311.0,1275.0,449.0,905.0,1120.0,1785.0,1287.0,19.0,1822.0,1622.0,1327.0,1422.0,188.0,4013.0,602.0,98.0,6755.0,51.0,79.0,123.0,88.0,45.0,352.0,285.0,758.0,291.0,898.0,88.0,54.0,56.0,40.0,223.0,38.0,1104.0,698.0,10076.0,11595.0,3134.0,1198.0,18539.0,2554.0,1630.0,5163.0,23702.0,23702.0,25962.0,25962.0,929.0,129712.0,162.0,555.0,217.0,674.0,1208.0,2457.0,140688.0,6346.0,140291.0,1170.0,756.0,910.0,144400.0
