, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2004-02-17,2651.0,4864.0,536.0,400.0,481.0,3704.0,160.0,367.0,160.0,406.0,1021.0,626.0,1687.0,112.0,2192.0,4503.0,11061.0,11708.0,606.0,15331.0,3500.0,4535.0,269.0,58351.0,306.0,64735.0,95945.0,800.0,386.0,97336.0,588.0,100240.0,86.0,1274.0,99417.0,97602.0,257.0,277.0,251.0,614.0,723.0,258.0,1053.0,105.0,385.0,214.0,599.0,1844.0,2624.0,362.0,362.0,1038.0,312.0,1290.0,450.0,899.0,1114.0,1795.0,1149.0,19.0,1615.0,1420.0,1112.0,1205.0,156.0,3717.0,553.0,98.0,6889.0,51.0,79.0,71.0,70.0,45.0,354.0,284.0,770.0,203.0,869.0,30.0,49.0,44.0,62.0,226.0,42.0,1694.0,508.0,10582.0,12662.0,3247.0,1577.0,26089.0,2550.0,3393.0,5684.0,31773.0,31773.0,33100.0,33100.0,2002.0,115010.0,464.0,1372.0,637.0,516.0,1292.0,1814.0,120528.0,8085.0,119891.0,1799.0,1451.0,845.0,131792.0
2004-02-18,2642.0,5165.0,520.0,393.0,484.0,3688.0,165.0,360.0,158.0,418.0,1018.0,723.0,1777.0,114.0,2163.0,4679.0,11519.0,12280.0,897.0,16147.0,5403.0,5644.0,332.0,59554.0,320.0,65158.0,90156.0,893.0,377.0,91494.0,629.0,94030.0,86.0,1375.0,94253.0,94440.0,296.0,313.0,270.0,716.0,797.0,346.0,1153.0,102.0,468.0,218.0,669.0,1953.0,2862.0,361.0,361.0,1053.0,311.0,1286.0,449.0,896.0,1110.0,1785.0,1157.0,19.0,1618.0,1414.0,1104.0,1197.0,156.0,3710.0,553.0,155.0,7783.0,51.0,79.0,70.0,142.0,49.0,547.0,285.0,767.0,203.0,842.0,31.0,49.0,44.0,62.0,224.0,42.0,2223.0,2001.0,12390.0,14346.0,3273.0,2330.0,18658.0,3339.0,4912.0,13967.0,32625.0,32625.0,36920.0,36920.0,2841.0,137295.0,868.0,2377.0,808.0,1518.0,2558.0,3448.0,144234.0,8075.0,144105.0,2504.0,2253.0,1166.0,146954.0
2004-02-19,2677.0,5116.0,511.0,386.0,485.0,3684.0,180.0,370.0,158.0,429.0,1025.0,928.0,1986.0,108.0,2242.0,4628.0,11676.0,12374.0,935.0,15726.0,5395.0,5636.0,195.0,60996.0,341.0,67009.0,89219.0,936.0,373.0,90629.0,583.0,93072.0,86.0,1309.0,93004.0,93042.0,211.0,211.0,256.0,485.0,727.0,302.0,1188.0,99.0,469.0,217.0,689.0,2147.0,2878.0,360.0,360.0,1075.0,318.0,1293.0,448.0,893.0,1107.0,1779.0,1157.0,19.0,1635.0,1424.0,1104.0,1190.0,156.0,3702.0,553.0,251.0,9263.0,50.0,79.0,70.0,197.0,53.0,1369.0,292.0,770.0,204.0,851.0,37.0,52.0,44.0,60.0,222.0,42.0,2415.0,3124.0,15057.0,18496.0,3373.0,2679.0,21257.0,4186.0,4983.0,14377.0,35634.0,35634.0,38736.0,38736.0,2481.0,135238.0,772.0,2426.0,698.0,2515.0,3092.0,4630.0,147134.0,7391.0,147163.0,2267.0,1828.0,928.0,152943.0
2004-02-20,2641.0,5021.0,509.0,382.0,485.0,3678.0,185.0,383.0,157.0,443.0,1047.0,789.0,1866.0,102.0,2405.0,4499.0,11864.0,12505.0,872.0,15585.0,4604.0,5370.0,143.0,59965.0,344.0,66385.0,81250.0,906.0,373.0,83607.0,569.0,86963.0,85.0,1193.0,87975.0,88336.0,185.0,172.0,249.0,389.0,699.0,255.0,1116.0,96.0,450.0,215.0,667.0,2124.0,2922.0,360.0,359.0,1070.0,323.0,1309.0,448.0,891.0,1104.0,1774.0,1157.0,19.0,1649.0,1433.0,1114.0,1193.0,156.0,3701.0,553.0,207.0,8446.0,50.0,79.0,70.0,174.0,54.0,1737.0,292.0,762.0,206.0,839.0,37.0,53.0,44.0,60.0,220.0,41.0,1950.0,2306.0,15789.0,21014.0,3319.0,2245.0,26498.0,4440.0,4287.0,14260.0,40758.0,40758.0,42626.0,42626.0,1730.0,136571.0,478.0,1646.0,497.0,2260.0,2285.0,4437.0,149032.0,6616.0,148166.0,1879.0,1447.0,744.0,152783.0
2004-02-21,2616.0,4955.0,507.0,378.0,485.0,3667.0,182.0,383.0,157.0,441.0,1053.0,704.0,1784.0,100.0,2329.0,4455.0,11962.0,12576.0,844.0,15637.0,3854.0,5318.0,132.0,59124.0,340.0,65104.0,59219.0,910.0,372.0,61746.0,561.0,65624.0,85.0,1125.0,67967.0,68885.0,175.0,163.0,243.0,362.0,685.0,233.0,1059.0,94.0,434.0,214.0,644.0,2033.0,2901.0,359.0,358.0,1066.0,316.0,1315.0,447.0,889.0,1101.0,1769.0,1156.0,19.0,1662.0,1442.0,1123.0,1202.0,156.0,3709.0,553.0,175.0,8036.0,50.0,79.0,70.0,148.0,53.0,1569.0,288.0,755.0,207.0,828.0,33.0,53.0,43.0,59.0,218.0,41.0,1655.0,1567.0,14892.0,20688.0,3233.0,1816.0,27736.0,4252.0,3691.0,14062.0,41798.0,41798.0,43381.0,43381.0,1281.0,129133.0,350.0,1187.0,391.0,1573.0,1587.0,3440.0,142477.0,6127.0,141638.0,1734.0,1125.0,732.0,146660.0
2004-02-22,2600.0,4920.0,506.0,374.0,485.0,3657.0,179.0,379.0,156.0,437.0,1049.0,687.0,1758.0,100.0,2244.0,4443.0,11856.0,12458.0,833.0,15506.0,3442.0,5279.0,129.0,59048.0,337.0,64945.0,58125.0,947.0,371.0,57989.0,558.0,59138.0,85.0,1101.0,58148.0,58105.0,172.0,165.0,239.0,370.0,682.0,228.0,1027.0,92.0,422.0,218.0,627.0,1963.0,2840.0,359.0,357.0,1061.0,311.0,1310.0,447.0,886.0,1098.0,1764.0,1156.0,19.0,1666.0,1443.0,1129.0,1210.0,155.0,3718.0,553.0,161.0,7918.0,50.0,79.0,69.0,129.0,53.0,1352.0,288.0,752.0,209.0,821.0,32.0,53.0,43.0,59.0,215.0,41.0,1561.0,1229.0,13583.0,18780.0,3184.0,1613.0,25675.0,3980.0,3356.0,13829.0,39503.0,39503.0,41326.0,41326.0,1067.0,109217.0,314.0,1004.0,332.0,1206.0,1315.0,2808.0,121710.0,5906.0,120924.0,1682.0,985.0,714.0,126184.0
2004-02-23,2586.0,4903.0,504.0,370.0,485.0,3648.0,176.0,376.0,156.0,430.0,1038.0,680.0,1737.0,100.0,2217.0,4445.0,11796.0,12408.0,843.0,15471.0,3287.0,5279.0,130.0,58915.0,336.0,64841.0,97656.0,986.0,370.0,97369.0,564.0,97288.0,84.0,1109.0,92708.0,91071.0,175.0,176.0,237.0,426.0,677.0,234.0,1024.0,90.0,416.0,219.0,616.0,1930.0,2775.0,358.0,356.0,1056.0,309.0,1301.0,446.0,884.0,1095.0,1759.0,1155.0,19.0,1660.0,1433.0,1127.0,1212.0,155.0,3723.0,553.0,161.0,7904.0,50.0,79.0,69.0,115.0,52.0,1208.0,288.0,749.0,210.0,815.0,32.0,53.0,43.0,58.0,213.0,40.0,1532.0,1151.0,13081.0,17480.0,3162.0,1568.0,23331.0,3818.0,3186.0,12063.0,35394.0,35394.0,37759.0,37759.0,1020.0,110425.0,344.0,979.0,316.0,1046.0,1338.0,2699.0,116861.0,5763.0,114598.0,1663.0,910.0,733.0,117268.0
2004-02-24,2575.0,4895.0,502.0,366.0,485.0,3640.0,174.0,373.0,155.0,425.0,1029.0,671.0,1716.0,100.0,2198.0,4431.0,11768.0,12372.0,854.0,15435.0,3187.0,5205.0,127.0,58847.0,337.0,64686.0,94974.0,1005.0,369.0,96540.0,550.0,99113.0,84.0,1091.0,99485.0,99636.0,162.0,164.0,235.0,389.0,664.0,224.0,1010.0,88.0,411.0,214.0,608.0,1912.0,2762.0,357.0,356.0,1052.0,307.0,1291.0,445.0,881.0,1092.0,1754.0,1155.0,19.0,1650.0,1419.0,1116.0,1207.0,156.0,3723.0,553.0,160.0,7925.0,50.0,79.0,69.0,106.0,52.0,1129.0,288.0,745.0,211.0,813.0,35.0,52.0,42.0,58.0,211.0,40.0,1524.0,1133.0,12937.0,16834.0,3153.0,1530.0,21868.0,3739.0,3067.0,6719.0,28586.0,28586.0,31044.0,31044.0,981.0,134017.0,301.0,906.0,293.0,1011.0,1376.0,2679.0,141358.0,5646.0,138632.0,1653.0,866.0,717.0,140274.0
2004-02-25,2559.0,4882.0,500.0,362.0,486.0,3629.0,172.0,370.0,155.0,421.0,1020.0,663.0,1697.0,98.0,2178.0,4398.0,11732.0,12328.0,878.0,15397.0,3083.0,5212.0,124.0,58767.0,335.0,64642.0,91458.0,1028.0,369.0,93167.0,543.0,95831.0,83.0,1060.0,96279.0,96438.0,171.0,184.0,238.0,451.0,670.0,241.0,1013.0,87.0,406.0,209.0,596.0,1896.0,2786.0,357.0,355.0,1047.0,306.0,1283.0,445.0,879.0,1089.0,1749.0,1154.0,19.0,1640.0,1404.0,1102.0,1194.0,156.0,3715.0,553.0,162.0,7982.0,50.0,79.0,68.0,100.0,51.0,1093.0,289.0,742.0,213.0,814.0,53.0,53.0,42.0,57.0,208.0,40.0,1544.0,1302.0,13044.0,16624.0,3147.0,1531.0,21128.0,3698.0,2957.0,6717.0,27845.0,27845.0,31573.0,31573.0,983.0,133000.0,366.0,1004.0,322.0,944.0,1430.0,2770.0,142499.0,5623.0,140533.0,1838.0,876.0,755.0,144037.0
2004-02-26,2547.0,4871.0,499.0,358.0,488.0,3618.0,170.0,367.0,154.0,416.0,1013.0,658.0,1681.0,98.0,2161.0,4411.0,11689.0,12292.0,925.0,15407.0,3046.0,5211.0,129.0,58459.0,335.0,64441.0,86458.0,1052.0,368.0,88202.0,537.0,90899.0,82.0,1041.0,91495.0,91701.0,158.0,165.0,239.0,389.0,666.0,234.0,1020.0,85.0,404.0,204.0,591.0,1905.0,2770.0,356.0,354.0,1043.0,305.0,1275.0,444.0,877.0,1086.0,1744.0,1154.0,19.0,1632.0,1390.0,1089.0,1180.0,156.0,3705.0,553.0,171.0,8062.0,50.0,79.0,68.0,99.0,51.0,1180.0,289.0,744.0,199.0,808.0,75.0,54.0,42.0,57.0,206.0,40.0,1613.0,1596.0,13389.0,16876.0,3159.0,1562.0,21094.0,3685.0,2951.0,6846.0,27940.0,27940.0,32109.0,32109.0,1046.0,130019.0,404.0,1214.0,324.0,1056.0,1530.0,2981.0,139886.0,5580.0,137854.0,1755.0,851.0,759.0,141534.0
