, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2005-02-14,5021.0,6058.0,1737.0,1322.0,1643.0,4321.0,150.0,356.0,170.0,673.0,1333.0,861.0,2280.0,333.0,3394.0,5624.0,11631.0,12622.0,1297.0,14217.0,4366.0,7530.0,310.0,71828.0,1975.0,80987.0,112458.0,2884.0,694.0,111598.0,1514.0,109103.0,228.0,2223.0,105266.0,103506.0,162.0,231.0,246.0,429.0,549.0,104.0,1080.0,163.0,475.0,310.0,598.0,1825.0,2249.0,308.0,437.0,1373.0,344.0,1559.0,401.0,1137.0,1336.0,2072.0,1350.0,26.0,2175.0,2027.0,1747.0,1811.0,164.0,4403.0,652.0,126.0,7336.0,59.0,88.0,123.0,83.0,49.0,437.0,297.0,997.0,255.0,676.0,97.0,71.0,58.0,60.0,194.0,50.0,955.0,291.0,9175.0,10305.0,3759.0,1206.0,14589.0,5156.0,5015.0,6834.0,21423.0,21423.0,21644.0,21644.0,445.0,115628.0,87.0,165.0,16.0,260.0,431.0,806.0,120543.0,4469.0,118890.0,860.0,482.0,786.0,125326.0
2005-02-15,4866.0,5973.0,1637.0,1274.0,1587.0,4177.0,149.0,355.0,169.0,659.0,1310.0,826.0,2218.0,321.0,3399.0,5561.0,11586.0,12571.0,1280.0,14672.0,3915.0,7446.0,261.0,72276.0,1855.0,81887.0,115000.0,2806.0,674.0,118842.0,1456.0,121592.0,220.0,2122.0,124180.0,124222.0,152.0,185.0,239.0,431.0,538.0,99.0,1046.0,152.0,459.0,289.0,568.0,1798.0,2222.0,308.0,435.0,1360.0,342.0,1562.0,401.0,1129.0,1331.0,2056.0,1379.0,26.0,2170.0,1980.0,1703.0,1815.0,163.0,4447.0,648.0,125.0,7373.0,59.0,88.0,122.0,83.0,49.0,460.0,260.0,936.0,254.0,670.0,80.0,63.0,42.0,60.0,195.0,49.0,945.0,247.0,9424.0,10522.0,3747.0,1157.0,15443.0,5066.0,4461.0,6835.0,22277.0,22277.0,22493.0,22493.0,424.0,140338.0,82.0,150.0,14.0,259.0,385.0,798.0,142122.0,4524.0,138184.0,829.0,480.0,763.0,137829.0
2005-02-16,4747.0,5903.0,1564.0,1220.0,1522.0,4008.0,149.0,353.0,169.0,645.0,1288.0,814.0,2181.0,312.0,3337.0,5380.0,11465.0,12410.0,1234.0,14489.0,3598.0,7273.0,230.0,71894.0,1754.0,81282.0,115000.0,2680.0,653.0,118575.0,1406.0,120999.0,212.0,1981.0,123015.0,123026.0,142.0,164.0,232.0,405.0,527.0,94.0,1017.0,143.0,436.0,271.0,529.0,1764.0,2197.0,307.0,431.0,1345.0,341.0,1554.0,400.0,1121.0,1322.0,2041.0,1380.0,26.0,2187.0,1991.0,1681.0,1781.0,162.0,4425.0,644.0,123.0,7325.0,59.0,87.0,122.0,82.0,49.0,446.0,254.0,880.0,255.0,671.0,74.0,61.0,33.0,60.0,196.0,49.0,954.0,223.0,9615.0,10740.0,3707.0,1081.0,15360.0,4823.0,3974.0,6645.0,22005.0,22005.0,22216.0,22216.0,406.0,148455.0,78.0,144.0,13.0,243.0,363.0,763.0,154908.0,4506.0,152137.0,802.0,480.0,748.0,154055.0
2005-02-17,4636.0,5849.0,1504.0,1173.0,1467.0,3875.0,148.0,352.0,168.0,632.0,1268.0,804.0,2148.0,305.0,3277.0,5190.0,11314.0,12223.0,1185.0,14276.0,3408.0,7075.0,219.0,72992.0,1664.0,81662.0,113750.0,2553.0,635.0,117443.0,1360.0,120116.0,204.0,1881.0,122297.0,122371.0,133.0,152.0,225.0,381.0,521.0,90.0,993.0,135.0,414.0,255.0,502.0,1704.0,2169.0,307.0,426.0,1330.0,340.0,1544.0,400.0,1112.0,1312.0,2028.0,1377.0,26.0,2179.0,1984.0,1684.0,1771.0,162.0,4403.0,639.0,122.0,7282.0,59.0,87.0,122.0,81.0,49.0,428.0,251.0,830.0,255.0,665.0,72.0,60.0,28.0,60.0,196.0,49.0,955.0,211.0,9653.0,10785.0,3657.0,1021.0,15221.0,4542.0,3622.0,6387.0,21608.0,21608.0,21813.0,21813.0,397.0,147512.0,76.0,141.0,12.0,229.0,353.0,731.0,153926.0,4498.0,151172.0,779.0,519.0,736.0,153285.0
2005-02-18,4531.0,5802.0,1449.0,1136.0,1417.0,3768.0,148.0,351.0,167.0,620.0,1251.0,794.0,2118.0,295.0,3222.0,5035.0,11176.0,12052.0,1139.0,14079.0,3277.0,6874.0,212.0,72817.0,1584.0,81682.0,102890.0,2456.0,617.0,107807.0,1317.0,111842.0,197.0,1818.0,115563.0,116074.0,126.0,143.0,219.0,358.0,521.0,86.0,976.0,127.0,395.0,241.0,478.0,1654.0,2130.0,306.0,422.0,1316.0,339.0,1533.0,399.0,1103.0,1303.0,2015.0,1373.0,26.0,2164.0,1964.0,1670.0,1766.0,162.0,4398.0,635.0,121.0,7288.0,59.0,87.0,121.0,80.0,49.0,414.0,248.0,778.0,256.0,657.0,71.0,60.0,25.0,59.0,195.0,48.0,949.0,206.0,9610.0,10727.0,3604.0,977.0,15082.0,4298.0,3350.0,6153.0,21235.0,21235.0,21435.0,21435.0,390.0,144993.0,74.0,138.0,12.0,219.0,348.0,747.0,151931.0,4497.0,149229.0,758.0,621.0,725.0,151564.0
2005-02-19,4434.0,5759.0,1397.0,1102.0,1369.0,3670.0,147.0,350.0,167.0,610.0,1236.0,785.0,2089.0,285.0,3169.0,4910.0,11051.0,11898.0,1096.0,13907.0,3187.0,6677.0,205.0,72190.0,1510.0,80806.0,73516.0,2363.0,601.0,78042.0,1276.0,82316.0,190.0,1767.0,87396.0,88598.0,128.0,143.0,214.0,336.0,523.0,83.0,963.0,122.0,380.0,232.0,458.0,1615.0,2103.0,306.0,417.0,1301.0,338.0,1523.0,399.0,1094.0,1293.0,2002.0,1370.0,26.0,2148.0,1943.0,1650.0,1750.0,162.0,4386.0,631.0,121.0,7341.0,59.0,87.0,121.0,79.0,48.0,545.0,244.0,728.0,257.0,649.0,71.0,65.0,24.0,58.0,194.0,48.0,939.0,272.0,9615.0,10689.0,3552.0,940.0,14959.0,4093.0,3137.0,5947.0,20906.0,20906.0,21101.0,21101.0,385.0,130805.0,72.0,136.0,14.0,210.0,343.0,816.0,140599.0,4498.0,138474.0,747.0,739.0,734.0,142117.0
2005-02-20,4348.0,5720.0,1348.0,1069.0,1322.0,3590.0,147.0,349.0,166.0,601.0,1222.0,776.0,2063.0,276.0,3120.0,4800.0,10954.0,11786.0,1073.0,13799.0,3139.0,6492.0,200.0,71746.0,1443.0,80055.0,74198.0,2276.0,585.0,75670.0,1239.0,76693.0,183.0,1725.0,77326.0,77185.0,133.0,150.0,212.0,325.0,528.0,80.0,956.0,116.0,366.0,223.0,441.0,1586.0,2084.0,305.0,413.0,1287.0,337.0,1512.0,398.0,1084.0,1283.0,1989.0,1367.0,26.0,2132.0,1922.0,1629.0,1729.0,163.0,4368.0,626.0,135.0,7375.0,59.0,87.0,120.0,81.0,48.0,967.0,241.0,681.0,257.0,642.0,85.0,80.0,23.0,58.0,193.0,48.0,934.0,406.0,9762.0,10789.0,3505.0,908.0,14912.0,3927.0,3055.0,5805.0,20717.0,20717.0,20918.0,20918.0,407.0,105730.0,71.0,134.0,24.0,202.0,356.0,882.0,114986.0,4501.0,112969.0,731.0,697.0,789.0,117133.0
2005-02-21,4271.0,5687.0,1303.0,1037.0,1277.0,3562.0,146.0,348.0,166.0,592.0,1209.0,771.0,2042.0,267.0,3075.0,4714.0,11756.0,12569.0,1085.0,14428.0,3130.0,6318.0,197.0,71590.0,1381.0,79577.0,87033.0,2194.0,571.0,90327.0,1204.0,92779.0,177.0,1703.0,93836.0,93434.0,127.0,148.0,210.0,325.0,528.0,82.0,952.0,110.0,354.0,215.0,424.0,1568.0,2065.0,305.0,408.0,1273.0,336.0,1502.0,397.0,1075.0,1273.0,1976.0,1363.0,26.0,2116.0,1901.0,1609.0,1708.0,164.0,4350.0,622.0,160.0,7397.0,59.0,87.0,120.0,83.0,48.0,1443.0,238.0,638.0,258.0,635.0,92.0,95.0,22.0,57.0,192.0,47.0,947.0,464.0,9908.0,10941.0,3461.0,879.0,14905.0,3793.0,3048.0,5773.0,20678.0,20678.0,21205.0,21205.0,480.0,106790.0,73.0,135.0,29.0,194.0,442.0,881.0,111200.0,4504.0,107836.0,713.0,597.0,784.0,109370.0
2005-02-22,4196.0,5658.0,1260.0,1006.0,1233.0,3543.0,146.0,346.0,165.0,585.0,1197.0,767.0,2022.0,259.0,3035.0,4655.0,13331.0,14146.0,1110.0,16229.0,3228.0,6164.0,197.0,72345.0,1324.0,79836.0,85902.0,2118.0,557.0,88688.0,1171.0,91031.0,171.0,1687.0,92701.0,92711.0,124.0,144.0,207.0,314.0,530.0,92.0,950.0,106.0,345.0,212.0,410.0,1556.0,2068.0,304.0,404.0,1259.0,334.0,1492.0,397.0,1066.0,1263.0,1963.0,1360.0,26.0,2101.0,1880.0,1589.0,1687.0,164.0,4334.0,618.0,163.0,7387.0,58.0,87.0,120.0,85.0,48.0,1676.0,235.0,589.0,258.0,627.0,91.0,87.0,22.0,57.0,191.0,47.0,956.0,492.0,9995.0,11026.0,3420.0,862.0,14866.0,3709.0,3082.0,5643.0,20509.0,20509.0,21411.0,21411.0,525.0,117201.0,88.0,143.0,36.0,188.0,501.0,881.0,123307.0,4507.0,120047.0,717.0,560.0,784.0,121557.0
2005-02-23,4123.0,5631.0,1220.0,975.0,1192.0,3528.0,145.0,345.0,164.0,577.0,1185.0,762.0,2003.0,251.0,2999.0,4604.0,13439.0,14257.0,1136.0,16589.0,3342.0,6036.0,209.0,73614.0,1271.0,80951.0,86971.0,2047.0,544.0,89617.0,1141.0,91895.0,165.0,1661.0,93429.0,93387.0,125.0,144.0,206.0,313.0,535.0,104.0,958.0,103.0,341.0,212.0,402.0,1557.0,2091.0,303.0,399.0,1246.0,333.0,1482.0,396.0,1057.0,1253.0,1950.0,1357.0,26.0,2086.0,1859.0,1569.0,1666.0,165.0,4316.0,613.0,163.0,7374.0,58.0,87.0,119.0,87.0,47.0,1647.0,232.0,541.0,258.0,620.0,100.0,92.0,22.0,56.0,190.0,47.0,948.0,542.0,10060.0,11090.0,3380.0,871.0,15829.0,3673.0,3016.0,5554.0,21382.0,21382.0,22245.0,22245.0,587.0,117286.0,122.0,186.0,50.0,187.0,569.0,963.0,123622.0,4513.0,120523.0,738.0,653.0,880.0,122623.0
