, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2007-01-29,3257.0,10313.0,548.0,620.0,1077.0,3786.0,178.0,374.0,111.0,603.0,1148.0,701.0,1669.0,162.0,2509.0,4681.0,13348.0,14270.0,638.0,17854.0,2216.0,5286.0,178.0,96327.0,384.0,104931.0,133176.0,1116.0,599.0,134073.0,818.0,134944.0,136.0,1270.0,133931.0,133404.0,91.0,91.0,239.0,226.0,643.0,143.0,1293.0,112.0,541.0,262.0,659.0,2157.0,2541.0,491.0,511.0,1512.0,345.0,1793.0,494.0,1258.0,1458.0,2205.0,1522.0,41.0,2589.0,2459.0,2166.0,1746.0,214.0,4442.0,2953.0,85.0,9812.0,98.0,98.0,153.0,98.0,52.0,227.0,303.0,349.0,256.0,742.0,0.0,58.0,35.0,38.0,222.0,49.0,927.0,259.0,12369.0,13189.0,3604.0,1020.0,20194.0,2278.0,1948.0,8528.0,28723.0,28723.0,29183.0,29183.0,323.0,153324.0,103.0,181.0,70.0,272.0,462.0,670.0,154914.0,5370.0,156031.0,1335.0,829.0,1137.0,157415.0
2007-01-30,3225.0,10293.0,544.0,612.0,1061.0,3810.0,177.0,373.0,110.0,598.0,1136.0,701.0,1662.0,160.0,2441.0,4737.0,13212.0,14080.0,644.0,16916.0,2132.0,5022.0,172.0,96481.0,381.0,103355.0,125000.0,1103.0,583.0,126975.0,803.0,129802.0,135.0,1215.0,132016.0,132373.0,88.0,87.0,234.0,217.0,628.0,134.0,1240.0,109.0,500.0,256.0,612.0,2104.0,2491.0,490.0,509.0,1511.0,343.0,1784.0,494.0,1254.0,1455.0,2201.0,1582.0,41.0,2600.0,2458.0,2155.0,1744.0,213.0,4434.0,2931.0,84.0,9681.0,98.0,98.0,153.0,98.0,52.0,226.0,302.0,370.0,281.0,756.0,0.0,57.0,36.0,39.0,225.0,49.0,925.0,255.0,12483.0,13390.0,3573.0,997.0,20316.0,2285.0,1886.0,8721.0,29036.0,29036.0,29484.0,29484.0,315.0,167474.0,99.0,180.0,70.0,265.0,451.0,684.0,172514.0,5341.0,173891.0,1298.0,778.0,1119.0,176125.0
2007-01-31,3194.0,10272.0,540.0,605.0,1047.0,3783.0,176.0,371.0,109.0,594.0,1128.0,697.0,1657.0,157.0,2399.0,4740.0,13118.0,13953.0,650.0,16778.0,2076.0,4453.0,167.0,96226.0,378.0,102771.0,125000.0,1090.0,567.0,126678.0,787.0,129014.0,134.0,1188.0,130210.0,130214.0,85.0,84.0,229.0,209.0,619.0,126.0,1191.0,106.0,482.0,253.0,585.0,2016.0,2429.0,489.0,508.0,1508.0,341.0,1777.0,493.0,1247.0,1447.0,2193.0,1645.0,41.0,2646.0,2496.0,2170.0,1755.0,213.0,4433.0,2908.0,83.0,9536.0,98.0,98.0,152.0,98.0,52.0,225.0,300.0,392.0,310.0,788.0,0.0,57.0,36.0,42.0,227.0,49.0,927.0,251.0,12714.0,13634.0,3540.0,975.0,20200.0,2253.0,1827.0,8679.0,28879.0,28879.0,29314.0,29314.0,307.0,163114.0,96.0,181.0,69.0,259.0,439.0,720.0,169819.0,5354.0,171851.0,1264.0,744.0,1100.0,175446.0
2007-02-01,3165.0,10253.0,536.0,601.0,1035.0,3759.0,176.0,370.0,109.0,590.0,1122.0,694.0,1653.0,155.0,2381.0,4710.0,13061.0,13865.0,656.0,16693.0,2023.0,4046.0,161.0,95808.0,376.0,101438.0,123750.0,1077.0,551.0,125666.0,773.0,128256.0,134.0,1163.0,129695.0,129762.0,82.0,81.0,225.0,202.0,609.0,119.0,1151.0,104.0,464.0,253.0,563.0,1958.0,2359.0,488.0,506.0,1503.0,339.0,1769.0,492.0,1241.0,1441.0,2184.0,1692.0,41.0,2695.0,2541.0,2207.0,1791.0,214.0,4453.0,2895.0,83.0,9366.0,98.0,98.0,152.0,98.0,51.0,224.0,299.0,426.0,336.0,820.0,0.0,57.0,36.0,44.0,230.0,49.0,928.0,247.0,12652.0,13618.0,3507.0,956.0,20265.0,2225.0,1772.0,8635.0,28901.0,28901.0,29324.0,29324.0,300.0,162182.0,94.0,178.0,68.0,255.0,427.0,735.0,168375.0,5367.0,170225.0,1234.0,717.0,1083.0,173386.0
2007-02-02,3139.0,10234.0,532.0,597.0,1025.0,3736.0,175.0,369.0,108.0,586.0,1115.0,691.0,1649.0,153.0,2367.0,4678.0,13014.0,13790.0,663.0,16615.0,1973.0,3798.0,156.0,92449.0,373.0,99789.0,113750.0,1065.0,535.0,116787.0,759.0,120553.0,133.0,1139.0,123392.0,123856.0,79.0,78.0,222.0,195.0,595.0,112.0,1108.0,102.0,444.0,247.0,537.0,1893.0,2295.0,487.0,505.0,1497.0,337.0,1761.0,492.0,1235.0,1434.0,2175.0,1716.0,41.0,2731.0,2578.0,2252.0,1848.0,214.0,4499.0,2888.0,82.0,9199.0,98.0,98.0,151.0,99.0,51.0,224.0,298.0,468.0,362.0,849.0,0.0,56.0,36.0,46.0,232.0,49.0,930.0,243.0,12537.0,13502.0,3475.0,937.0,20478.0,2195.0,1720.0,7681.0,28159.0,28159.0,28571.0,28571.0,292.0,160236.0,92.0,173.0,67.0,248.0,416.0,732.0,166981.0,5379.0,168908.0,1207.0,698.0,1067.0,172153.0
2007-02-03,3112.0,10216.0,528.0,594.0,1014.0,3714.0,174.0,368.0,108.0,583.0,1109.0,688.0,1646.0,151.0,2352.0,4646.0,12985.0,13735.0,669.0,16561.0,1927.0,3584.0,151.0,77701.0,371.0,86012.0,91250.0,1054.0,520.0,94082.0,745.0,97993.0,132.0,1116.0,101707.0,102623.0,77.0,75.0,218.0,188.0,583.0,106.0,1070.0,100.0,425.0,243.0,513.0,1831.0,2224.0,486.0,504.0,1491.0,335.0,1751.0,491.0,1228.0,1427.0,2166.0,1730.0,41.0,2749.0,2598.0,2284.0,1903.0,215.0,4555.0,2881.0,81.0,9040.0,98.0,98.0,151.0,99.0,51.0,223.0,297.0,510.0,386.0,877.0,0.0,56.0,37.0,49.0,235.0,49.0,931.0,240.0,12393.0,13358.0,3443.0,918.0,20393.0,2171.0,1673.0,4960.0,25353.0,25353.0,25755.0,25755.0,285.0,145875.0,90.0,170.0,65.0,239.0,406.0,722.0,155303.0,5390.0,157844.0,1182.0,666.0,1052.0,162259.0
2007-02-04,3088.0,10199.0,525.0,590.0,1005.0,3692.0,174.0,366.0,107.0,579.0,1104.0,685.0,1643.0,149.0,2338.0,4617.0,12964.0,13691.0,675.0,16522.0,1886.0,3313.0,146.0,76776.0,368.0,82162.0,91250.0,1043.0,504.0,90690.0,732.0,91233.0,132.0,1094.0,91007.0,90872.0,77.0,73.0,215.0,182.0,574.0,100.0,1049.0,99.0,407.0,240.0,490.0,1786.0,2161.0,485.0,503.0,1485.0,333.0,1741.0,490.0,1222.0,1420.0,2157.0,1744.0,41.0,2753.0,2600.0,2295.0,1940.0,215.0,4598.0,2874.0,81.0,8887.0,97.0,97.0,151.0,99.0,51.0,222.0,296.0,552.0,410.0,905.0,1.0,56.0,37.0,51.0,238.0,49.0,934.0,237.0,12257.0,13212.0,3414.0,900.0,20301.0,2152.0,1628.0,5117.0,25418.0,25418.0,25810.0,25810.0,278.0,124580.0,88.0,166.0,64.0,230.0,396.0,712.0,133360.0,5409.0,135937.0,1162.0,658.0,1038.0,140442.0
2007-02-05,3065.0,10184.0,521.0,587.0,995.0,3672.0,173.0,365.0,107.0,576.0,1098.0,683.0,1640.0,147.0,2325.0,4589.0,12949.0,13653.0,681.0,16490.0,1847.0,3123.0,141.0,76684.0,366.0,82024.0,125000.0,1032.0,489.0,125742.0,720.0,126606.0,131.0,1073.0,124462.0,123164.0,84.0,77.0,214.0,176.0,573.0,95.0,1033.0,98.0,398.0,240.0,474.0,1754.0,2124.0,484.0,501.0,1479.0,331.0,1730.0,489.0,1216.0,1414.0,2148.0,1757.0,41.0,2755.0,2599.0,2296.0,1961.0,216.0,4624.0,2867.0,80.0,8756.0,97.0,97.0,150.0,100.0,51.0,221.0,294.0,594.0,434.0,932.0,2.0,56.0,37.0,53.0,241.0,50.0,936.0,235.0,12133.0,13081.0,3393.0,882.0,20218.0,2139.0,1586.0,6976.0,27194.0,27194.0,27586.0,27586.0,271.0,130527.0,86.0,163.0,62.0,222.0,387.0,703.0,132744.0,5473.0,133878.0,1162.0,705.0,1024.0,135482.0
2007-02-06,3044.0,10172.0,518.0,584.0,987.0,3661.0,173.0,364.0,106.0,573.0,1093.0,680.0,1638.0,145.0,2313.0,4565.0,12937.0,13622.0,688.0,16466.0,1815.0,3109.0,137.0,76339.0,364.0,81747.0,125000.0,1025.0,475.0,126513.0,709.0,128846.0,131.0,1055.0,129906.0,129906.0,85.0,83.0,214.0,172.0,581.0,98.0,1027.0,98.0,396.0,252.0,467.0,1738.0,2140.0,483.0,500.0,1472.0,330.0,1720.0,489.0,1210.0,1407.0,2139.0,1770.0,41.0,2757.0,2598.0,2295.0,1976.0,216.0,4639.0,2860.0,83.0,8721.0,97.0,97.0,150.0,100.0,51.0,221.0,293.0,640.0,458.0,960.0,3.0,55.0,38.0,58.0,244.0,50.0,938.0,267.0,12039.0,12970.0,3371.0,868.0,20151.0,2140.0,1546.0,7095.0,27246.0,27246.0,28195.0,28195.0,265.0,157723.0,84.0,160.0,62.0,218.0,394.0,722.0,161618.0,5615.0,162763.0,1213.0,717.0,1012.0,163826.0
2007-02-07,3025.0,10174.0,515.0,581.0,979.0,3652.0,172.0,363.0,106.0,569.0,1088.0,678.0,1636.0,144.0,2301.0,4548.0,12935.0,13604.0,694.0,16482.0,1822.0,3131.0,133.0,75899.0,362.0,81227.0,125000.0,1068.0,460.0,126492.0,703.0,128824.0,130.0,1095.0,129911.0,129909.0,107.0,126.0,224.0,210.0,605.0,168.0,1055.0,108.0,403.0,265.0,476.0,1776.0,2246.0,482.0,498.0,1465.0,328.0,1709.0,488.0,1204.0,1400.0,2131.0,1783.0,41.0,2758.0,2596.0,2294.0,1988.0,217.0,4650.0,2852.0,92.0,8734.0,97.0,97.0,149.0,100.0,50.0,220.0,294.0,686.0,483.0,988.0,5.0,55.0,38.0,74.0,247.0,50.0,941.0,344.0,12047.0,12943.0,3351.0,898.0,20431.0,2159.0,1512.0,7282.0,27713.0,27713.0,30825.0,30825.0,303.0,161811.0,83.0,157.0,62.0,214.0,445.0,889.0,167637.0,5805.0,169654.0,1396.0,895.0,1027.0,172419.0
