, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2007-05-07,19432.0,20499.0,6915.0,6901.0,8970.0,21493.0,302.0,1422.0,1330.0,4239.0,6776.0,4875.0,12264.0,1272.0,16634.0,25416.0,35617.0,37852.0,3892.0,47307.0,8683.0,14164.0,405.0,136206.0,7474.0,158238.0,168718.0,6382.0,4423.0,177174.0,4358.0,180609.0,1049.0,5587.0,180637.0,179990.0,627.0,542.0,339.0,2166.0,1651.0,768.0,3056.0,482.0,1770.0,809.0,2239.0,2324.0,3525.0,674.0,1654.0,2567.0,962.0,2343.0,2688.0,3035.0,4028.0,6775.0,9120.0,123.0,4266.0,4153.0,1668.0,1823.0,188.0,4038.0,245.0,615.0,6294.0,353.0,283.0,551.0,337.0,134.0,571.0,1618.0,4420.0,874.0,469.0,100.0,163.0,0.0,71.0,2401.0,560.0,2795.0,963.0,11565.0,12596.0,21247.0,3600.0,37939.0,18031.0,10549.0,28756.0,66695.0,66695.0,67028.0,67028.0,367.0,247549.0,247.0,324.0,85.0,199.0,1734.0,2609.0,261693.0,5428.0,262963.0,2062.0,1023.0,1225.0,270310.0
2007-05-08,21613.0,21266.0,8167.0,8115.0,10958.0,23911.0,295.0,1642.0,1600.0,4828.0,7608.0,5107.0,13026.0,1489.0,16487.0,25951.0,35091.0,37383.0,4018.0,46649.0,9306.0,13991.0,389.0,136818.0,8269.0,159339.0,165000.0,6597.0,5607.0,177045.0,5386.0,183919.0,1368.0,6649.0,191116.0,191262.0,869.0,732.0,503.0,2575.0,1885.0,1003.0,3526.0,601.0,2066.0,1109.0,2778.0,3249.0,3812.0,708.0,1843.0,2755.0,1038.0,2181.0,2903.0,3136.0,3992.0,6590.0,9277.0,105.0,3697.0,3379.0,723.0,1016.0,184.0,3251.0,246.0,686.0,6247.0,365.0,286.0,702.0,444.0,150.0,642.0,1893.0,4580.0,864.0,360.0,97.0,159.0,0.0,31.0,2442.0,651.0,3324.0,1121.0,11584.0,12360.0,21819.0,3881.0,39878.0,18889.0,12256.0,29295.0,69172.0,69172.0,69494.0,69494.0,357.0,260464.0,235.0,305.0,79.0,190.0,1630.0,2394.0,266041.0,5666.0,266037.0,2588.0,1047.0,1330.0,269047.0
2007-05-09,24848.0,22223.0,9325.0,9522.0,13149.0,26213.0,324.0,2240.0,1739.0,5769.0,9153.0,5991.0,15183.0,1738.0,18047.0,28555.0,35799.0,38213.0,4206.0,47510.0,11220.0,13664.0,373.0,136610.0,9665.0,160358.0,165000.0,7635.0,6911.0,178456.0,5912.0,185097.0,1654.0,7559.0,192294.0,192175.0,849.0,813.0,606.0,2864.0,2088.0,1145.0,3959.0,646.0,2243.0,1209.0,3086.0,4189.0,4612.0,755.0,2085.0,2963.0,1199.0,2281.0,3157.0,3381.0,4310.0,6926.0,9453.0,92.0,3624.0,3161.0,209.0,282.0,176.0,2403.0,247.0,763.0,6313.0,491.0,376.0,886.0,598.0,165.0,643.0,2181.0,4718.0,858.0,306.0,93.0,157.0,0.0,11.0,2636.0,755.0,4113.0,1265.0,12114.0,12809.0,23562.0,4573.0,42277.0,20771.0,14564.0,29388.0,71665.0,71665.0,71980.0,71980.0,383.0,266495.0,225.0,294.0,76.0,180.0,1756.0,2316.0,274486.0,5788.0,275078.0,3011.0,1015.0,1446.0,279846.0
2007-05-10,26524.0,23054.0,9710.0,10415.0,14410.0,27246.0,362.0,2742.0,1848.0,6757.0,10881.0,6796.0,17677.0,1838.0,20640.0,30429.0,38077.0,40444.0,4331.0,49597.0,12762.0,13629.0,355.0,137713.0,10536.0,162008.0,165000.0,8919.0,7716.0,180483.0,5864.0,187233.0,1709.0,7972.0,194927.0,194830.0,751.0,712.0,607.0,2760.0,2147.0,1122.0,4032.0,637.0,2184.0,1145.0,2953.0,4382.0,5474.0,794.0,2406.0,3289.0,1380.0,2583.0,3510.0,3764.0,4789.0,7512.0,9631.0,87.0,3891.0,3331.0,198.0,6.0,170.0,1898.0,247.0,845.0,6441.0,656.0,489.0,1049.0,759.0,169.0,607.0,2523.0,4844.0,853.0,295.0,90.0,155.0,0.0,19.0,2812.0,835.0,5068.0,1391.0,12987.0,13579.0,26106.0,5211.0,45871.0,23014.0,16024.0,31088.0,76959.0,76959.0,77266.0,77266.0,385.0,273426.0,215.0,283.0,72.0,171.0,1953.0,2449.0,280577.0,5748.0,280906.0,3089.0,959.0,1478.0,285760.0
2007-05-11,26683.0,23265.0,9294.0,10391.0,14595.0,26476.0,400.0,2969.0,1914.0,7297.0,11869.0,7698.0,19567.0,1880.0,23388.0,30504.0,40850.0,43198.0,4351.0,52197.0,13138.0,13842.0,339.0,138994.0,10816.0,163649.0,163750.0,9729.0,7926.0,180978.0,5682.0,187996.0,1650.0,7806.0,195957.0,195979.0,730.0,681.0,626.0,2609.0,2178.0,1063.0,3924.0,634.0,2149.0,1138.0,2852.0,4113.0,5765.0,810.0,2614.0,3546.0,1504.0,3036.0,3854.0,4252.0,5389.0,8280.0,9811.0,86.0,4361.0,3717.0,472.0,12.0,160.0,1701.0,248.0,922.0,6577.0,750.0,545.0,1130.0,846.0,166.0,562.0,2643.0,4923.0,847.0,279.0,87.0,153.0,0.0,22.0,2874.0,872.0,6014.0,1442.0,14107.0,14669.0,29158.0,5578.0,50023.0,25120.0,16860.0,33227.0,83250.0,83250.0,83550.0,83550.0,368.0,282286.0,207.0,273.0,68.0,163.0,2050.0,2621.0,289761.0,5676.0,289953.0,2984.0,902.0,1460.0,294778.0
2007-05-12,27358.0,23500.0,9155.0,10125.0,14629.0,25835.0,398.0,3004.0,1909.0,7478.0,12190.0,8021.0,20211.0,1858.0,24700.0,29501.0,42950.0,45332.0,4384.0,54541.0,13181.0,14042.0,322.0,142307.0,10969.0,166867.0,150000.0,10330.0,7945.0,169988.0,5691.0,178965.0,1646.0,7551.0,188943.0,189574.0,741.0,666.0,670.0,2579.0,2251.0,1027.0,3901.0,641.0,2183.0,1161.0,2932.0,4051.0,5633.0,816.0,2731.0,3713.0,1574.0,3451.0,4140.0,4740.0,6012.0,9082.0,9993.0,84.0,5056.0,4368.0,1074.0,312.0,157.0,1745.0,248.0,978.0,6743.0,802.0,568.0,1154.0,891.0,164.0,515.0,2646.0,4970.0,842.0,320.0,84.0,152.0,0.0,43.0,2811.0,892.0,6633.0,1371.0,15043.0,15670.0,30786.0,5716.0,53936.0,26174.0,17274.0,34519.0,88455.0,88455.0,88749.0,88749.0,347.0,287343.0,198.0,266.0,65.0,155.0,2009.0,2687.0,296073.0,5609.0,296310.0,2947.0,851.0,1442.0,301347.0
2007-05-13,28427.0,23661.0,9015.0,9843.0,14411.0,25453.0,383.0,2911.0,1851.0,7448.0,12085.0,7961.0,20046.0,1755.0,24709.0,28980.0,43427.0,45764.0,4481.0,55091.0,12996.0,14168.0,305.0,145147.0,11134.0,170251.0,124050.0,10815.0,7963.0,142273.0,5701.0,149543.0,1621.0,7392.0,158890.0,159824.0,712.0,645.0,706.0,2529.0,2321.0,976.0,3915.0,632.0,2189.0,1123.0,2994.0,4130.0,5514.0,791.0,2620.0,3699.0,1580.0,3763.0,4192.0,5108.0,6517.0,9762.0,10147.0,79.0,5913.0,5197.0,1910.0,1012.0,158.0,2286.0,249.0,992.0,6875.0,757.0,522.0,1111.0,864.0,156.0,470.0,2531.0,4996.0,836.0,332.0,81.0,150.0,0.0,55.0,2650.0,869.0,6889.0,1247.0,15612.0,16320.0,30415.0,5624.0,55091.0,26325.0,17036.0,34798.0,89889.0,89889.0,90177.0,90177.0,329.0,272721.0,190.0,258.0,62.0,147.0,1855.0,2615.0,286321.0,5546.0,287260.0,2905.0,799.0,1412.0,294000.0
2007-05-14,28504.0,23429.0,8318.0,9231.0,13619.0,24252.0,366.0,2736.0,1713.0,7177.0,11567.0,7704.0,19271.0,1608.0,24028.0,28140.0,42943.0,45201.0,4516.0,54499.0,12283.0,13768.0,291.0,146225.0,11299.0,171522.0,136200.0,11230.0,8010.0,154797.0,5744.0,161007.0,1571.0,7193.0,167008.0,166531.0,721.0,623.0,739.0,2464.0,2661.0,925.0,3981.0,630.0,2199.0,1137.0,3066.0,4162.0,5479.0,756.0,2282.0,3428.0,1492.0,3794.0,3926.0,5107.0,6626.0,9974.0,10274.0,71.0,6458.0,5792.0,2767.0,1927.0,156.0,3197.0,250.0,959.0,6946.0,658.0,441.0,1048.0,793.0,148.0,428.0,2333.0,5005.0,831.0,313.0,78.0,149.0,0.0,52.0,2456.0,832.0,6763.0,1090.0,15731.0,16542.0,29049.0,5384.0,54221.0,25735.0,16116.0,34335.0,88555.0,88555.0,88836.0,88836.0,316.0,255970.0,183.0,250.0,58.0,140.0,1666.0,2436.0,265138.0,5503.0,265560.0,2840.0,748.0,1380.0,271391.0
2007-05-15,28752.0,23456.0,7762.0,8435.0,12721.0,22776.0,346.0,2521.0,1600.0,6786.0,10866.0,7322.0,18187.0,1508.0,22845.0,26641.0,41902.0,44193.0,4610.0,53976.0,11708.0,12937.0,281.0,147005.0,11510.0,171497.0,136200.0,11772.0,8206.0,155683.0,5963.0,162316.0,1577.0,7071.0,169344.0,169327.0,751.0,631.0,771.0,2516.0,3644.0,909.0,4934.0,645.0,2228.0,1164.0,3139.0,4924.0,5549.0,723.0,1951.0,3117.0,1365.0,3535.0,3573.0,4854.0,6344.0,9591.0,10442.0,65.0,6611.0,5976.0,3246.0,2661.0,150.0,4088.0,260.0,903.0,7003.0,585.0,381.0,1014.0,753.0,141.0,391.0,2153.0,4988.0,826.0,328.0,75.0,148.0,0.0,61.0,2347.0,807.0,6488.0,937.0,15458.0,16329.0,27777.0,5094.0,51527.0,24786.0,15311.0,33393.0,84921.0,84921.0,85197.0,85197.0,306.0,261264.0,176.0,242.0,55.0,131.0,1502.0,2230.0,269955.0,5486.0,269907.0,2833.0,729.0,1361.0,274556.0
2007-05-16,30490.0,24109.0,8373.0,8034.0,12332.0,22762.0,328.0,2376.0,1563.0,6641.0,10494.0,7183.0,17678.0,1538.0,21918.0,25719.0,40718.0,42989.0,4854.0,52906.0,11817.0,12624.0,271.0,148178.0,12277.0,173299.0,136200.0,12871.0,8423.0,156559.0,5832.0,162513.0,1582.0,6995.0,169469.0,169460.0,728.0,639.0,785.0,2570.0,3735.0,890.0,5198.0,633.0,2222.0,1159.0,3158.0,5397.0,6103.0,698.0,1718.0,2890.0,1260.0,3166.0,3334.0,4629.0,5997.0,9048.0,10685.0,60.0,6706.0,6021.0,3410.0,2993.0,147.0,4624.0,275.0,837.0,7020.0,533.0,337.0,984.0,723.0,133.0,359.0,2039.0,4954.0,823.0,347.0,69.0,146.0,0.0,72.0,2273.0,785.0,6151.0,826.0,15118.0,15988.0,27014.0,4869.0,49561.0,24147.0,14955.0,32644.0,82205.0,82205.0,82478.0,82478.0,295.0,259011.0,169.0,234.0,53.0,123.0,1373.0,2052.0,268149.0,5468.0,268234.0,2884.0,786.0,1341.0,273386.0
