, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALLS RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2009-04-20,3772.0,9955.0,3985.0,3769.0,6104.0,8411.0,274.0,1767.0,854.0,3571.0,6342.0,2663.0,8456.0,1179.0,11082.0,10591.0,20216.0,22894.0,2190.0,30336.0,16530.0,17680.0,1332.0,76369.0,2984.0,96243.0,131422.0,1120.0,1036.0,132247.0,2857.0,129895.0,330.0,3217.0,130313.0,130820.0,435.0,430.0,489.0,1612.0,1343.0,1510.0,3449.0,345.0,1652.0,803.0,3352.0,3777.0,4392.0,662.0,902.0,2282.0,784.0,2342.0,1106.0,2420.0,3961.0,8101.0,18174.0,778.0,17034.0,16235.0,15847.0,14301.0,487.0,16825.0,16792.0,794.0,24265.0,234.0,234.0,578.0,719.0,315.0,2533.0,2308.0,4103.0,1113.0,634.0,583.0,284.0,53.0,111.0,1539.0,167.0,4576.0,1607.0,30315.0,31413.0,12165.0,11236.0,57403.0,17634.0,12697.0,33824.0,91226.0,91226.0,93164.0,93164.0,2105.0,227409.0,1251.0,2713.0,681.0,2096.0,6089.0,6764.0,241499.0,5923.0,242085.0,2407.0,1719.0,1307.0,245560.0
2009-04-21,4605.0,10548.0,6635.0,5661.0,8575.0,12683.0,284.0,1909.0,1005.0,4203.0,7547.0,2933.0,9948.0,1330.0,12670.0,13213.0,23016.0,25817.0,2496.0,33188.0,18266.0,17582.0,1305.0,79478.0,3942.0,100703.0,136250.0,1236.0,1523.0,138444.0,3385.0,139902.0,791.0,4390.0,143625.0,143375.0,562.0,576.0,577.0,2235.0,1499.0,1726.0,3965.0,469.0,2335.0,893.0,4364.0,5759.0,5394.0,858.0,1598.0,2940.0,1061.0,2426.0,1792.0,2559.0,4170.0,8573.0,18487.0,1034.0,18036.0,17275.0,16645.0,14940.0,480.0,17315.0,16577.0,946.0,24179.0,342.0,342.0,641.0,754.0,342.0,2802.0,2580.0,4513.0,1386.0,1153.0,872.0,289.0,51.0,108.0,1947.0,220.0,5481.0,1688.0,31265.0,32795.0,13006.0,12039.0,61040.0,19990.0,14940.0,35970.0,97010.0,97010.0,98911.0,98911.0,2237.0,240526.0,1310.0,2904.0,642.0,2806.0,6910.0,8144.0,252028.0,6127.0,253340.0,2811.0,2001.0,1397.0,257420.0
2009-04-22,7693.0,11165.0,9816.0,7960.0,11788.0,18577.0,302.0,1983.0,1428.0,5220.0,9172.0,3312.0,11968.0,1477.0,14858.0,19222.0,27300.0,30223.0,2856.0,37761.0,20608.0,17834.0,1356.0,82179.0,5085.0,104763.0,142500.0,1414.0,2140.0,145135.0,3408.0,146529.0,1059.0,5193.0,150648.0,150308.0,628.0,677.0,622.0,2549.0,1580.0,1745.0,4203.0,531.0,2882.0,943.0,5049.0,7131.0,7171.0,1054.0,2373.0,3816.0,1394.0,3127.0,2869.0,2967.0,4855.0,9277.0,18496.0,1197.0,18418.0,17692.0,17181.0,15697.0,474.0,18101.0,16356.0,1137.0,23963.0,487.0,487.0,780.0,831.0,368.0,3112.0,3049.0,4852.0,1483.0,1197.0,1100.0,314.0,49.0,151.0,2398.0,283.0,6581.0,1754.0,32473.0,34370.0,16577.0,12571.0,65369.0,23681.0,18027.0,39427.0,104796.0,104796.0,106667.0,106667.0,2413.0,257399.0,1357.0,3036.0,593.0,2952.0,7469.0,9516.0,271431.0,6306.0,272970.0,3097.0,2154.0,1495.0,278003.0
2009-04-23,9481.0,11448.0,9859.0,9580.0,14085.0,21100.0,364.0,2030.0,1861.0,6287.0,10901.0,3893.0,14295.0,1478.0,17362.0,24862.0,30606.0,33587.0,3162.0,41602.0,22782.0,18340.0,1244.0,84082.0,5625.0,107980.0,148750.0,1839.0,2086.0,152384.0,2917.0,154392.0,924.0,4981.0,159003.0,158795.0,565.0,604.0,567.0,2243.0,1514.0,1546.0,3959.0,486.0,2751.0,834.0,4655.0,7124.0,8647.0,1165.0,2684.0,4261.0,1713.0,4207.0,3393.0,3662.0,6099.0,10942.0,18551.0,1223.0,19313.0,18543.0,17717.0,16145.0,474.0,18669.0,16134.0,1338.0,23893.0,575.0,575.0,941.0,1000.0,372.0,3314.0,3558.0,5114.0,1635.0,1387.0,1053.0,303.0,47.0,215.0,2941.0,326.0,7669.0,1840.0,33694.0,35858.0,20863.0,12963.0,71906.0,27232.0,19569.0,43182.0,115087.0,115087.0,116930.0,116930.0,2448.0,277047.0,1301.0,3044.0,549.0,3059.0,7805.0,10200.0,291364.0,6141.0,292570.0,3080.0,2032.0,1471.0,297725.0
2009-04-24,8866.0,11466.0,7704.0,9881.0,14200.0,19900.0,426.0,2086.0,2065.0,6899.0,12001.0,4697.0,16217.0,1346.0,19665.0,26167.0,33595.0,36461.0,3339.0,44191.0,23208.0,18988.0,1182.0,84606.0,5426.0,109442.0,142500.0,2387.0,1613.0,146609.0,2395.0,149095.0,663.0,4024.0,154189.0,154517.0,438.0,436.0,448.0,1607.0,1320.0,1227.0,3382.0,403.0,2336.0,725.0,3586.0,5591.0,8651.0,1306.0,2528.0,4189.0,1827.0,5043.0,3167.0,4242.0,7113.0,12723.0,18527.0,1205.0,20515.0,19777.0,18844.0,17075.0,483.0,19541.0,15913.0,1476.0,23941.0,491.0,491.0,949.0,1058.0,357.0,3394.0,3674.0,5325.0,1787.0,1633.0,813.0,246.0,46.0,259.0,3614.0,367.0,8437.0,1950.0,35030.0,37542.0,23272.0,12730.0,76850.0,29663.0,19010.0,45750.0,122601.0,122601.0,124420.0,124420.0,2240.0,290357.0,1051.0,2634.0,482.0,2995.0,7716.0,10065.0,307457.0,5862.0,308733.0,2649.0,1684.0,1325.0,314378.0
2009-04-25,7973.0,10772.0,5701.0,8388.0,12046.0,16545.0,441.0,1983.0,1840.0,6803.0,11731.0,4703.0,15971.0,1093.0,20573.0,23194.0,35944.0,38628.0,3247.0,45753.0,21300.0,19532.0,947.0,83276.0,4965.0,108512.0,132500.0,2489.0,1313.0,136866.0,2212.0,139338.0,530.0,3066.0,143765.0,144215.0,373.0,325.0,368.0,1180.0,1170.0,963.0,2881.0,360.0,2016.0,642.0,2896.0,4037.0,7360.0,1140.0,2088.0,3763.0,1679.0,5279.0,2374.0,4267.0,7329.0,13204.0,18281.0,997.0,21145.0,20517.0,19825.0,18213.0,499.0,20775.0,15691.0,1507.0,24029.0,329.0,329.0,896.0,1039.0,319.0,3568.0,3372.0,8084.0,1940.0,1832.0,524.0,171.0,44.0,282.0,3070.0,342.0,8273.0,1796.0,35823.0,38810.0,24171.0,11636.0,79727.0,29979.0,16663.0,46619.0,126346.0,126346.0,128145.0,128145.0,1964.0,287362.0,795.0,2015.0,413.0,2597.0,6990.0,9293.0,305921.0,5725.0,307488.0,2239.0,1366.0,1177.0,313368.0
2009-04-26,7420.0,9808.0,4843.0,6470.0,9744.0,13562.0,408.0,1702.0,1474.0,6124.0,10379.0,4054.0,13987.0,930.0,19106.0,19266.0,36155.0,38730.0,3112.0,45912.0,17756.0,19824.0,792.0,81932.0,4575.0,107041.0,124578.0,2367.0,1196.0,128538.0,2121.0,130539.0,464.0,2499.0,133924.0,134258.0,344.0,278.0,339.0,994.0,1095.0,796.0,2536.0,325.0,1768.0,573.0,2488.0,2974.0,5820.0,868.0,1203.0,2803.0,1268.0,4778.0,1761.0,3825.0,6723.0,12183.0,18052.0,691.0,20887.0,20338.0,19936.0,18715.0,519.0,21535.0,15470.0,1421.0,23787.0,211.0,211.0,831.0,934.0,292.0,3495.0,2517.0,7288.0,2093.0,1975.0,339.0,135.0,42.0,282.0,2353.0,294.0,6916.0,1562.0,35239.0,38439.0,21461.0,10350.0,77221.0,27400.0,13904.0,44365.0,121586.0,121586.0,123365.0,123365.0,1741.0,274366.0,669.0,1658.0,361.0,2070.0,5999.0,8080.0,292954.0,5686.0,294761.0,2023.0,1157.0,1085.0,300635.0
2009-04-27,6963.0,9043.0,4476.0,5154.0,8209.0,11677.0,385.0,1513.0,1276.0,5442.0,9145.0,3487.0,12204.0,853.0,16909.0,16439.0,34477.0,36913.0,3016.0,43894.0,15099.0,19768.0,708.0,80569.0,4278.0,105289.0,118672.0,2233.0,1141.0,122721.0,2043.0,124876.0,422.0,2225.0,128041.0,128336.0,330.0,268.0,340.0,897.0,1074.0,682.0,2322.0,297.0,1595.0,515.0,2214.0,2243.0,4599.0,753.0,750.0,2209.0,976.0,3721.0,1475.0,3315.0,5920.0,10900.0,17888.0,478.0,19952.0,19437.0,19222.0,18329.0,545.0,21403.0,15248.0,1264.0,23456.0,165.0,164.0,788.0,834.0,278.0,3207.0,1988.0,6066.0,2245.0,2083.0,258.0,121.0,40.0,265.0,2013.0,273.0,5427.0,1402.0,33575.0,36597.0,19102.0,9224.0,71400.0,24342.0,11652.0,41263.0,112662.0,112662.0,114424.0,114424.0,1572.0,257264.0,575.0,1417.0,310.0,1748.0,5112.0,6924.0,274227.0,5679.0,276034.0,1892.0,1012.0,1038.0,281579.0
2009-04-28,6577.0,8536.0,4253.0,4441.0,7210.0,10592.0,367.0,1405.0,1165.0,4876.0,8268.0,3047.0,10904.0,807.0,15136.0,14596.0,32693.0,34995.0,2919.0,41698.0,13579.0,19457.0,647.0,79805.0,4075.0,103802.0,116000.0,2105.0,1098.0,119376.0,1969.0,120938.0,389.0,2087.0,123222.0,123313.0,345.0,293.0,356.0,944.0,1089.0,603.0,2182.0,275.0,1477.0,466.0,2024.0,1701.0,3732.0,723.0,611.0,1991.0,849.0,2825.0,1328.0,2929.0,5208.0,9860.0,17803.0,495.0,18757.0,18213.0,17965.0,17279.0,570.0,20506.0,15027.0,1101.0,23102.0,151.0,147.0,759.0,759.0,266.0,2956.0,1785.0,5624.0,2397.0,2202.0,225.0,115.0,38.0,245.0,1861.0,260.0,4455.0,1285.0,31942.0,34523.0,17614.0,8274.0,65820.0,21834.0,9980.0,38591.0,104411.0,104411.0,106157.0,106157.0,1445.0,241155.0,511.0,1237.0,277.0,1498.0,4411.0,5986.0,256761.0,5685.0,258507.0,1789.0,909.0,1009.0,263695.0
2009-04-29,6258.0,8302.0,4182.0,4106.0,6568.0,10056.0,354.0,1329.0,1087.0,4433.0,7599.0,2780.0,9986.0,771.0,13855.0,13493.0,31323.0,33527.0,2882.0,40056.0,12571.0,19031.0,610.0,79617.0,3979.0,102972.0,116000.0,1992.0,1058.0,119189.0,1971.0,120671.0,362.0,2003.0,122709.0,122720.0,372.0,340.0,375.0,1163.0,1152.0,544.0,2110.0,264.0,1442.0,424.0,1902.0,1327.0,3109.0,719.0,562.0,1892.0,801.0,2322.0,1227.0,2701.0,4788.0,8997.0,17687.0,513.0,17828.0,17219.0,16730.0,16015.0,591.0,19236.0,14805.0,957.0,22713.0,146.0,139.0,739.0,705.0,255.0,2739.0,1661.0,5593.0,2453.0,2271.0,210.0,112.0,36.0,225.0,1769.0,250.0,3900.0,1188.0,30812.0,32985.0,16536.0,7467.0,61470.0,20021.0,9023.0,36620.0,98090.0,98090.0,99823.0,99823.0,1362.0,230351.0,478.0,1115.0,253.0,1308.0,3916.0,5273.0,243836.0,5679.0,245290.0,1721.0,836.0,994.0,249747.0
