, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2009-12-21,3060.0,19215.0,670.0,440.0,2952.0,3838.0,309.0,628.0,237.0,485.0,1406.0,784.0,2187.0,120.0,2721.0,4697.0,11415.0,12367.0,534.0,18470.0,4693.0,4134.0,1117.0,90788.0,237.0,95527.0,75944.0,796.0,564.0,75363.0,812.0,75468.0,83.0,1501.0,76936.0,75745.0,357.0,238.0,252.0,653.0,619.0,310.0,891.0,497.0,869.0,499.0,1097.0,1888.0,2410.0,418.0,335.0,1191.0,325.0,1418.0,440.0,1380.0,1494.0,2496.0,1947.0,30.0,2667.0,2668.0,2296.0,2336.0,169.0,5289.0,2767.0,89.0,9044.0,126.0,126.0,131.0,74.0,51.0,267.0,309.0,217.0,252.0,906.0,57.0,62.0,40.0,71.0,257.0,53.0,1178.0,227.0,11265.0,11981.0,4231.0,1326.0,14902.0,2259.0,3692.0,6251.0,21153.0,21153.0,21691.0,21691.0,344.0,91811.0,151.0,133.0,98.0,205.0,229.0,472.0,91296.0,5986.0,101175.0,1489.0,2739.0,1530.0,109684.0
2009-12-22,3066.0,21052.0,667.0,437.0,1380.0,3735.0,313.0,630.0,237.0,484.0,1403.0,804.0,2205.0,96.0,2770.0,4658.0,11335.0,12378.0,498.0,16204.0,6959.0,4856.0,979.0,91864.0,236.0,96741.0,80000.0,930.0,558.0,81361.0,812.0,83830.0,83.0,1646.0,88535.0,88436.0,321.0,215.0,262.0,683.0,628.0,312.0,1057.0,370.0,1069.0,361.0,1381.0,2504.0,2631.0,417.0,347.0,1295.0,324.0,1460.0,440.0,1375.0,1489.0,2490.0,1946.0,30.0,2651.0,2642.0,2279.0,2326.0,169.0,5298.0,2865.0,90.0,9144.0,126.0,126.0,130.0,75.0,51.0,267.0,321.0,223.0,249.0,901.0,56.0,62.0,40.0,100.0,268.0,53.0,1393.0,298.0,11264.0,12339.0,4230.0,1846.0,18313.0,2674.0,4134.0,6435.0,24748.0,24748.0,26784.0,26784.0,717.0,109573.0,224.0,321.0,158.0,214.0,261.0,523.0,100826.0,6564.0,103740.0,1344.0,2329.0,1160.0,109219.0
2009-12-23,2974.0,20707.0,654.0,441.0,1042.0,3715.0,313.0,632.0,236.0,482.0,1403.0,810.0,2211.0,82.0,2766.0,4562.0,11112.0,12139.0,468.0,13064.0,5394.0,4364.0,290.0,92485.0,235.0,97138.0,80000.0,912.0,540.0,81430.0,777.0,83892.0,82.0,1408.0,88372.0,88386.0,240.0,147.0,259.0,457.0,556.0,204.0,990.0,310.0,960.0,313.0,1181.0,2537.0,3018.0,417.0,358.0,1366.0,323.0,1552.0,439.0,1369.0,1482.0,2480.0,1947.0,30.0,2707.0,2680.0,2280.0,2317.0,168.0,5282.0,2964.0,89.0,9089.0,126.0,126.0,130.0,74.0,51.0,268.0,284.0,209.0,248.0,900.0,56.0,62.0,40.0,113.0,251.0,52.0,1250.0,218.0,11571.0,12879.0,4213.0,1726.0,20250.0,2811.0,2913.0,5398.0,25648.0,25648.0,26583.0,26583.0,496.0,118376.0,93.0,198.0,62.0,351.0,167.0,497.0,113430.0,6012.0,116386.0,966.0,1536.0,743.0,120219.0
2009-12-24,2953.0,14248.0,645.0,434.0,1005.0,3688.0,312.0,631.0,236.0,481.0,1402.0,789.0,2189.0,81.0,2759.0,4514.0,10944.0,11958.0,468.0,12677.0,3451.0,3962.0,140.0,92518.0,235.0,96834.0,76250.0,974.0,523.0,78494.0,772.0,81722.0,82.0,1189.0,86638.0,86843.0,213.0,125.0,257.0,382.0,544.0,149.0,873.0,280.0,882.0,292.0,1088.0,2300.0,3138.0,416.0,363.0,1403.0,322.0,1624.0,439.0,1364.0,1476.0,2471.0,1947.0,30.0,2795.0,2766.0,2342.0,2367.0,168.0,5295.0,3000.0,87.0,9146.0,125.0,125.0,129.0,73.0,50.0,268.0,270.0,205.0,248.0,899.0,56.0,62.0,40.0,110.0,248.0,52.0,1114.0,194.0,11460.0,12793.0,4195.0,1347.0,17252.0,2516.0,1975.0,4602.0,21854.0,21854.0,22308.0,22308.0,334.0,116724.0,64.0,123.0,45.0,310.0,125.0,419.0,113106.0,5583.0,115877.0,889.0,1111.0,664.0,119076.0
2009-12-25,2945.0,13748.0,640.0,426.0,982.0,3662.0,311.0,628.0,235.0,479.0,1398.0,776.0,2172.0,81.0,2736.0,4470.0,10793.0,11797.0,481.0,12483.0,2414.0,3891.0,129.0,91287.0,234.0,96328.0,65000.0,1060.0,507.0,66731.0,772.0,69681.0,82.0,1111.0,74635.0,75075.0,196.0,116.0,254.0,352.0,538.0,124.0,806.0,255.0,801.0,274.0,996.0,2114.0,2984.0,415.0,369.0,1436.0,321.0,1670.0,438.0,1359.0,1471.0,2462.0,1947.0,30.0,2857.0,2833.0,2421.0,2446.0,168.0,5356.0,3000.0,86.0,9212.0,125.0,125.0,129.0,71.0,50.0,268.0,269.0,205.0,248.0,899.0,56.0,62.0,40.0,100.0,247.0,52.0,1075.0,183.0,11379.0,12470.0,4177.0,1136.0,16415.0,2276.0,1632.0,4217.0,20631.0,20631.0,20987.0,20987.0,277.0,107904.0,59.0,108.0,39.0,215.0,115.0,367.0,111433.0,5399.0,113988.0,861.0,895.0,644.0,118576.0
2009-12-26,2938.0,13852.0,635.0,419.0,960.0,3638.0,309.0,626.0,235.0,478.0,1394.0,767.0,2159.0,81.0,2720.0,4430.0,10655.0,11649.0,500.0,12304.0,2030.0,3591.0,126.0,84821.0,233.0,90016.0,65000.0,1064.0,491.0,66531.0,769.0,68988.0,82.0,1080.0,72695.0,72701.0,182.0,110.0,248.0,332.0,529.0,111.0,768.0,232.0,726.0,259.0,912.0,1971.0,2790.0,414.0,369.0,1436.0,320.0,1700.0,438.0,1355.0,1466.0,2454.0,1948.0,30.0,2898.0,2875.0,2478.0,2507.0,167.0,5425.0,3000.0,85.0,9239.0,125.0,125.0,128.0,70.0,50.0,268.0,268.0,205.0,248.0,899.0,56.0,62.0,40.0,90.0,246.0,52.0,1059.0,175.0,11425.0,12311.0,4160.0,1051.0,15801.0,2159.0,1496.0,4042.0,19842.0,19842.0,20184.0,20184.0,255.0,97314.0,58.0,102.0,36.0,187.0,113.0,342.0,102637.0,5321.0,115365.0,836.0,779.0,635.0,118351.0
2009-12-27,2934.0,13971.0,630.0,412.0,939.0,3614.0,308.0,624.0,234.0,476.0,1390.0,758.0,2146.0,81.0,2706.0,4392.0,10627.0,11620.0,520.0,12230.0,1831.0,3195.0,123.0,84468.0,233.0,88013.0,68750.0,1039.0,476.0,69495.0,756.0,71195.0,81.0,1055.0,73950.0,73767.0,170.0,105.0,242.0,315.0,519.0,103.0,743.0,212.0,657.0,246.0,834.0,1857.0,2625.0,414.0,361.0,1395.0,319.0,1701.0,437.0,1351.0,1461.0,2446.0,1948.0,30.0,2920.0,2901.0,2515.0,2546.0,167.0,5474.0,3000.0,84.0,9229.0,125.0,125.0,127.0,70.0,50.0,267.0,267.0,204.0,248.0,899.0,55.0,62.0,40.0,83.0,246.0,52.0,1045.0,169.0,11481.0,12265.0,4144.0,1019.0,15631.0,2091.0,1432.0,3952.0,19583.0,19583.0,19915.0,19915.0,245.0,95682.0,57.0,98.0,34.0,179.0,113.0,330.0,100560.0,5282.0,114907.0,815.0,711.0,628.0,113748.0
2009-12-28,2929.0,14099.0,625.0,405.0,919.0,3590.0,307.0,622.0,234.0,475.0,1385.0,751.0,2134.0,81.0,2692.0,4355.0,10656.0,11655.0,541.0,12222.0,1695.0,2813.0,120.0,84436.0,232.0,87600.0,80000.0,1014.0,461.0,81244.0,743.0,83216.0,81.0,1032.0,85542.0,85117.0,158.0,100.0,237.0,300.0,510.0,97.0,723.0,194.0,594.0,234.0,762.0,1758.0,2489.0,413.0,353.0,1349.0,318.0,1666.0,437.0,1346.0,1457.0,2438.0,1948.0,30.0,2909.0,2896.0,2529.0,2565.0,166.0,5503.0,3000.0,83.0,9208.0,124.0,124.0,127.0,69.0,50.0,267.0,267.0,204.0,249.0,899.0,55.0,62.0,39.0,77.0,245.0,52.0,1033.0,164.0,11501.0,12253.0,4128.0,1007.0,17962.0,2039.0,1393.0,3891.0,21853.0,21853.0,22176.0,22176.0,239.0,101068.0,56.0,95.0,32.0,174.0,113.0,323.0,102814.0,5257.0,106959.0,795.0,668.0,621.0,112758.0
2009-12-29,2924.0,12101.0,620.0,399.0,906.0,3567.0,306.0,620.0,233.0,473.0,1381.0,743.0,2122.0,80.0,2679.0,4319.0,10899.0,11923.0,562.0,12410.0,1586.0,2672.0,118.0,84441.0,232.0,87441.0,80000.0,991.0,446.0,81470.0,730.0,83929.0,81.0,1010.0,87173.0,87181.0,148.0,95.0,232.0,285.0,501.0,93.0,707.0,179.0,535.0,225.0,696.0,1669.0,2373.0,412.0,357.0,1366.0,317.0,1634.0,436.0,1342.0,1452.0,2431.0,1949.0,30.0,2868.0,2858.0,2511.0,2551.0,166.0,5506.0,3000.0,82.0,9187.0,124.0,124.0,126.0,68.0,50.0,266.0,266.0,204.0,249.0,899.0,55.0,62.0,39.0,73.0,245.0,51.0,1021.0,160.0,11500.0,12238.0,4112.0,1003.0,18451.0,1995.0,1363.0,3839.0,22290.0,22290.0,22605.0,22605.0,234.0,111667.0,56.0,92.0,31.0,171.0,113.0,316.0,108549.0,5237.0,110562.0,778.0,638.0,614.0,115096.0
2009-12-30,2918.0,10266.0,616.0,392.0,896.0,3545.0,305.0,618.0,233.0,472.0,1377.0,736.0,2111.0,80.0,2666.0,4285.0,11022.0,12063.0,585.0,12555.0,1494.0,2677.0,115.0,84594.0,231.0,87559.0,80000.0,970.0,431.0,81432.0,718.0,83889.0,81.0,989.0,86976.0,86985.0,139.0,91.0,227.0,272.0,494.0,89.0,692.0,165.0,479.0,217.0,633.0,1587.0,2270.0,412.0,355.0,1350.0,316.0,1639.0,436.0,1338.0,1447.0,2423.0,1949.0,30.0,2846.0,2825.0,2473.0,2514.0,165.0,5479.0,3000.0,81.0,9168.0,124.0,124.0,126.0,67.0,50.0,266.0,265.0,204.0,249.0,899.0,55.0,61.0,39.0,74.0,245.0,51.0,1011.0,157.0,11496.0,12225.0,4097.0,1005.0,18435.0,1956.0,1339.0,3793.0,22229.0,22229.0,22535.0,22535.0,231.0,112232.0,55.0,89.0,30.0,168.0,112.0,310.0,110410.0,5220.0,112637.0,763.0,615.0,608.0,117595.0
