, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2010-03-22,2631.0,5179.0,680.0,593.0,1180.0,3715.0,252.0,237.0,548.0,1424.0,705.0,2169.0,134.0,2833.0,4340.0,8308.0,9205.0,1147.0,10916.0,3676.0,3505.0,395.0,58063.0,1113.0,62717.0,58775.0,778.0,508.0,58317.0,1075.0,57055.0,111.0,1729.0,59097.0,58872.0,364.0,427.0,294.0,936.0,606.0,364.0,1328.0,164.0,661.0,369.0,916.0,1647.0,2829.0,429.0,449.0,1484.0,379.0,1284.0,397.0,1273.0,1558.0,2331.0,1232.0,48.0,1887.0,1599.0,1573.0,1718.0,289.0,4730.0,1526.0,129.0,8079.0,85.0,150.0,190.0,268.0,79.0,1913.0,531.0,1861.0,268.0,813.0,479.0,316.0,38.0,219.0,951.0,69.0,1617.0,1782.0,13535.0,15010.0,4611.0,1748.0,20627.0,3117.0,3474.0,4632.0,25259.0,25259.0,25521.0,25521.0,350.0,88155.0,184.0,344.0,158.0,406.0,1132.0,1699.0,83251.0,5153.0,90569.0,1402.0,1051.0,1321.0,99385.0
2010-03-23,2670.0,5082.0,678.0,666.0,1315.0,3782.0,256.0,226.0,594.0,1576.0,728.0,2342.0,129.0,2915.0,4437.0,8389.0,9414.0,1389.0,11201.0,4091.0,3756.0,309.0,57681.0,1099.0,62582.0,58979.0,789.0,535.0,60487.0,991.0,62240.0,94.0,1873.0,68770.0,68845.0,292.0,318.0,290.0,795.0,607.0,331.0,1339.0,184.0,671.0,330.0,745.0,1591.0,2773.0,438.0,438.0,1517.0,383.0,1406.0,460.0,1334.0,1709.0,2699.0,1265.0,51.0,1951.0,1614.0,1352.0,1478.0,311.0,4617.0,1506.0,128.0,8199.0,82.0,142.0,189.0,294.0,78.0,2262.0,453.0,1793.0,252.0,777.0,389.0,253.0,37.0,205.0,564.0,67.0,1597.0,1658.0,13160.0,15012.0,4788.0,1671.0,20780.0,3568.0,3602.0,5467.0,26247.0,26247.0,26506.0,26506.0,426.0,94679.0,207.0,379.0,193.0,394.0,1299.0,1809.0,89258.0,5104.0,91964.0,1329.0,945.0,1265.0,98768.0
2010-03-24,2686.0,4997.0,672.0,719.0,1348.0,3799.0,254.0,228.0,655.0,1715.0,735.0,2485.0,103.0,3015.0,4415.0,8144.0,9145.0,1343.0,10646.0,3981.0,3746.0,384.0,57654.0,1073.0,62523.0,57503.0,815.0,570.0,58960.0,1015.0,60551.0,104.0,1732.0,66568.0,66641.0,287.0,271.0,315.0,775.0,618.0,344.0,1320.0,203.0,643.0,334.0,666.0,1445.0,2684.0,429.0,420.0,1356.0,371.0,1404.0,464.0,1260.0,1574.0,2522.0,1287.0,56.0,2100.0,1763.0,1382.0,1445.0,321.0,4444.0,1485.0,129.0,8218.0,79.0,135.0,188.0,284.0,78.0,2164.0,428.0,1756.0,233.0,720.0,397.0,197.0,37.0,184.0,654.0,68.0,1547.0,1559.0,12987.0,14910.0,4834.0,1635.0,21274.0,3616.0,2836.0,5657.0,26932.0,26932.0,27187.0,27187.0,418.0,97863.0,258.0,414.0,244.0,389.0,1210.0,1847.0,94918.0,5154.0,97309.0,1300.0,894.0,1183.0,100697.0
2010-03-25,2664.0,5016.0,768.0,734.0,1360.0,3861.0,251.0,257.0,687.0,1692.0,748.0,2473.0,117.0,3117.0,4381.0,8074.0,9066.0,1350.0,11104.0,3966.0,3737.0,708.0,57723.0,1200.0,62622.0,57000.0,860.0,612.0,58425.0,1260.0,59926.0,120.0,1948.0,65739.0,65743.0,409.0,346.0,399.0,1170.0,691.0,524.0,1451.0,284.0,715.0,423.0,811.0,1484.0,2595.0,433.0,424.0,1276.0,374.0,1252.0,430.0,1225.0,1511.0,2400.0,1334.0,73.0,2068.0,1785.0,1473.0,1531.0,317.0,4444.0,1464.0,163.0,8187.0,75.0,128.0,193.0,300.0,85.0,1914.0,495.0,1788.0,213.0,685.0,497.0,211.0,37.0,172.0,904.0,76.0,1611.0,1585.0,13043.0,14839.0,4981.0,2080.0,21756.0,3586.0,2668.0,5438.0,27194.0,27194.0,27446.0,27446.0,466.0,96601.0,396.0,620.0,377.0,450.0,1300.0,1779.0,94067.0,5353.0,96696.0,1377.0,1170.0,1278.0,100212.0
2010-03-26,2647.0,5205.0,789.0,750.0,1386.0,3895.0,249.0,244.0,714.0,1669.0,752.0,2451.0,133.0,3168.0,4410.0,8164.0,9169.0,1406.0,11521.0,4706.0,3730.0,820.0,58356.0,1361.0,62960.0,55250.0,919.0,656.0,57129.0,1123.0,58969.0,108.0,2341.0,65367.0,65448.0,405.0,323.0,395.0,1101.0,766.0,510.0,1670.0,269.0,789.0,444.0,877.0,1781.0,2648.0,448.0,447.0,1334.0,389.0,1199.0,421.0,1228.0,1503.0,2382.0,1462.0,77.0,2002.0,1698.0,1425.0,1499.0,313.0,4497.0,1442.0,197.0,8176.0,72.0,121.0,199.0,331.0,87.0,2048.0,488.0,1768.0,192.0,651.0,493.0,199.0,36.0,161.0,968.0,78.0,1683.0,1621.0,13163.0,14916.0,5189.0,2205.0,21480.0,3979.0,3606.0,5752.0,27231.0,27231.0,27481.0,27481.0,522.0,96355.0,330.0,673.0,321.0,624.0,1707.0,1944.0,94243.0,5483.0,96933.0,1413.0,1293.0,1407.0,100879.0
2010-03-27,2644.0,5316.0,745.0,758.0,1379.0,3837.0,247.0,225.0,727.0,1639.0,756.0,2423.0,124.0,3128.0,4354.0,8021.0,9014.0,1377.0,10801.0,4884.0,3722.0,476.0,58488.0,1372.0,62775.0,50000.0,995.0,669.0,51704.0,1028.0,53407.0,99.0,2170.0,59668.0,59887.0,322.0,252.0,355.0,781.0,692.0,380.0,1633.0,246.0,777.0,437.0,837.0,1803.0,2787.0,459.0,448.0,1407.0,403.0,1265.0,421.0,1241.0,1520.0,2417.0,1609.0,76.0,2118.0,1775.0,1389.0,1430.0,311.0,4423.0,1421.0,199.0,8137.0,69.0,114.0,200.0,339.0,87.0,1955.0,453.0,1730.0,171.0,603.0,418.0,179.0,36.0,147.0,892.0,78.0,1696.0,1557.0,13124.0,14922.0,5354.0,1981.0,21264.0,4304.0,3816.0,6048.0,27312.0,27312.0,27558.0,27558.0,484.0,92632.0,273.0,482.0,281.0,630.0,1652.0,2141.0,92070.0,5502.0,98598.0,1378.0,1126.0,1276.0,102544.0
2010-03-28,2631.0,5328.0,741.0,757.0,1362.0,3784.0,244.0,214.0,730.0,1617.0,743.0,2385.0,113.0,3060.0,4209.0,7836.0,8808.0,1358.0,10860.0,4555.0,3715.0,454.0,58118.0,1490.0,62908.0,51250.0,1061.0,682.0,52646.0,1086.0,53862.0,97.0,1876.0,58856.0,58806.0,355.0,270.0,380.0,922.0,692.0,360.0,1456.0,243.0,740.0,438.0,778.0,1481.0,2794.0,459.0,442.0,1314.0,405.0,1322.0,420.0,1236.0,1509.0,2394.0,1754.0,84.0,2353.0,1993.0,1504.0,1500.0,310.0,4379.0,1400.0,198.0,8083.0,67.0,109.0,207.0,338.0,92.0,1615.0,450.0,1700.0,155.0,555.0,449.0,180.0,36.0,132.0,771.0,79.0,1673.0,1450.0,12910.0,14713.0,5348.0,2004.0,18969.0,4052.0,3408.0,5790.0,24759.0,24759.0,25002.0,25002.0,478.0,89870.0,357.0,508.0,274.0,459.0,1510.0,2098.0,89296.0,5577.0,97431.0,1372.0,1027.0,1215.0,101200.0
2010-03-29,2611.0,5440.0,849.0,758.0,1379.0,3837.0,242.0,229.0,733.0,1619.0,728.0,2369.0,122.0,3059.0,4132.0,7797.0,8765.0,1393.0,11104.0,4509.0,3852.0,573.0,57190.0,1702.0,63264.0,55000.0,1104.0,706.0,56665.0,1130.0,57973.0,99.0,1861.0,62641.0,62499.0,378.0,293.0,402.0,1140.0,742.0,379.0,1452.0,253.0,768.0,450.0,812.0,1303.0,2605.0,459.0,467.0,1294.0,410.0,1262.0,418.0,1232.0,1500.0,2385.0,1891.0,94.0,2518.0,2192.0,1711.0,1686.0,308.0,4472.0,1379.0,205.0,8038.0,67.0,108.0,218.0,339.0,98.0,1460.0,470.0,1686.0,151.0,526.0,557.0,187.0,36.0,118.0,745.0,80.0,1661.0,1366.0,12676.0,14424.0,5278.0,2134.0,22501.0,3806.0,3589.0,5398.0,27899.0,27899.0,28140.0,28140.0,474.0,89144.0,418.0,620.0,248.0,467.0,1568.0,2070.0,88118.0,5723.0,95935.0,1392.0,1025.0,1233.0,99629.0
2010-03-30,2603.0,5682.0,952.0,775.0,1454.0,3935.0,239.0,246.0,749.0,1651.0,736.0,2406.0,149.0,3129.0,4196.0,7862.0,8840.0,1450.0,12072.0,4735.0,4100.0,665.0,51682.0,2064.0,58808.0,55000.0,1156.0,771.0,56854.0,1170.0,58332.0,112.0,1978.0,63272.0,63268.0,405.0,302.0,426.0,1390.0,807.0,462.0,1625.0,265.0,803.0,495.0,870.0,1366.0,2567.0,459.0,476.0,1282.0,416.0,1236.0,418.0,1243.0,1508.0,2383.0,2028.0,106.0,2603.0,2282.0,1845.0,1829.0,309.0,4643.0,1358.0,216.0,7996.0,67.0,106.0,227.0,343.0,101.0,1579.0,532.0,1762.0,147.0,514.0,599.0,219.0,35.0,110.0,777.0,78.0,1686.0,1333.0,12511.0,14215.0,5192.0,2422.0,21834.0,4034.0,4212.0,5462.0,27296.0,27296.0,27533.0,27533.0,467.0,92716.0,536.0,767.0,444.0,563.0,1866.0,2163.0,92172.0,6153.0,96910.0,1483.0,1351.0,1567.0,100653.0
2010-03-31,2634.0,5965.0,1183.0,897.0,1717.0,4200.0,237.0,266.0,780.0,1701.0,768.0,2486.0,213.0,3522.0,4489.0,8263.0,9289.0,1549.0,12751.0,5845.0,4115.0,998.0,50495.0,2677.0,57521.0,54750.0,1243.0,843.0,56784.0,1140.0,58336.0,136.0,2094.0,63271.0,63282.0,372.0,266.0,413.0,1323.0,812.0,471.0,1739.0,245.0,850.0,493.0,948.0,1556.0,2720.0,459.0,474.0,1249.0,423.0,1233.0,419.0,1297.0,1570.0,2496.0,2168.0,110.0,2728.0,2400.0,1934.0,1906.0,336.0,4859.0,1337.0,251.0,7974.0,67.0,104.0,247.0,393.0,99.0,2196.0,602.0,1842.0,144.0,501.0,722.0,312.0,36.0,106.0,709.0,75.0,1867.0,1393.0,12609.0,14458.0,5162.0,3757.0,22630.0,5738.0,6174.0,7255.0,29885.0,31960.0,34695.0,35631.0,554.0,95467.0,587.0,1218.0,475.0,756.0,3139.0,2847.0,95374.0,6728.0,98233.0,1513.0,1363.0,1659.0,102526.0
