, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-01-04,3435.0,9722.0,790.0,685.0,770.0,3480.0,222.0,465.0,130.0,770.0,1368.0,782.0,2150.0,155.0,1812.0,4800.0,12052.0,13210.0,1372.0,14080.0,3820.0,7172.0,7418.0,150.0,84170.0,450.0,92995.0,129680.0,930.0,432.0,129340.0,380.0,131180.0,140.0,1322.0,130525.0,129845.0,108.0,128.0,260.0,300.0,70.0,1092.0,125.0,530.0,205.0,650.0,1675.0,2775.0,410.0,405.0,1202.0,380.0,1565.0,345.0,1180.0,1382.0,2280.0,1285.0,40.0,2122.0,2100.0,1762.0,1795.0,60.0,4448.0,550.0,110.0,7470.0,90.0,170.0,100.0,50.0,60.0,752.0,320.0,275.0,642.0,1172.0,70.0,70.0,50.0,80.0,362.0,100.0,980.0,320.0,11160.0,12315.0,3495.0,1188.0,25808.0,2602.0,1480.0,4585.0,30392.0,26685.0,26925.0,26925.0,1515.0,156380.0,155.0,502.0,215.0,735.0,625.0,1160.0,160598.0,6242.0,163320.0,1430.0,1140.0,1085.0,166170.0
2011-01-05,3415.0,6495.0,780.0,665.0,765.0,3508.0,220.0,512.0,142.0,760.0,1428.0,775.0,2202.0,150.0,1930.0,4615.0,12138.0,13305.0,1485.0,14365.0,3748.0,6800.0,7102.0,140.0,78482.0,442.0,87332.0,130000.0,922.0,448.0,131372.0,470.0,133962.0,140.0,1292.0,135258.0,135250.0,100.0,120.0,260.0,278.0,70.0,1055.0,120.0,492.0,198.0,602.0,1630.0,2805.0,410.0,400.0,1162.0,380.0,1545.0,340.0,1172.0,1380.0,2272.0,1280.0,40.0,2095.0,2068.0,1725.0,1758.0,60.0,4430.0,550.0,110.0,7395.0,90.0,168.0,100.0,50.0,60.0,735.0,318.0,270.0,800.0,1542.0,70.0,70.0,50.0,80.0,352.0,100.0,970.0,312.0,11160.0,12065.0,3462.0,1132.0,25775.0,2530.0,1462.0,4520.0,30292.0,30292.0,30528.0,30528.0,1472.0,167932.0,145.0,455.0,155.0,680.0,605.0,1130.0,172625.0,6115.0,175282.0,1370.0,1015.0,1058.0,178055.0
2011-01-06,3395.0,5408.0,772.0,645.0,760.0,3690.0,220.0,558.0,152.0,755.0,1485.0,765.0,2250.0,150.0,2010.0,4632.0,12150.0,13330.0,1452.0,14345.0,3620.0,6462.0,6842.0,140.0,78055.0,440.0,85668.0,130000.0,920.0,460.0,131380.0,542.0,133970.0,140.0,1265.0,135238.0,135240.0,98.0,115.0,260.0,260.0,65.0,1025.0,110.0,490.0,190.0,592.0,1595.0,2770.0,410.0,400.0,1138.0,380.0,1512.0,340.0,1170.0,1370.0,2262.0,1280.0,40.0,2065.0,2045.0,1698.0,1728.0,60.0,4395.0,550.0,110.0,7252.0,90.0,160.0,100.0,50.0,60.0,715.0,310.0,270.0,800.0,1532.0,70.0,70.0,50.0,80.0,345.0,90.0,968.0,310.0,11322.0,12318.0,3430.0,1080.0,25690.0,2452.0,1455.0,4440.0,30122.0,30122.0,30358.0,30358.0,1430.0,169865.0,140.0,415.0,142.0,628.0,588.0,1108.0,176070.0,6062.0,179060.0,1318.0,920.0,1035.0,182428.0
2011-01-07,3375.0,5250.0,765.0,625.0,758.0,3748.0,220.0,560.0,162.0,750.0,1525.0,755.0,2278.0,150.0,2088.0,4778.0,12142.0,13320.0,1418.0,14295.0,3495.0,6122.0,6580.0,140.0,78405.0,438.0,85502.0,120625.0,910.0,458.0,123770.0,538.0,128145.0,135.0,1238.0,131392.0,131892.0,128.0,165.0,288.0,368.0,82.0,1012.0,110.0,480.0,190.0,590.0,1592.0,2740.0,410.0,400.0,1140.0,378.0,1490.0,340.0,1165.0,1368.0,2248.0,1280.0,40.0,2032.0,2005.0,1665.0,1695.0,60.0,4362.0,550.0,108.0,7178.0,90.0,160.0,100.0,50.0,60.0,702.0,310.0,270.0,800.0,1515.0,70.0,70.0,50.0,80.0,338.0,90.0,960.0,300.0,11140.0,12168.0,3400.0,1105.0,25660.0,2382.0,1452.0,4360.0,30015.0,30015.0,30242.0,30242.0,1405.0,169462.0,130.0,380.0,140.0,585.0,605.0,1088.0,175748.0,6032.0,178725.0,1328.0,915.0,1045.0,182045.0
2011-01-08,3358.0,5182.0,758.0,610.0,750.0,3718.0,220.0,560.0,175.0,740.0,1530.0,748.0,2280.0,145.0,2135.0,4802.0,12125.0,13302.0,1385.0,14238.0,3375.0,5782.0,6342.0,135.0,81265.0,430.0,87072.0,99375.0,910.0,450.0,101805.0,528.0,105752.0,130.0,1210.0,109295.0,110142.0,125.0,158.0,275.0,352.0,82.0,1038.0,110.0,480.0,185.0,590.0,1635.0,2745.0,410.0,400.0,1140.0,370.0,1490.0,340.0,1160.0,1360.0,2238.0,1280.0,40.0,2015.0,1982.0,1635.0,1665.0,60.0,4325.0,550.0,100.0,7162.0,90.0,160.0,100.0,50.0,60.0,692.0,310.0,270.0,800.0,1502.0,70.0,70.0,50.0,80.0,330.0,90.0,955.0,300.0,10935.0,11950.0,3370.0,1248.0,25632.0,2320.0,1518.0,4290.0,29920.0,29920.0,30152.0,30152.0,1480.0,158298.0,132.0,395.0,150.0,548.0,765.0,1215.0,167422.0,6022.0,170978.0,1352.0,858.0,1035.0,175472.0
2011-01-09,3340.0,5115.0,750.0,592.0,750.0,3690.0,220.0,560.0,185.0,738.0,1532.0,738.0,2270.0,140.0,2160.0,4768.0,12075.0,13258.0,1355.0,14158.0,3270.0,5440.0,6285.0,130.0,86765.0,430.0,93002.0,90000.0,905.0,450.0,91360.0,518.0,94118.0,130.0,1185.0,95982.0,96310.0,120.0,135.0,270.0,295.0,72.0,1030.0,102.0,470.0,180.0,588.0,1682.0,2760.0,400.0,395.0,1140.0,370.0,1492.0,340.0,1160.0,1355.0,2228.0,1280.0,40.0,2012.0,1978.0,1620.0,1642.0,60.0,4298.0,550.0,100.0,7145.0,90.0,160.0,100.0,42.0,60.0,742.0,310.0,270.0,800.0,1488.0,70.0,80.0,52.0,80.0,320.0,90.0,950.0,292.0,10818.0,11812.0,3342.0,1370.0,23128.0,2308.0,1750.0,4260.0,27388.0,27388.0,27712.0,27712.0,1678.0,137505.0,140.0,485.0,190.0,562.0,970.0,1472.0,146758.0,6115.0,150550.0,1312.0,812.0,1012.0,155355.0
2011-01-10,3330.0,5048.0,740.0,578.0,745.0,3668.0,220.0,555.0,190.0,730.0,1530.0,730.0,2260.0,140.0,2185.0,4732.0,12010.0,13190.0,1322.0,14062.0,3155.0,5092.0,5995.0,130.0,86680.0,428.0,93500.0,99375.0,900.0,448.0,98955.0,510.0,99730.0,130.0,1160.0,98900.0,98405.0,112.0,122.0,265.0,265.0,70.0,998.0,100.0,470.0,180.0,580.0,1690.0,2768.0,400.0,400.0,1160.0,370.0,1498.0,340.0,1150.0,1350.0,2218.0,1280.0,40.0,2010.0,1970.0,1618.0,1640.0,60.0,4278.0,550.0,100.0,7132.0,90.0,160.0,100.0,40.0,60.0,830.0,310.0,270.0,800.0,1475.0,70.0,80.0,62.0,80.0,315.0,90.0,945.0,290.0,10738.0,11730.0,3320.0,1235.0,23000.0,2332.0,1712.0,4302.0,27308.0,27308.0,27660.0,27660.0,1665.0,127808.0,130.0,445.0,180.0,655.0,935.0,1545.0,134970.0,6140.0,138215.0,1258.0,730.0,1002.0,141822.0
2011-01-11,3318.0,4992.0,735.0,562.0,740.0,3645.0,220.0,550.0,188.0,728.0,1522.0,720.0,2245.0,140.0,2198.0,4695.0,11868.0,13038.0,1292.0,13910.0,3045.0,4750.0,5598.0,130.0,86092.0,420.0,92542.0,115000.0,900.0,440.0,116342.0,500.0,117928.0,130.0,1138.0,118045.0,117535.0,105.0,115.0,260.0,245.0,68.0,975.0,100.0,462.0,175.0,580.0,1700.0,2750.0,400.0,400.0,1172.0,370.0,1512.0,340.0,1150.0,1342.0,2205.0,1280.0,40.0,2012.0,1970.0,1610.0,1630.0,60.0,4270.0,550.0,100.0,7122.0,90.0,160.0,100.0,40.0,60.0,792.0,310.0,270.0,800.0,1465.0,70.0,80.0,60.0,80.0,310.0,90.0,940.0,288.0,10672.0,11652.0,3295.0,1055.0,23558.0,2290.0,1525.0,4270.0,27828.0,27828.0,28102.0,28102.0,1440.0,138088.0,115.0,350.0,155.0,610.0,718.0,1318.0,141945.0,6070.0,144288.0,1208.0,642.0,970.0,146048.0
2011-01-12,3305.0,4978.0,730.0,548.0,740.0,3620.0,210.0,550.0,180.0,720.0,1518.0,712.0,2232.0,140.0,2215.0,4662.0,11528.0,12670.0,1262.0,13558.0,2930.0,4402.0,5290.0,125.0,85778.0,420.0,91885.0,115000.0,890.0,440.0,116338.0,492.0,118085.0,125.0,1115.0,119205.0,119205.0,100.0,110.0,260.0,228.0,60.0,962.0,90.0,460.0,170.0,580.0,1710.0,2730.0,400.0,400.0,1160.0,370.0,1530.0,340.0,1145.0,1340.0,2195.0,1280.0,40.0,2032.0,1985.0,1618.0,1635.0,60.0,4262.0,550.0,100.0,7120.0,90.0,160.0,100.0,40.0,60.0,698.0,310.0,270.0,800.0,1452.0,70.0,70.0,52.0,80.0,300.0,90.0,938.0,280.0,10608.0,11585.0,3270.0,998.0,23452.0,2210.0,1412.0,4180.0,27630.0,27630.0,27875.0,27875.0,1325.0,150685.0,105.0,312.0,138.0,515.0,582.0,1128.0,156392.0,5998.0,158968.0,1170.0,595.0,950.0,161100.0
2011-01-13,3290.0,4968.0,720.0,535.0,740.0,3602.0,210.0,550.0,180.0,718.0,1510.0,708.0,2218.0,135.0,2230.0,4630.0,11415.0,12545.0,1232.0,13368.0,2820.0,4168.0,5040.0,120.0,85472.0,420.0,91282.0,115000.0,890.0,440.0,116330.0,485.0,118068.0,120.0,1090.0,119165.0,119165.0,90.0,100.0,260.0,215.0,60.0,952.0,90.0,460.0,170.0,578.0,1725.0,2715.0,400.0,400.0,1138.0,370.0,1518.0,340.0,1140.0,1332.0,2188.0,1280.0,40.0,2035.0,1990.0,1630.0,1648.0,60.0,4270.0,550.0,100.0,7135.0,90.0,160.0,100.0,40.0,60.0,662.0,308.0,270.0,800.0,1442.0,70.0,70.0,50.0,80.0,295.0,90.0,930.0,280.0,10558.0,11528.0,3250.0,972.0,23395.0,2148.0,1362.0,4105.0,27502.0,27502.0,27735.0,27735.0,1275.0,150982.0,100.0,295.0,128.0,470.0,528.0,1030.0,157238.0,5945.0,160055.0,1135.0,558.0,935.0,162778.0
