, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - NEAR POTLATCH, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-01-25,3620.0,7408.0,1365.0,1732.0,3122.0,5758.0,240.0,712.0,230.0,940.0,2142.0,1502.0,3558.0,545.0,4942.0,9385.0,16672.0,18382.0,1518.0,21135.0,11768.0,21452.0,24415.0,740.0,101905.0,550.0,126600.0,135000.0,1580.0,810.0,136472.0,1985.0,137958.0,280.0,4152.0,143525.0,145220.0,735.0,620.0,808.0,1945.0,1180.0,3608.0,500.0,2108.0,1138.0,4250.0,7895.0,9265.0,440.0,420.0,1340.0,390.0,1758.0,480.0,1375.0,1628.0,2645.0,2460.0,80.0,3448.0,4630.0,4240.0,4222.0,132.0,6788.0,4660.0,350.0,12072.0,80.0,150.0,160.0,195.0,70.0,3605.0,468.0,788.0,280.0,1040.0,400.0,242.0,12.0,790.0,595.0,80.0,1830.0,1188.0,16800.0,18805.0,5445.0,6092.0,36202.0,9885.0,9580.0,23125.0,59328.0,59328.0,61042.0,61042.0,2895.0,226015.0,598.0,2032.0,1150.0,2588.0,3772.0,5828.0,235108.0,11325.0,243808.0,3258.0,1882.0,2005.0,255400.0
2011-01-26,3608.0,7045.0,1338.0,1675.0,3108.0,5665.0,240.0,695.0,230.0,925.0,2078.0,1408.0,3408.0,512.0,4698.0,9185.0,18225.0,20092.0,1595.0,22275.0,11905.0,20442.0,23888.0,848.0,99792.0,555.0,124522.0,136875.0,1488.0,810.0,139258.0,2088.0,141455.0,282.0,4425.0,145502.0,145458.0,715.0,632.0,802.0,2188.0,1278.0,4128.0,468.0,2272.0,998.0,4555.0,8950.0,9410.0,440.0,420.0,1325.0,390.0,1730.0,480.0,1368.0,1608.0,2575.0,2460.0,80.0,3432.0,4595.0,4272.0,4308.0,130.0,7078.0,4660.0,350.0,12275.0,80.0,150.0,160.0,182.0,70.0,3552.0,455.0,760.0,280.0,1030.0,408.0,225.0,5.0,698.0,560.0,80.0,1765.0,1082.0,16295.0,17922.0,5232.0,7028.0,38148.0,11642.0,10828.0,26690.0,64838.0,64838.0,67382.0,67382.0,2890.0,224452.0,548.0,2008.0,972.0,2772.0,4772.0,6210.0,233145.0,10690.0,240170.0,3225.0,1578.0,1948.0,246708.0
2011-01-27,3595.0,6700.0,1310.0,1615.0,2895.0,5572.0,240.0,685.0,230.0,908.0,2032.0,1335.0,3298.0,475.0,4512.0,8978.0,18530.0,20445.0,1528.0,21788.0,10990.0,19602.0,22548.0,790.0,97492.0,550.0,121370.0,141875.0,1450.0,805.0,144140.0,1818.0,146265.0,258.0,3982.0,149708.0,149522.0,562.0,475.0,618.0,1580.0,855.0,3622.0,405.0,2142.0,848.0,4048.0,8435.0,9910.0,440.0,420.0,1312.0,390.0,1708.0,480.0,1360.0,1595.0,2558.0,2460.0,72.0,3410.0,4542.0,4230.0,4272.0,130.0,7080.0,4660.0,340.0,12188.0,80.0,150.0,160.0,172.0,70.0,3592.0,448.0,750.0,280.0,1022.0,355.0,195.0,0.0,590.0,532.0,80.0,1705.0,978.0,16235.0,17908.0,5105.0,6358.0,37262.0,11590.0,10045.0,28218.0,65480.0,65480.0,67600.0,67600.0,2508.0,228405.0,408.0,1412.0,692.0,2322.0,4398.0,6050.0,241140.0,10135.0,247655.0,2992.0,1352.0,1790.0,253778.0
2011-01-28,3575.0,6422.0,1285.0,1560.0,2758.0,5482.0,240.0,680.0,230.0,895.0,1995.0,1272.0,3205.0,445.0,4350.0,8765.0,18438.0,20352.0,1440.0,21515.0,9870.0,18800.0,21392.0,768.0,96858.0,538.0,119208.0,145000.0,1412.0,790.0,147532.0,1662.0,150005.0,235.0,3548.0,153390.0,153302.0,488.0,402.0,520.0,1302.0,692.0,2980.0,370.0,2060.0,760.0,3780.0,7410.0,9448.0,440.0,420.0,1298.0,382.0,1690.0,480.0,1350.0,1585.0,2540.0,2460.0,70.0,3390.0,4495.0,4180.0,4225.0,130.0,7025.0,4660.0,340.0,12102.0,80.0,150.0,160.0,162.0,70.0,3650.0,440.0,760.0,280.0,1012.0,302.0,172.0,0.0,462.0,515.0,80.0,1630.0,892.0,15865.0,17608.0,4992.0,5782.0,35848.0,10460.0,8902.0,27038.0,62885.0,62885.0,64455.0,64455.0,2115.0,229198.0,318.0,1018.0,575.0,1750.0,3790.0,5355.0,241888.0,9688.0,248168.0,2795.0,1228.0,1655.0,254280.0
2011-01-29,3558.0,6225.0,1260.0,1508.0,2648.0,5400.0,240.0,670.0,230.0,885.0,1962.0,1235.0,3145.0,422.0,4222.0,8555.0,18302.0,20210.0,1360.0,21165.0,9015.0,17980.0,20462.0,725.0,95918.0,530.0,117720.0,135625.0,1358.0,772.0,139850.0,1590.0,144170.0,222.0,3308.0,149520.0,150030.0,440.0,365.0,478.0,1152.0,625.0,2612.0,340.0,1985.0,678.0,3550.0,6735.0,8440.0,440.0,410.0,1285.0,380.0,1670.0,480.0,1342.0,1572.0,2525.0,2465.0,70.0,3370.0,4448.0,4135.0,4182.0,130.0,6970.0,4660.0,332.0,12072.0,80.0,150.0,160.0,155.0,70.0,3480.0,430.0,772.0,288.0,1010.0,295.0,170.0,5.0,452.0,498.0,80.0,1558.0,820.0,15460.0,17128.0,4888.0,5358.0,31465.0,9518.0,8405.0,25640.0,57105.0,57105.0,58502.0,58502.0,1852.0,224970.0,258.0,862.0,492.0,1468.0,3355.0,4785.0,237818.0,9352.0,243950.0,2630.0,1115.0,1545.0,250072.0
2011-01-30,3535.0,6048.0,1238.0,1458.0,2530.0,5320.0,240.0,648.0,230.0,872.0,1925.0,1195.0,3080.0,392.0,4115.0,8355.0,18155.0,20058.0,1290.0,20882.0,8115.0,17065.0,19348.0,625.0,92758.0,520.0,113842.0,116250.0,1315.0,748.0,119308.0,1532.0,122858.0,210.0,3245.0,128030.0,128775.0,442.0,368.0,500.0,1068.0,605.0,2420.0,325.0,1890.0,620.0,3332.0,6258.0,7790.0,440.0,410.0,1275.0,380.0,1652.0,480.0,1338.0,1562.0,2505.0,2470.0,70.0,3355.0,4405.0,4092.0,4135.0,130.0,6920.0,4660.0,330.0,12072.0,80.0,150.0,160.0,150.0,70.0,3195.0,425.0,785.0,312.0,1022.0,322.0,180.0,15.0,580.0,482.0,80.0,1482.0,765.0,15258.0,16795.0,4785.0,4948.0,30732.0,8752.0,7552.0,24570.0,55305.0,55305.0,56625.0,56625.0,1670.0,208580.0,228.0,888.0,450.0,1350.0,3092.0,4435.0,223228.0,9062.0,229528.0,2485.0,1020.0,1455.0,236292.0
2011-01-31,3515.0,5890.0,1215.0,1410.0,2425.0,5245.0,240.0,628.0,230.0,865.0,1878.0,1155.0,3002.0,370.0,3995.0,8162.0,18010.0,19900.0,1222.0,20588.0,7352.0,16092.0,18240.0,565.0,89678.0,512.0,109140.0,117500.0,1285.0,720.0,118335.0,1482.0,119565.0,200.0,3308.0,121732.0,121558.0,415.0,350.0,498.0,950.0,588.0,2345.0,312.0,1800.0,552.0,3158.0,5985.0,7340.0,440.0,410.0,1262.0,380.0,1635.0,480.0,1330.0,1552.0,2490.0,2470.0,70.0,3338.0,4365.0,4045.0,4095.0,130.0,6875.0,4660.0,325.0,12075.0,80.0,150.0,160.0,150.0,70.0,2998.0,420.0,800.0,338.0,1040.0,330.0,178.0,25.0,662.0,468.0,80.0,1415.0,740.0,15282.0,16720.0,4688.0,4615.0,30245.0,8242.0,6762.0,23905.0,54150.0,54150.0,55410.0,55410.0,1590.0,189228.0,210.0,940.0,420.0,1392.0,2858.0,4185.0,202135.0,8770.0,207995.0,2358.0,930.0,1398.0,214252.0
2011-02-01,3495.0,5762.0,1195.0,1365.0,2330.0,5175.0,240.0,620.0,230.0,855.0,1835.0,1120.0,2935.0,352.0,3880.0,7980.0,17862.0,19740.0,1162.0,20270.0,6782.0,15110.0,17202.0,535.0,89242.0,508.0,107360.0,130000.0,1265.0,698.0,132170.0,1432.0,134485.0,195.0,3120.0,136750.0,136328.0,358.0,308.0,440.0,798.0,475.0,2095.0,285.0,1695.0,490.0,2942.0,5588.0,7015.0,430.0,410.0,1252.0,378.0,1620.0,480.0,1320.0,1542.0,2475.0,2470.0,70.0,3322.0,4318.0,4005.0,4055.0,130.0,6825.0,4660.0,320.0,12078.0,80.0,150.0,160.0,150.0,70.0,2850.0,412.0,815.0,362.0,1058.0,305.0,165.0,30.0,638.0,455.0,75.0,1362.0,718.0,15300.0,16695.0,4598.0,4380.0,30112.0,7720.0,6115.0,23308.0,53420.0,53420.0,54638.0,54638.0,1635.0,191138.0,188.0,915.0,392.0,1400.0,2512.0,3820.0,199770.0,8485.0,204430.0,2225.0,852.0,1330.0,208528.0
2011-02-02,3475.0,5655.0,1175.0,1318.0,2238.0,5108.0,230.0,610.0,230.0,838.0,1795.0,1088.0,2875.0,338.0,3775.0,7810.0,17722.0,19590.0,1112.0,20082.0,6340.0,13870.0,15938.0,520.0,88628.0,500.0,105325.0,130000.0,1245.0,675.0,132098.0,1385.0,134658.0,190.0,2932.0,137622.0,137632.0,322.0,285.0,415.0,715.0,442.0,1838.0,265.0,1578.0,448.0,2722.0,5085.0,6630.0,430.0,410.0,1242.0,370.0,1605.0,480.0,1315.0,1532.0,2460.0,2470.0,70.0,3308.0,4275.0,3965.0,4022.0,138.0,6785.0,4660.0,320.0,12082.0,80.0,150.0,160.0,145.0,70.0,2725.0,410.0,832.0,388.0,1072.0,270.0,152.0,32.0,472.0,442.0,70.0,1335.0,712.0,15210.0,16568.0,4510.0,4205.0,32825.0,7210.0,5688.0,22650.0,55470.0,55470.0,56678.0,56678.0,1555.0,201348.0,170.0,868.0,378.0,1340.0,2242.0,3468.0,210652.0,8225.0,215058.0,2108.0,805.0,1285.0,218855.0
2011-02-03,3455.0,5570.0,1160.0,1275.0,2150.0,5042.0,230.0,610.0,230.0,825.0,1765.0,1062.0,2825.0,325.0,3680.0,7640.0,17595.0,19452.0,1065.0,19950.0,5958.0,12785.0,14738.0,528.0,88155.0,492.0,103612.0,130000.0,1215.0,655.0,132032.0,1335.0,134600.0,180.0,2810.0,137432.0,137442.0,298.0,278.0,428.0,742.0,472.0,1778.0,265.0,1530.0,440.0,2620.0,4792.0,6190.0,430.0,410.0,1235.0,370.0,1592.0,480.0,1310.0,1522.0,2445.0,2470.0,70.0,3295.0,4235.0,3925.0,3982.0,140.0,6745.0,4660.0,310.0,12088.0,80.0,145.0,160.0,140.0,70.0,2640.0,408.0,850.0,412.0,1090.0,265.0,152.0,48.0,538.0,430.0,70.0,1315.0,762.0,15135.0,16438.0,4430.0,4308.0,32815.0,6848.0,5432.0,22160.0,54975.0,54975.0,56515.0,56515.0,1435.0,201935.0,170.0,850.0,352.0,1290.0,2178.0,3292.0,211880.0,7980.0,216300.0,2008.0,758.0,1245.0,220530.0
