, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-02-24, 3438, 16982, 892, 715, 1355, 9720, 220, 645, 190, 625, 1708, 1010, 2675, 262, 3562, 12250, 18185, 20238, 968, 20102, 5368, 7118, 7605, 238, 96442, 460, 104975, 137358, 820, 568, 138115, 1265, 139795, 150, 1805, 147575, 147052, 145, 145, 398, 290, 325, 1685, 152, 810, 265, 1212, 3125, 4400, 390, 390, 1192, 370, 1500, 470, 1320, 1585, 2430, 2450, 60, 3210, 3232, 3222, 2528, 210, 5565, 4565, 160, 12208, 80, 150, 150, 150, 65, 898, 435, 842, 250, 895, 282, 130, 110, 230, 358, 80, 1330, 1062, 16108, 17570, 4618, 2362, 33000, 5680, 3992, 13948, 46948, 46948, 47715, 47715, 1278, 195032, 155, 625, 342, 1012, 1598, 2328, 190698, 6582, 192890, 1402, 1022, 1135, 197468
2011-02-25, 3412, 16938, 882, 695, 1305, 9728, 220, 630, 190, 612, 1675, 978, 2630, 255, 3472, 12098, 18478, 20565, 958, 20408, 5028, 7078, 7568, 230, 97260, 458, 104855, 140080, 790, 535, 141480, 1225, 143575, 142, 1752, 151335, 151238, 138, 138, 390, 262, 300, 1628, 142, 775, 255, 1175, 3012, 4150, 390, 390, 1180, 370, 1480, 470, 1310, 1572, 2410, 2450, 60, 3185, 3185, 3072, 2392, 210, 5290, 4570, 160, 12200, 80, 150, 150, 142, 60, 875, 422, 845, 250, 890, 270, 130, 85, 222, 348, 80, 1305, 920, 16720, 17942, 4508, 2240, 32040, 5430, 3638, 13610, 45650, 45650, 46308, 46308, 1348, 201250, 135, 552, 322, 1138, 1438, 2108, 204942, 6565, 207228, 1340, 930, 1135, 209770
2011-02-26, 3390, 16900, 875, 680, 1265, 9740, 220, 615, 190, 600, 1625, 948, 2578, 250, 3400, 11995, 18448, 20542, 950, 20405, 4690, 7025, 7530, 222, 99730, 450, 107728, 132500, 778, 515, 135332, 1185, 138888, 140, 1700, 148308, 148715, 130, 128, 380, 240, 280, 1570, 135, 745, 248, 1140, 2920, 3952, 390, 392, 1180, 370, 1475, 470, 1300, 1555, 2390, 2450, 60, 3170, 3150, 3018, 2385, 210, 5202, 4570, 160, 12210, 80, 150, 150, 140, 60, 858, 405, 905, 252, 880, 265, 130, 68, 220, 338, 78, 1285, 830, 16610, 17925, 4405, 2160, 31808, 5182, 3340, 13788, 45595, 45595, 46172, 46172, 1002, 202330, 125, 428, 305, 1012, 1328, 1948, 211118, 6502, 213735, 1295, 855, 1095, 216932
2011-02-27, 3370, 14555, 865, 662, 1225, 9752, 220, 605, 190, 588, 1585, 920, 2505, 240, 3312, 11895, 18185, 20260, 942, 20098, 4372, 6822, 7372, 218, 98342, 448, 106642, 120000, 765, 498, 121382, 1152, 123715, 140, 1655, 132242, 132688, 122, 120, 375, 220, 260, 1518, 128, 718, 240, 1110, 2840, 3815, 390, 390, 1188, 360, 1482, 470, 1290, 1542, 2370, 2450, 60, 3178, 3132, 2982, 2400, 210, 5190, 4570, 155, 12198, 80, 150, 150, 132, 60, 842, 390, 980, 260, 872, 260, 130, 58, 220, 328, 70, 1265, 765, 16528, 17805, 4305, 2090, 31655, 4960, 3108, 11995, 43648, 43648, 44190, 44190, 858, 191788, 115, 388, 292, 855, 1248, 1842, 203080, 6465, 206302, 1262, 798, 1070, 210680
2011-02-28, 3350, 14425, 858, 645, 1185, 9765, 220, 600, 190, 575, 1545, 892, 2438, 235, 3215, 11805, 17912, 19960, 940, 19778, 4078, 6590, 7142, 210, 97208, 440, 105472, 125625, 755, 480, 125910, 1128, 126905, 132, 1608, 133160, 132870, 120, 112, 370, 202, 242, 1475, 120, 652, 235, 1060, 2768, 3702, 382, 390, 1168, 360, 1470, 460, 1280, 1528, 2350, 2450, 60, 3185, 3128, 2968, 2435, 210, 5198, 4570, 150, 12185, 80, 150, 150, 130, 60, 828, 375, 1060, 260, 870, 258, 130, 50, 210, 318, 70, 1245, 715, 16445, 17708, 4220, 2028, 31492, 4762, 2910, 12230, 43725, 43725, 44248, 44248, 795, 180142, 110, 368, 278, 795, 1185, 1765, 189030, 6442, 191938, 1235, 745, 1050, 195682
2011-03-01, 3328, 13058, 850, 630, 1150, 8922, 220, 590, 190, 565, 1508, 865, 2375, 230, 3122, 11640, 17645, 19665, 930, 19468, 3798, 6342, 6915, 205, 94158, 440, 102458, 135000, 748, 465, 136315, 1100, 138178, 130, 1565, 144790, 144472, 110, 108, 362, 188, 225, 1435, 110, 535, 230, 950, 2650, 3595, 380, 380, 1140, 360, 1435, 460, 1270, 1515, 2332, 2450, 60, 3168, 3098, 2942, 2468, 210, 5220, 4570, 150, 12172, 80, 150, 150, 130, 60, 815, 360, 1140, 260, 862, 250, 120, 42, 210, 310, 70, 1230, 670, 16372, 17620, 4130, 1970, 31558, 4588, 2732, 14920, 46480, 46480, 46988, 46988, 755, 187665, 100, 355, 268, 762, 1128, 1695, 193588, 6430, 195788, 1210, 700, 1032, 197932
2011-03-02, 3305, 9635, 840, 615, 1115, 7240, 215, 585, 188, 552, 1475, 840, 2310, 222, 3032, 10205, 17382, 19382, 930, 19168, 3532, 6100, 6675, 200, 91335, 430, 99192, 135000, 740, 448, 136288, 1078, 138298, 130, 1525, 145412, 145422, 110, 100, 360, 175, 212, 1395, 108, 480, 230, 878, 2518, 3462, 380, 375, 1120, 355, 1395, 460, 1262, 1500, 2315, 2452, 60, 3135, 3048, 2900, 2480, 210, 5230, 4570, 150, 12158, 80, 150, 150, 120, 60, 798, 345, 1228, 260, 860, 250, 120, 40, 210, 300, 70, 1215, 638, 16308, 17542, 4055, 1910, 31870, 4425, 2570, 15338, 47208, 47208, 47702, 47702, 730, 197045, 98, 342, 258, 755, 1075, 1638, 204520, 6430, 206935, 1188, 662, 1018, 209348
2011-03-03, 3285, 7585, 832, 600, 1082, 6512, 210, 580, 180, 542, 1440, 812, 2255, 220, 2950, 8708, 17082, 19055, 930, 18840, 3280, 5845, 6438, 192, 89848, 430, 97198, 133125, 735, 435, 134740, 1052, 137078, 130, 1485, 144422, 144530, 102, 98, 360, 165, 198, 1362, 100, 455, 222, 860, 2438, 3318, 380, 370, 1095, 350, 1350, 460, 1252, 1485, 2295, 2460, 60, 3102, 2998, 2842, 2480, 210, 5225, 4572, 150, 12145, 80, 148, 150, 120, 60, 782, 328, 1310, 260, 852, 245, 120, 40, 210, 292, 70, 1198, 620, 16265, 17488, 3985, 1858, 30738, 4275, 2402, 15162, 45898, 45898, 46380, 46380, 720, 196360, 90, 332, 248, 750, 1030, 1582, 204628, 6432, 207328, 1165, 625, 1002, 210292
2011-03-04, 3265, 7535, 822, 588, 1052, 6530, 210, 580, 180, 532, 1405, 790, 2198, 210, 2860, 8200, 16692, 18625, 922, 18435, 3040, 5592, 6195, 190, 89488, 422, 96325, 130000, 730, 428, 131240, 1030, 133252, 120, 1445, 140250, 140370, 100, 90, 350, 155, 185, 1335, 95, 435, 220, 845, 2385, 3242, 380, 360, 1058, 350, 1292, 460, 1242, 1472, 2275, 2460, 60, 3060, 2945, 2782, 2475, 210, 5212, 4580, 150, 12132, 80, 140, 150, 120, 60, 792, 315, 1388, 268, 888, 240, 120, 82, 210, 288, 70, 1185, 602, 16288, 17478, 3918, 1805, 30580, 4135, 2250, 15000, 45580, 45580, 46050, 46050, 922, 193160, 85, 380, 238, 740, 990, 1535, 201728, 6442, 204520, 1155, 808, 1008, 207610
2011-03-05, 3248, 7515, 815, 575, 1020, 6545, 210, 580, 180, 522, 1378, 768, 2142, 208, 2782, 8158, 16248, 18138, 920, 17970, 2808, 5342, 5955, 182, 89290, 420, 95915, 126250, 730, 420, 128180, 1005, 130818, 120, 1410, 138232, 138438, 100, 90, 350, 148, 175, 1348, 90, 420, 220, 832, 2362, 3345, 380, 360, 1038, 350, 1242, 458, 1235, 1460, 2262, 2460, 60, 3000, 2872, 2710, 2460, 210, 5230, 4580, 160, 12122, 80, 140, 150, 120, 60, 1198, 335, 1540, 340, 1170, 262, 120, 322, 438, 280, 70, 1235, 1118, 16842, 17850, 3858, 1890, 30542, 4002, 2098, 14848, 45388, 45388, 45932, 45932, 1978, 191092, 175, 880, 258, 980, 1130, 1548, 199080, 7128, 202470, 1362, 1302, 1238, 205695
2011-03-06, 3230, 7495, 808, 560, 992, 6550, 215, 632, 180, 512, 1368, 748, 2115, 200, 2722, 8205, 15825, 17665, 920, 17708, 2948, 5092, 5802, 180, 87952, 420, 94998, 120000, 725, 410, 121208, 980, 123222, 120, 1375, 130115, 130340, 90, 90, 372, 140, 170, 1435, 88, 400, 228, 822, 2440, 3405, 380, 350, 1032, 350, 1215, 450, 1230, 1452, 2258, 2460, 60, 2960, 2808, 2638, 2440, 210, 5245, 4580, 230, 12170, 80, 140, 150, 132, 60, 2660, 405, 1742, 480, 1168, 482, 138, 485, 1018, 270, 70, 1575, 1700, 18272, 19418, 3802, 2308, 31045, 3890, 2045, 14710, 45758, 45758, 46930, 46930, 2395, 187215, 275, 1090, 442, 2012, 2430, 2765, 197338, 8765, 202465, 2022, 1935, 1595, 206978
2011-03-07, 3215, 7475, 798, 548, 968, 6525, 220, 660, 180, 505, 1388, 750, 2140, 200, 2705, 8188, 15458, 17262, 920, 17590, 3905, 4910, 5902, 182, 85170, 412, 92052, 113625, 720, 405, 116025, 960, 119108, 120, 1342, 126750, 127098, 90, 95, 390, 150, 205, 1498, 80, 385, 230, 815, 2568, 3408, 380, 350, 1020, 348, 1195, 450, 1238, 1450, 2250, 2460, 60, 2940, 2772, 2580, 2430, 210, 5232, 4580, 260, 12218, 80, 140, 150, 152, 60, 3625, 388, 1685, 615, 1278, 568, 150, 478, 828, 268, 70, 1762, 1998, 19408, 21102, 3755, 2425, 31380, 3898, 2165, 14660, 46038, 46038, 47562, 47562, 2028, 182345, 340, 965, 558, 2155, 3452, 4528, 194512, 9150, 199935, 2190, 2262, 1712, 205718
2011-03-08, 3198, 7455, 790, 535, 940, 6500, 222, 662, 180, 498, 1390, 752, 2140, 190, 2718, 8155, 15160, 16940, 932, 17515, 4795, 4840, 5960, 220, 85045, 410, 91595, 103000, 720, 400, 104182, 940, 106220, 112, 1308, 113102, 113480, 90, 108, 388, 192, 255, 1558, 80, 368, 230, 815, 2668, 3462, 380, 350, 1012, 348, 1175, 450, 1240, 1450, 2250, 2470, 60, 2925, 2740, 2542, 2442, 210, 5228, 4580, 260, 12205, 80, 140, 140, 162, 60, 3300, 370, 1718, 750, 1402, 550, 150, 440, 632, 268, 70, 1825, 2145, 19708, 21850, 3720, 2425, 31470, 4075, 2680, 14828, 46300, 46300, 47918, 47918, 1682, 174365, 360, 958, 615, 1950, 3680, 5138, 189135, 8898, 194670, 2215, 2122, 1682, 201658
2011-03-09, 3182, 7440, 780, 525, 915, 6480, 230, 682, 180, 490, 1390, 760, 2152, 190, 2710, 8125, 14895, 16645, 960, 17410, 5512, 4855, 6062, 298, 85020, 410, 91675, 103000, 725, 390, 104170, 955, 105985, 110, 1278, 111935, 111945, 90, 140, 420, 242, 278, 1622, 72, 352, 238, 840, 2772, 3530, 380, 348, 1010, 350, 1158, 450, 1245, 1450, 2250, 2470, 60, 2915, 2715, 2515, 2468, 210, 5248, 4580, 265, 12192, 80, 140, 140, 170, 60, 3050, 368, 1772, 888, 1540, 610, 152, 402, 635, 310, 70, 1868, 2305, 19915, 22205, 3702, 2440, 31580, 4335, 3128, 15355, 46938, 46938, 48668, 48668, 1475, 165720, 382, 1005, 660, 2055, 3480, 5000, 178905, 8478, 183835, 2362, 2198, 1668, 190328
2011-03-10, 3165, 7422, 772, 512, 892, 6455, 230, 700, 180, 480, 1400, 772, 2175, 182, 2718, 8120, 14670, 16398, 1005, 17590, 6550, 4945, 6312, 355, 84342, 405, 91700, 103000, 730, 390, 104160, 1055, 105945, 110, 1292, 111770, 111778, 90, 172, 482, 322, 330, 1765, 70, 338, 258, 880, 2908, 3615, 375, 348, 1015, 355, 1155, 450, 1248, 1455, 2255, 2480, 60, 2910, 2692, 2498, 2500, 218, 5278, 4580, 288, 12200, 70, 140, 140, 180, 60, 3200, 382, 1832, 1022, 1655, 700, 160, 350, 560, 345, 70, 1922, 2348, 20175, 22558, 3708, 2605, 31865, 4652, 3552, 16025, 47892, 47892, 50282, 50282, 1422, 166288, 420, 1088, 662, 2380, 3200, 4732, 178765, 8108, 183080, 2642, 2160, 1805, 189335
