, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-05-09, , , 6260, 5240, 8780, 19840, 400, 1470, 1480, 4790, 7560, 3740, 11240, 1760, 13630, 24370, 34990, 39090, 3580, 43820, 21540, 16640, 18350, 1960, 123118, 9290, 144210, 134140, 6210, 3020, 142210, 2420, 135290, 450, 3510, 156160, 154810, 460, 420, 570, 1260, 700, 4050, 300, 1510, 550, 3300, 3780, 4860, 1410, 2140, 5480, 2570, 6350, 3200, 8090, 12390, 21090, 17940, 2510, 19010, 19260, 17550, 15690, 1040, 14500, 12370, 3220, 20080, 250, 190, 930, 2810, 580, 6870, 4300, 8570, 6500, 6760, 1070, 700, 80, 410, 2650, 580, 10460, 3570, 42500, 45700, 23030, 7120, 72620, 23600, 15600, 29410, 100850, 94150, 100090, 107300, 1480, 271350, 780, 1360, 490, 2370, 6590, 10090, 264690, 7080, 267670, 2580, 1560, 1400, 293480
2011-05-10,11335.0,30308.0,6665.0,5492.0,10012.0,20505.0,502.0,1968.0,1762.0,5095.0,8508.0,4915.0,13382.0,1975.0,15815.0,25120.0,37375.0,41615.0,3775.0,47920.0,22752.0,17430.0,19115.0,2335.0,126565.0,9400.0,147295.0,151875.0,6400.0,2910.0,158782.0,2182.0,157685.0,502.0,3725.0,165230.0,161368.0,455.0,418.0,538.0,1238.0,638.0,3890.0,308.0,1498.0,545.0,3152.0,3430.0,4798.0,1448.0,2632.0,6298.0,2438.0,7108.0,3372.0,9278.0,13305.0,21010.0,19212.0,2242.0,21260.0,21388.0,18510.0,16542.0,1160.0,16092.0,13030.0,3475.0,20422.0,200.0,150.0,878.0,2568.0,538.0,8145.0,3775.0,8375.0,6408.0,6638.0,1020.0,630.0,80.0,525.0,2190.0,592.0,9520.0,3228.0,42072.0,45268.0,23488.0,6650.0,73270.0,27100.0,17982.0,32268.0,105475.0,100128.0,101038.0,101325.0,1430.0,269592.0,695.0,1230.0,445.0,2128.0,5915.0,9400.0,279585.0,7045.0,269475.0,2492.0,1435.0,1362.0,277950.0
2011-05-11,11955.0,29902.0,8042.0,6180.0,10018.0,22598.0,490.0,2480.0,1762.0,5665.0,10052.0,5795.0,15835.0,2125.0,19500.0,26968.0,41548.0,46238.0,4295.0,52865.0,22950.0,18158.0,19965.0,1822.0,130285.0,9538.0,151808.0,156875.0,6350.0,2952.0,164672.0,2258.0,166940.0,682.0,4112.0,176022.0,173598.0,500.0,450.0,602.0,1460.0,755.0,3658.0,395.0,1852.0,620.0,3415.0,2848.0,4450.0,1532.0,2515.0,6625.0,2250.0,8085.0,3985.0,10318.0,13825.0,21368.0,19792.0,2145.0,24138.0,24700.0,21568.0,19448.0,1272.0,19315.0,14200.0,2870.0,21615.0,170.0,122.0,842.0,2280.0,525.0,8180.0,3282.0,8192.0,6418.0,6468.0,1028.0,642.0,80.0,1048.0,2088.0,542.0,8315.0,2898.0,42570.0,45570.0,23985.0,6140.0,70962.0,29318.0,17708.0,34852.0,103902.0,103902.0,105395.0,105395.0,1335.0,279318.0,598.0,1120.0,395.0,1770.0,4860.0,7728.0,287850.0,6890.0,283692.0,2640.0,1345.0,1398.0,287505.0
2011-05-12,14538.0,30392.0,10298.0,7198.0,10418.0,25948.0,398.0,2218.0,1502.0,5845.0,10032.0,5120.0,15150.0,2360.0,20488.0,30135.0,44522.0,49530.0,4835.0,57030.0,22665.0,18705.0,20445.0,1348.0,134220.0,10348.0,155250.0,161875.0,6485.0,3825.0,170338.0,3432.0,173465.0,958.0,6372.0,183930.0,182530.0,652.0,592.0,832.0,2080.0,1192.0,4132.0,530.0,2622.0,1025.0,4732.0,3732.0,4608.0,1352.0,2305.0,5538.0,1905.0,7970.0,3188.0,10070.0,13010.0,19748.0,19745.0,2060.0,25340.0,26168.0,23760.0,21892.0,1218.0,22970.0,14650.0,2532.0,23238.0,170.0,120.0,848.0,1985.0,560.0,7102.0,3252.0,8175.0,6428.0,6348.0,1102.0,748.0,80.0,1075.0,2310.0,608.0,8145.0,2802.0,43352.0,46178.0,23532.0,6918.0,68262.0,29465.0,16675.0,34385.0,100755.0,100755.0,102078.0,102078.0,1310.0,286182.0,578.0,1108.0,360.0,1615.0,4970.0,7082.0,297560.0,7050.0,298260.0,3032.0,1552.0,1552.0,303012.0
2011-05-13,16890.0,31075.0,12948.0,8502.0,11812.0,29520.0,375.0,2158.0,1548.0,6018.0,9970.0,5592.0,15560.0,2545.0,20410.0,34245.0,45398.0,50482.0,5412.0,58742.0,24820.0,19180.0,20838.0,1182.0,138142.0,11862.0,161030.0,165000.0,7435.0,5018.0,175318.0,6012.0,179080.0,1225.0,9795.0,193225.0,192902.0,738.0,652.0,1005.0,2110.0,1342.0,5702.0,552.0,3190.0,1085.0,6075.0,6700.0,6230.0,1342.0,2540.0,5652.0,1830.0,6862.0,2955.0,10132.0,13255.0,19360.0,19755.0,2310.0,24880.0,25875.0,24100.0,22468.0,1150.0,25058.0,14650.0,2515.0,24060.0,235.0,162.0,888.0,1858.0,615.0,6022.0,3655.0,8275.0,6438.0,6295.0,1125.0,865.0,80.0,1075.0,2698.0,795.0,8765.0,2915.0,45712.0,48525.0,23885.0,7992.0,66465.0,32642.0,17085.0,36555.0,101412.0,101412.0,102598.0,102598.0,1358.0,296170.0,568.0,1152.0,350.0,1675.0,5782.0,8032.0,309038.0,7315.0,310592.0,3540.0,1710.0,1732.0,315940.0
2011-05-14,17290.0,31515.0,14850.0,9658.0,13115.0,31868.0,392.0,2215.0,1665.0,6522.0,10655.0,7015.0,17672.0,2668.0,22218.0,37735.0,46978.0,52198.0,5725.0,60545.0,26858.0,19870.0,21415.0,1060.0,142552.0,13255.0,166538.0,165000.0,9005.0,5118.0,176892.0,4680.0,180598.0,970.0,8282.0,193492.0,193538.0,612.0,535.0,812.0,1600.0,820.0,5402.0,490.0,2830.0,898.0,5105.0,6695.0,8642.0,1508.0,3022.0,6480.0,1955.0,6640.0,3900.0,10802.0,14900.0,21642.0,19818.0,2535.0,23782.0,24738.0,23022.0,21510.0,1110.0,25388.0,14650.0,2572.0,24288.0,430.0,290.0,962.0,1878.0,668.0,5175.0,4232.0,8400.0,6390.0,6275.0,1068.0,922.0,80.0,1092.0,2915.0,960.0,9785.0,3048.0,48002.0,51158.0,25305.0,7890.0,66512.0,37202.0,17290.0,41138.0,105992.0,105992.0,107105.0,107105.0,1358.0,307420.0,535.0,1098.0,355.0,1672.0,6012.0,8630.0,322515.0,7082.0,323925.0,3288.0,1468.0,1675.0,329962.0
2011-05-15,19600.0,33978.0,17172.0,10825.0,14412.0,34588.0,442.0,2332.0,1760.0,7180.0,11510.0,8660.0,20170.0,2968.0,25100.0,40335.0,50768.0,56368.0,5870.0,65090.0,27245.0,20588.0,22148.0,1300.0,147802.0,14640.0,172640.0,168750.0,9865.0,4848.0,181018.0,5535.0,184050.0,1042.0,9138.0,195995.0,195670.0,755.0,655.0,920.0,2185.0,1035.0,5265.0,602.0,3155.0,1280.0,5428.0,5862.0,9215.0,1722.0,3428.0,7422.0,2190.0,7390.0,5088.0,11372.0,15980.0,24240.0,19910.0,2548.0,23808.0,24658.0,22448.0,20830.0,1135.0,24768.0,14712.0,2600.0,24372.0,660.0,432.0,1065.0,1962.0,708.0,4628.0,4640.0,8502.0,6320.0,6252.0,1080.0,1028.0,80.0,1132.0,3080.0,1085.0,10668.0,3170.0,49792.0,53422.0,27645.0,8428.0,69305.0,42795.0,18658.0,47250.0,114662.0,116575.0,117715.0,117715.0,1578.0,316005.0,645.0,1330.0,472.0,2045.0,6800.0,9095.0,331078.0,7012.0,332395.0,3228.0,1432.0,1688.0,338085.0
2011-05-16,22615.0,37438.0,19882.0,11728.0,16190.0,37798.0,468.0,2582.0,1828.0,7972.0,12622.0,10965.0,23585.0,3358.0,29112.0,44358.0,56278.0,62438.0,6192.0,72640.0,34242.0,21492.0,23095.0,1782.0,150508.0,18042.0,182198.0,175000.0,11255.0,5550.0,189432.0,8688.0,193340.0,1392.0,13565.0,209318.0,208852.0,992.0,858.0,1205.0,2675.0,1595.0,6860.0,728.0,3882.0,1672.0,6865.0,8552.0,9425.0,1835.0,3598.0,7762.0,2385.0,8385.0,5878.0,11680.0,16348.0,25332.0,19988.0,2335.0,24650.0,25330.0,22842.0,21148.0,1175.0,24718.0,15512.0,2618.0,24535.0,798.0,510.0,1098.0,1915.0,708.0,4285.0,4740.0,8568.0,6248.0,6260.0,1200.0,1125.0,80.0,1188.0,2888.0,1120.0,11155.0,3270.0,51135.0,55250.0,29962.0,10385.0,75710.0,50225.0,21582.0,54465.0,128170.0,130470.0,131760.0,131760.0,2268.0,339985.0,798.0,1902.0,820.0,3358.0,8948.0,11898.0,354888.0,7422.0,355928.0,3540.0,1718.0,1852.0,360212.0
2011-05-17,22868.0,38218.0,20365.0,12210.0,17450.0,38425.0,488.0,2802.0,1960.0,8830.0,13908.0,13020.0,26928.0,3510.0,33818.0,47435.0,63610.0,70522.0,6388.0,80425.0,41298.0,23150.0,24872.0,1948.0,152712.0,20982.0,191585.0,175000.0,13002.0,6310.0,191925.0,8760.0,196008.0,1318.0,14628.0,213655.0,213580.0,888.0,755.0,1100.0,2155.0,1290.0,7130.0,665.0,3710.0,1302.0,6538.0,9960.0,11492.0,1785.0,3692.0,7688.0,2482.0,8872.0,5898.0,11888.0,16305.0,25375.0,19988.0,2030.0,25538.0,26050.0,23572.0,21885.0,1172.0,25342.0,16350.0,2632.0,24958.0,732.0,465.0,1025.0,1692.0,648.0,3995.0,4470.0,8508.0,6190.0,6195.0,1068.0,1002.0,80.0,1138.0,2368.0,992.0,10860.0,3142.0,51402.0,56235.0,30918.0,9968.0,94685.0,55358.0,24795.0,60418.0,153215.0,153215.0,154668.0,154668.0,2370.0,366590.0,740.0,1800.0,820.0,3605.0,9412.0,13622.0,384572.0,7515.0,385875.0,3735.0,1675.0,1978.0,391130.0
2011-05-18,21228.0,30630.0,20320.0,12420.0,16200.0,37828.0,500.0,2770.0,2068.0,9188.0,14515.0,13558.0,28072.0,3348.0,35710.0,47265.0,67328.0,74605.0,6420.0,84058.0,39028.0,25055.0,26738.0,1328.0,155130.0,21068.0,198528.0,175000.0,13978.0,6138.0,193502.0,6955.0,197498.0,1080.0,12302.0,212772.0,212848.0,778.0,642.0,885.0,1832.0,888.0,5745.0,635.0,3382.0,1078.0,5548.0,7835.0,12222.0,1742.0,3782.0,7618.0,2570.0,8952.0,5888.0,12078.0,16200.0,25302.0,20015.0,1852.0,25950.0,26318.0,24020.0,22405.0,1132.0,25932.0,16650.0,2592.0,25735.0,615.0,395.0,948.0,1428.0,592.0,3738.0,4158.0,8452.0,6130.0,6060.0,892.0,912.0,80.0,982.0,2262.0,915.0,10052.0,2980.0,50425.0,55540.0,30072.0,8112.0,101208.0,53240.0,22898.0,58992.0,158422.0,158422.0,159832.0,159832.0,2010.0,389852.0,638.0,1402.0,668.0,2910.0,8150.0,12130.0,411440.0,7230.0,412945.0,3495.0,1488.0,1882.0,419178.0
