, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-06-27, , , , , , , , , , , , , , , , , , , , , 13240, 19100, 19730, 530, 176602, , , 205410, 11280, 7840, 228830, 5750, 238950, 1530, 8420, 256950, 258770, 570, 550, 670, 2360, 510, 4180, 900, 2910, 1470, 5530, 5370, 6620, 1260, 3670, 5460, 4580, 8630, 9830, 15850, 21740, 31070, 17030, 340, 19940, 18090, 16170, 16090, 650, 19090, 8100, 1950, 17220, 1800, 1040, 2010, 1780, 510, 1890, 3630, 7640, 5080, 4590, 330, 340, 60, 270, 5470, 1180, 12300, 2340, 36550, 38320, 65730, 7860, 118110, 37190, 18680, 47520, 173760, 159090, 159320, 165700, 410, 419850, 210, 270, 80, 270, 3070, 4280, 445130, 5850, 429090, 2440, 850, 1410, 437170
2011-06-28, , , , , , , , , , , , , , , , , , , , , 12615, 18108, 18985, 528, 173132, , , 205660, 10842, 8178, 228000, 6668, 236415, 1572, 8965, 258732, 260512, 600, 570, 645, 2585, 592, 4208, 938, 3028, 1668, 5660, 5522, 6265, 1205, 3405, 5245, 4492, 8488, 9172, 14925, 20245, 29518, 16965, 335, 19862, 18032, 16122, 16025, 625, 19132, 8118, 1835, 16632, 1945, 1192, 1955, 1662, 485, 1852, 3548, 7602, 5070, 4545, 322, 338, 60, 265, 5400, 1155, 12028, 2150, 36738, 38495, 63132, 7875, 111448, 34842, 17958, 45978, 164490, 158760, 159372, 160495, 400, 412522, 210, 255, 72, 235, 2935, 4130, 428760, 5588, 413988, 2405, 880, 1388, 420780
2011-06-29, , , , , , , , , , , , , , , , , , , , , 12528, 15442, 16652, 515, 169562, , , 205398, 10728, 8795, 227582, 8278, 236062, 1760, 9965, 258978, 260720, 650, 610, 600, 2815, 620, 4448, 955, 3158, 1928, 5935, 6150, 6178, 1122, 3288, 5012, 4790, 8090, 9085, 15290, 20058, 29282, 17030, 318, 19608, 17818, 15980, 15892, 595, 18910, 8150, 1710, 16070, 2392, 1650, 2050, 1715, 470, 1790, 3862, 7555, 4542, 4370, 322, 330, 60, 255, 5500, 1185, 12012, 1935, 36265, 38198, 61908, 9245, 111412, 37125, 17710, 44878, 161638, 158638, 158945, 158945, 385, 407930, 205, 250, 65, 215, 2975, 4180, 420240, 5605, 405665, 2495, 1195, 1418, 410560
2011-06-30, , , , , , , , , , , , , , , , , , , , , 13502, 14210, 14822, 502, 165880, , , 205100, 11238, 9305, 227732, 9325, 235315, 1892, 10125, 258560, 260285, 712, 618, 548, 2668, 598, 4882, 922, 3048, 1888, 5870, 6658, 6655, 1225, 3535, 5145, 5150, 7862, 9878, 17065, 21695, 31088, 17098, 308, 19252, 17455, 15672, 15602, 585, 18702, 8182, 1628, 15992, 2568, 1842, 2212, 1918, 475, 1760, 4238, 7512, 3600, 3628, 330, 330, 60, 230, 5982, 1232, 12635, 1842, 35425, 37298, 64645, 11535, 115488, 43825, 18418, 47732, 166858, 163988, 164285, 164285, 390, 412968, 228, 250, 58, 240, 3168, 4415, 423392, 5692, 409438, 2458, 1080, 1432, 414140
2011-07-01, , , , , , , , , , , , , , , , , , , , , 13792, 14185, 14740, 472, 166778, , , 212300, 12355, 9418, 234268, 9552, 239765, 1828, 9445, 260612, 261845, 628, 560, 482, 2145, 462, 4885, 845, 2800, 1632, 5608, 6430, 7102, 1355, 3548, 5255, 5225, 8078, 10585, 19072, 23600, 33450, 17352, 292, 19138, 17220, 15378, 15285, 578, 18352, 8215, 1548, 15875, 2355, 1642, 2122, 1922, 430, 1725, 4055, 7445, 2715, 2768, 325, 325, 60, 192, 5020, 1120, 13065, 1732, 35200, 36952, 67745, 12178, 121025, 48630, 18110, 53548, 176498, 173758, 174042, 174042, 380, 426490, 210, 265, 48, 245, 3050, 4552, 435058, 5618, 421528, 2285, 958, 1398, 425490
2011-07-02, , , , , , , , , , , , , , , , , , , , , 12652, 13202, 14040, 452, 177115, , , 222628, 13288, 8860, 246888, 7800, 254778, 1582, 8940, 276268, 277468, 528, 480, 435, 1842, 402, 4685, 785, 2492, 1460, 5128, 5808, 7028, 1268, 3130, 4705, 4895, 8202, 9652, 18805, 22932, 33215, 17920, 278, 19692, 17620, 15552, 15372, 570, 18132, 8245, 1452, 15678, 1982, 1285, 1870, 1645, 385, 1632, 3652, 7255, 2335, 2088, 302, 315, 55, 175, 4372, 972, 12125, 1498, 33898, 35905, 61308, 11118, 116220, 46218, 16272, 51970, 168510, 165900, 166175, 166175, 360, 439900, 185, 265, 40, 235, 2698, 4178, 447552, 5532, 434672, 2115, 860, 1312, 438382
2011-07-03, , , , , , , , , , , , , , , , , , , , , 11542, 12035, 12850, 438, 175158, , , 219205, 13312, 8192, 242922, 6612, 250020, 1480, 9000, 272350, 273958, 518, 465, 405, 1912, 408, 4545, 778, 2395, 1555, 4840, 5195, 6545, 1188, 2850, 4222, 4660, 7722, 8448, 17402, 21240, 31475, 18522, 268, 20298, 18218, 16150, 15950, 560, 18470, 8275, 1385, 15455, 1805, 1115, 1742, 1468, 360, 1560, 3428, 7035, 2215, 1892, 285, 308, 50, 162, 4078, 895, 11155, 1340, 32018, 33948, 54550, 10650, 105948, 43198, 14822, 48778, 154725, 151192, 151460, 151460, 345, 434835, 165, 245, 32, 220, 2392, 3760, 446048, 5485, 434392, 2052, 828, 1248, 439390
2011-07-04, , , , , , , , , , , , , , , , , , , , , 10962, 11415, 12088, 425, 173315, , , 218908, 12630, 7885, 241828, 6518, 248975, 1565, 9315, 271378, 272790, 532, 485, 392, 2132, 470, 4488, 795, 2370, 1668, 4755, 4955, 6032, 1162, 2770, 4068, 4700, 7155, 7935, 16650, 20310, 30095, 19140, 255, 20310, 18275, 16388, 16255, 550, 18895, 8308, 1325, 15240, 1752, 1075, 1712, 1410, 340, 1508, 3330, 6815, 2095, 1788, 272, 300, 50, 150, 3898, 852, 10772, 1215, 30905, 32638, 50798, 11032, 99252, 41382, 13875, 46768, 146022, 141568, 141820, 141820, 335, 421858, 152, 230, 30, 190, 2178, 3472, 430575, 5450, 419588, 2020, 812, 1232, 424492
2011-07-05, 46120, 21630, 13620, 15050, 20770, 38640, 1580, 2920, 2820, 7610, 14080, 12630, 26560, 2210, 33410, 48960, 90210, 97660, 4280, 98260, 10658, 11185, 11815, 415, 178632, 8140, 262310, 216735, 12008, 7835, 239060, 7070, 246658, 1665, 9960, 270065, 271488, 542, 508, 382, 2378, 548, 4512, 835, 2368, 1805, 4690, 4870, 5755, 1155, 2710, 4010, 4780, 6865, 7772, 16870, 20398, 29855, 19750, 245, 20312, 18280, 16322, 16190, 540, 18898, 8340, 1268, 15055, 1740, 1072, 1705, 1390, 325, 1455, 3268, 6595, 1975, 1680, 265, 290, 50, 138, 3720, 815, 10642, 1105, 30355, 31968, 48365, 11700, 96038, 40375, 13292, 50688, 146725, 143450, 143698, 143698, 325, 419412, 140, 215, 30, 160, 2018, 3292, 425238, 5425, 414652, 1978, 810, 1262, 418802
2011-07-06, 47858, 21602, 13598, 14515, 20600, 38262, 1642, 2928, 2805, 7495, 13962, 11742, 25580, 2208, 32300, 48605, 89320, 97022, 4278, 97560, 10382, 11048, 11695, 402, 180782, 7725, 267662, 213310, 11710, 7895, 234655, 7745, 241998, 1730, 10630, 265880, 267230, 558, 530, 372, 2545, 558, 4565, 878, 2392, 1842, 4660, 4872, 5662, 1150, 2602, 3882, 4772, 6745, 7580, 17248, 20648, 29800, 20360, 235, 20630, 18598, 16472, 16300, 532, 18830, 8372, 1205, 14878, 1712, 1065, 1685, 1370, 305, 1410, 3178, 6380, 1855, 1550, 250, 282, 45, 128, 3480, 762, 10465, 1020, 29825, 31430, 45855, 12318, 94650, 39582, 12870, 53952, 148605, 146515, 146752, 146752, 312, 422435, 130, 205, 20, 132, 1885, 3155, 428435, 5405, 418460, 1922, 795, 1265, 422355
