, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-12-05,1630.0,14310.0,750.0,660.0,970.0,3720.0,310.0,590.0,220.0,690.0,1590.0,920.0,2510.0,90.0,3210.0,4620.0,9500.0,17370.0,830.0,8720.0,1300.0,2840.0,3650.0,80.0,310.0,82010.0,115690.0,1200.0,390.0,112490.0,80.0,110770.0,80.0,870.0,114590.0,110830.0,160.0,120.0,250.0,190.0,50.0,930.0,150.0,380.0,240.0,640.0,1620.0,2410.0,560.0,690.0,1830.0,550.0,2200.0,510.0,1640.0,2270.0,3660.0,3920.0,70.0,5260.0,5210.0,5450.0,5290.0,260.0,8030.0,6100.0,80.0,13390.0,170.0,300.0,180.0,150.0,60.0,340.0,300.0,290.0,280.0,870.0,70.0,80.0,40.0,120.0,370.0,80.0,1060.0,160.0,16160.0,16690.0,4190.0,750.0,17500.0,1850.0,980.0,3480.0,20590.0,39900.0,39610.0,40300.0,250.0,139100.0,70.0,100.0,40.0,200.0,140.0,350.0,131640.0,5370.0,141170.0,1010.0,590.0,1230.0,143180.0
2011-12-06,4515.0,20055.0,748.0,650.0,968.0,3740.0,330.0,618.0,220.0,682.0,1580.0,928.0,2505.0,90.0,3120.0,4660.0,9440.0,10325.0,825.0,11522.0,1145.0,2792.0,3608.0,70.0,310.0,87170.0,106230.0,1172.0,390.0,108930.0,108.0,111520.0,80.0,865.0,118342.0,116428.0,148.0,115.0,250.0,182.0,85.0,908.0,140.0,380.0,238.0,620.0,1605.0,2370.0,560.0,685.0,2005.0,545.0,2198.0,510.0,1665.0,2200.0,3592.0,3922.0,70.0,5152.0,5158.0,5192.0,5332.0,260.0,8152.0,6105.0,88.0,13642.0,170.0,300.0,180.0,150.0,60.0,340.0,300.0,300.0,280.0,865.0,70.0,80.0,40.0,120.0,370.0,80.0,1052.0,150.0,14868.0,15918.0,4135.0,732.0,17430.0,1780.0,1370.0,3430.0,20552.0,20552.0,20672.0,20672.0,250.0,143052.0,62.0,100.0,40.0,192.0,152.0,340.0,146290.0,5328.0,139240.0,992.0,560.0,1198.0,143188.0
2011-12-07,4465.0,21000.0,740.0,635.0,960.0,3728.0,330.0,638.0,220.0,680.0,1588.0,950.0,2540.0,90.0,3090.0,4635.0,9360.0,10232.0,818.0,11268.0,1118.0,2758.0,3555.0,70.0,310.0,89065.0,100000.0,1185.0,390.0,101562.0,148.0,103355.0,80.0,848.0,108595.0,107875.0,138.0,110.0,242.0,170.0,80.0,890.0,132.0,370.0,235.0,602.0,1572.0,2310.0,560.0,665.0,1875.0,540.0,2190.0,510.0,1688.0,2068.0,3462.0,3920.0,70.0,5095.0,5080.0,4802.0,4895.0,270.0,7948.0,6110.0,90.0,13778.0,170.0,300.0,185.0,150.0,60.0,340.0,300.0,310.0,280.0,860.0,70.0,80.0,40.0,120.0,362.0,80.0,1042.0,158.0,15348.0,16012.0,4248.0,768.0,17668.0,1790.0,1340.0,3415.0,20922.0,20922.0,21040.0,21040.0,250.0,136058.0,60.0,100.0,40.0,185.0,165.0,348.0,141480.0,5175.0,140338.0,968.0,530.0,1160.0,143052.0
2011-12-08,4425.0,21000.0,735.0,622.0,950.0,3705.0,330.0,640.0,220.0,680.0,1600.0,950.0,2542.0,90.0,3125.0,4622.0,9398.0,10270.0,810.0,11248.0,1092.0,2685.0,3502.0,70.0,310.0,88990.0,100000.0,1180.0,390.0,101568.0,190.0,103298.0,80.0,835.0,107050.0,107035.0,128.0,100.0,240.0,160.0,80.0,885.0,128.0,365.0,235.0,588.0,1568.0,2258.0,560.0,655.0,1792.0,540.0,2112.0,510.0,1680.0,2025.0,3358.0,3930.0,70.0,5085.0,5072.0,4752.0,4812.0,272.0,7725.0,6115.0,92.0,13778.0,170.0,300.0,190.0,158.0,60.0,340.0,300.0,318.0,280.0,860.0,70.0,80.0,40.0,120.0,360.0,80.0,1050.0,160.0,15655.0,16405.0,4372.0,768.0,18758.0,1852.0,1310.0,3508.0,22240.0,22240.0,22358.0,22358.0,245.0,131848.0,60.0,100.0,40.0,180.0,180.0,365.0,135908.0,5180.0,138568.0,945.0,508.0,1132.0,141335.0
2011-12-09,4385.0,20992.0,730.0,608.0,942.0,3685.0,330.0,640.0,218.0,680.0,1598.0,942.0,2540.0,90.0,3132.0,4602.0,9828.0,10730.0,802.0,11538.0,1080.0,2548.0,3338.0,70.0,310.0,88715.0,100000.0,1162.0,390.0,101570.0,230.0,103300.0,80.0,822.0,105812.0,105865.0,120.0,95.0,240.0,150.0,75.0,875.0,120.0,360.0,230.0,572.0,1560.0,2218.0,560.0,650.0,1755.0,540.0,2038.0,510.0,1670.0,2015.0,3345.0,3940.0,70.0,5015.0,5010.0,4710.0,4778.0,280.0,7680.0,6120.0,100.0,13770.0,162.0,295.0,190.0,160.0,60.0,340.0,300.0,328.0,280.0,860.0,70.0,80.0,40.0,128.0,360.0,80.0,1050.0,162.0,15712.0,16488.0,4418.0,760.0,18860.0,1858.0,1282.0,3562.0,22425.0,22425.0,22540.0,22540.0,240.0,131580.0,60.0,98.0,40.0,172.0,195.0,380.0,135748.0,5188.0,138348.0,925.0,480.0,1110.0,140958.0
2011-12-10,4345.0,20990.0,725.0,595.0,938.0,3665.0,330.0,640.0,210.0,680.0,1590.0,940.0,2535.0,90.0,3140.0,4582.0,10415.0,11372.0,800.0,12138.0,1090.0,2520.0,3295.0,70.0,308.0,89190.0,96250.0,1142.0,390.0,98515.0,272.0,100960.0,80.0,805.0,103030.0,103285.0,112.0,90.0,240.0,142.0,70.0,862.0,118.0,358.0,220.0,558.0,1555.0,2185.0,560.0,648.0,1732.0,540.0,2005.0,510.0,1662.0,2005.0,3328.0,3948.0,70.0,4965.0,4958.0,4642.0,4712.0,285.0,7628.0,6125.0,100.0,13762.0,160.0,290.0,198.0,160.0,60.0,340.0,300.0,335.0,272.0,860.0,70.0,80.0,40.0,130.0,350.0,80.0,1050.0,170.0,15738.0,16515.0,4410.0,752.0,18875.0,1840.0,1258.0,3578.0,22450.0,22450.0,22568.0,22568.0,240.0,130345.0,60.0,90.0,40.0,170.0,215.0,400.0,134648.0,5192.0,137250.0,905.0,460.0,1092.0,139860.0
2011-12-11,4305.0,20990.0,720.0,582.0,930.0,3645.0,330.0,640.0,210.0,680.0,1590.0,940.0,2530.0,90.0,3140.0,4565.0,10520.0,11480.0,790.0,12258.0,1092.0,2498.0,3265.0,70.0,300.0,93280.0,90000.0,1122.0,390.0,91535.0,312.0,93388.0,80.0,792.0,94630.0,94850.0,108.0,85.0,240.0,140.0,70.0,850.0,110.0,350.0,210.0,545.0,1550.0,2152.0,560.0,642.0,1732.0,538.0,1992.0,510.0,1655.0,1995.0,3315.0,3958.0,70.0,4952.0,4945.0,4602.0,4665.0,290.0,7570.0,6130.0,108.0,13752.0,160.0,290.0,200.0,160.0,60.0,340.0,300.0,345.0,270.0,860.0,70.0,80.0,40.0,130.0,350.0,80.0,1052.0,170.0,15762.0,16540.0,4400.0,750.0,18855.0,1815.0,1235.0,3585.0,22442.0,22442.0,22560.0,22560.0,240.0,124882.0,60.0,90.0,40.0,162.0,255.0,425.0,130265.0,5200.0,133088.0,892.0,448.0,1105.0,136110.0
2011-12-12,4265.0,20990.0,715.0,570.0,922.0,3625.0,330.0,640.0,210.0,680.0,1590.0,940.0,2530.0,88.0,3150.0,4548.0,10935.0,11932.0,790.0,12550.0,1100.0,2470.0,3238.0,70.0,300.0,93870.0,89250.0,1105.0,398.0,90912.0,358.0,92785.0,80.0,778.0,93730.0,93770.0,100.0,80.0,232.0,132.0,68.0,840.0,110.0,350.0,205.0,535.0,1550.0,2125.0,560.0,645.0,1745.0,530.0,2000.0,510.0,1648.0,1985.0,3302.0,3970.0,70.0,4958.0,4945.0,4590.0,4645.0,280.0,7538.0,6130.0,110.0,13742.0,160.0,290.0,200.0,160.0,60.0,340.0,300.0,352.0,270.0,860.0,70.0,80.0,40.0,130.0,350.0,80.0,1060.0,178.0,15788.0,16560.0,4392.0,740.0,18842.0,1795.0,1210.0,3575.0,22415.0,22415.0,22535.0,22535.0,232.0,119255.0,60.0,90.0,40.0,160.0,270.0,465.0,123792.0,5210.0,126448.0,880.0,480.0,1155.0,129252.0
2011-12-13,4235.0,20990.0,710.0,558.0,920.0,3608.0,330.0,640.0,210.0,680.0,1590.0,932.0,2530.0,80.0,3155.0,4532.0,11512.0,12558.0,790.0,13158.0,1090.0,2445.0,3208.0,70.0,300.0,92812.0,88000.0,1090.0,400.0,89502.0,400.0,91260.0,80.0,765.0,92118.0,92162.0,95.0,80.0,230.0,130.0,60.0,830.0,102.0,350.0,200.0,525.0,1550.0,2098.0,555.0,640.0,1722.0,530.0,2010.0,510.0,1640.0,1975.0,3288.0,3982.0,70.0,4988.0,4975.0,4598.0,4650.0,280.0,7530.0,6130.0,115.0,13728.0,160.0,290.0,198.0,160.0,60.0,340.0,300.0,362.0,270.0,860.0,70.0,80.0,40.0,130.0,342.0,80.0,1060.0,180.0,15812.0,16582.0,4400.0,738.0,18875.0,1770.0,1190.0,3550.0,22428.0,22428.0,22542.0,22542.0,230.0,118018.0,60.0,90.0,40.0,152.0,270.0,480.0,122498.0,5218.0,125040.0,868.0,465.0,1140.0,127672.0
2011-12-14,4200.0,20982.0,710.0,548.0,910.0,3590.0,330.0,640.0,210.0,680.0,1590.0,930.0,2520.0,80.0,3160.0,4518.0,11592.0,12642.0,780.0,13268.0,1070.0,2418.0,3182.0,70.0,300.0,93105.0,88000.0,1075.0,400.0,89488.0,428.0,91222.0,80.0,752.0,91978.0,91980.0,90.0,70.0,230.0,128.0,60.0,822.0,100.0,340.0,192.0,512.0,1550.0,2072.0,550.0,635.0,1692.0,530.0,2005.0,510.0,1632.0,1968.0,3275.0,3992.0,70.0,5012.0,5008.0,4625.0,4675.0,280.0,7540.0,6130.0,120.0,13715.0,160.0,290.0,190.0,160.0,60.0,340.0,300.0,370.0,270.0,860.0,70.0,80.0,40.0,130.0,340.0,80.0,1070.0,182.0,15835.0,16605.0,4400.0,730.0,20060.0,1752.0,1170.0,3530.0,23588.0,23588.0,23702.0,23702.0,230.0,117462.0,60.0,90.0,40.0,150.0,270.0,480.0,121648.0,5225.0,124108.0,858.0,428.0,1080.0,126532.0
