, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2013-01-18,3387.0,12874.0,786.0,614.0,518.0,7827.0,209.0,455.0,173.0,630.0,1375.0,814.0,2189.0,122.0,2580.0,8912.0,12724.0,13996.0,1215.0,14847.0,2284.0,3742.0,4518.0,169.0,113352.0,513.0,119760.0,146180.0,795.0,377.0,150558.0,463.0,154818.0,85.0,858.0,162416.0,155892.0,127.0,123.0,241.0,245.0,91.0,1018.0,108.0,392.0,407.0,582.0,1699.0,2593.0,436.0,438.0,1238.0,353.0,1701.0,323.0,1142.0,1392.0,2110.0,1265.0,39.0,2209.0,2158.0,1828.0,1854.0,165.0,4542.0,508.0,78.0,5037.0,78.0,141.0,154.0,100.0,54.0,286.0,291.0,244.0,251.0,852.0,2.0,67.0,78.0,66.0,340.0,62.0,1121.0,304.0,9298.0,10775.0,4414.0,989.0,17954.0,2144.0,1931.0,8112.0,26067.0,26067.0,26523.0,26523.0,732.0,178696.0,118.0,212.0,67.0,372.0,247.0,580.0,180358.0,6004.0,182962.0,1394.0,786.0,742.0,184894.0
2013-01-19,3365.0,13189.0,774.0,598.0,518.0,7807.0,209.0,455.0,173.0,630.0,1340.0,812.0,2151.0,121.0,2564.0,8866.0,12918.0,14222.0,1192.0,15253.0,2196.0,3131.0,3986.0,153.0,112728.0,510.0,118335.0,136248.0,787.0,368.0,138122.0,456.0,141492.0,84.0,838.0,149498.0,143483.0,128.0,123.0,240.0,236.0,94.0,1026.0,106.0,390.0,448.0,616.0,1728.0,2502.0,434.0,437.0,1231.0,352.0,1680.0,323.0,1135.0,1382.0,2102.0,1259.0,39.0,2180.0,2133.0,1801.0,1825.0,163.0,4508.0,508.0,78.0,4978.0,78.0,141.0,152.0,98.0,54.0,286.0,290.0,246.0,251.0,852.0,4.0,67.0,74.0,66.0,336.0,62.0,1115.0,295.0,9067.0,10172.0,4407.0,974.0,18026.0,2092.0,1883.0,7227.0,25254.0,25254.0,25632.0,25632.0,674.0,179990.0,115.0,206.0,55.0,358.0,263.0,580.0,181907.0,6075.0,184989.0,1364.0,840.0,715.0,188306.0
2013-01-20,3350.0,12856.0,763.0,582.0,518.0,7787.0,209.0,453.0,173.0,630.0,1310.0,806.0,2116.0,121.0,2543.0,8832.0,12768.0,14061.0,1167.0,15059.0,2107.0,2786.0,3548.0,137.0,112128.0,506.0,117393.0,129998.0,776.0,358.0,131148.0,449.0,133863.0,83.0,818.0,140980.0,135105.0,126.0,120.0,238.0,226.0,80.0,1025.0,104.0,388.0,538.0,747.0,1846.0,2436.0,432.0,434.0,1222.0,349.0,1665.0,322.0,1129.0,1374.0,2090.0,1258.0,39.0,2158.0,2105.0,1772.0,1799.0,162.0,4478.0,508.0,78.0,4954.0,78.0,141.0,152.0,99.0,53.0,286.0,287.0,250.0,252.0,851.0,6.0,66.0,70.0,66.0,333.0,62.0,1105.0,288.0,8798.0,9732.0,4380.0,960.0,17953.0,2045.0,1841.0,6370.0,24324.0,24324.0,24652.0,24652.0,624.0,167958.0,117.0,202.0,48.0,346.0,282.0,594.0,170531.0,6310.0,173966.0,1353.0,882.0,702.0,177717.0
2013-01-21,3349.0,12836.0,753.0,568.0,515.0,7770.0,209.0,453.0,173.0,625.0,1301.0,801.0,2102.0,121.0,2534.0,8802.0,12773.0,14070.0,1144.0,15005.0,2024.0,2743.0,3456.0,121.0,111832.0,501.0,116954.0,131873.0,771.0,351.0,132650.0,442.0,134889.0,83.0,802.0,140876.0,134959.0,124.0,116.0,236.0,214.0,72.0,1010.0,103.0,386.0,610.0,802.0,1963.0,2459.0,430.0,431.0,1214.0,348.0,1650.0,321.0,1124.0,1367.0,2081.0,1260.0,39.0,2143.0,2087.0,1750.0,1778.0,162.0,4451.0,508.0,78.0,4976.0,78.0,141.0,152.0,100.0,53.0,286.0,287.0,254.0,252.0,851.0,9.0,65.0,67.0,66.0,329.0,61.0,1094.0,284.0,8688.0,9612.0,4354.0,946.0,17871.0,2000.0,1800.0,6318.0,24190.0,24190.0,24510.0,24510.0,579.0,162196.0,118.0,202.0,46.0,337.0,290.0,610.0,164319.0,6339.0,167474.0,1362.0,845.0,692.0,170658.0
2013-01-22,3335.0,12819.0,744.0,556.0,511.0,7758.0,209.0,453.0,173.0,622.0,1298.0,796.0,2094.0,121.0,2538.0,8776.0,12807.0,14112.0,1121.0,14996.0,1946.0,2707.0,3437.0,105.0,111591.0,493.0,116663.0,134998.0,771.0,344.0,136116.0,435.0,138653.0,82.0,786.0,144536.0,138886.0,123.0,113.0,234.0,206.0,69.0,997.0,102.0,385.0,659.0,851.0,2020.0,2547.0,428.0,429.0,1206.0,347.0,1637.0,321.0,1119.0,1361.0,2073.0,1260.0,39.0,2130.0,2072.0,1736.0,1764.0,162.0,4432.0,508.0,78.0,4999.0,78.0,141.0,152.0,100.0,52.0,286.0,287.0,257.0,252.0,851.0,9.0,65.0,64.0,66.0,325.0,61.0,1086.0,280.0,8646.0,9550.0,4342.0,938.0,17796.0,1959.0,1758.0,6270.0,24066.0,24066.0,24379.0,24379.0,550.0,164054.0,124.0,203.0,46.0,333.0,303.0,627.0,166128.0,6294.0,168961.0,1367.0,773.0,695.0,171533.0
2013-01-23,3313.0,12492.0,735.0,540.0,511.0,7742.0,209.0,453.0,170.0,620.0,1294.0,792.0,2086.0,120.0,2548.0,8754.0,12850.0,14162.0,1100.0,15002.0,1869.0,2671.0,3420.0,98.0,111402.0,483.0,116421.0,136873.0,773.0,338.0,137630.0,428.0,139867.0,80.0,768.0,145290.0,139926.0,123.0,110.0,232.0,204.0,66.0,990.0,101.0,383.0,677.0,882.0,2091.0,2607.0,427.0,428.0,1198.0,346.0,1624.0,321.0,1114.0,1354.0,2066.0,1260.0,39.0,2118.0,2058.0,1722.0,1752.0,163.0,4418.0,508.0,78.0,5022.0,78.0,141.0,152.0,101.0,52.0,286.0,287.0,260.0,253.0,846.0,9.0,65.0,60.0,66.0,322.0,61.0,1080.0,274.0,8625.0,9522.0,4336.0,938.0,17743.0,1919.0,1720.0,6225.0,23968.0,23968.0,24275.0,24275.0,553.0,166636.0,128.0,214.0,49.0,339.0,316.0,649.0,169980.0,6274.0,172826.0,1362.0,756.0,704.0,175427.0
2013-01-24,3311.0,11439.0,727.0,527.0,511.0,7728.0,206.0,450.0,169.0,616.0,1287.0,789.0,2076.0,118.0,2556.0,8729.0,12896.0,14217.0,1080.0,15017.0,1808.0,2636.0,3405.0,96.0,111231.0,478.0,116221.0,139998.0,775.0,328.0,141101.0,421.0,143637.0,80.0,750.0,148955.0,143857.0,126.0,116.0,234.0,208.0,68.0,995.0,103.0,381.0,655.0,847.0,2107.0,2679.0,426.0,426.0,1190.0,345.0,1612.0,321.0,1108.0,1347.0,2056.0,1260.0,41.0,2104.0,2044.0,1708.0,1740.0,163.0,4406.0,508.0,78.0,5044.0,78.0,141.0,151.0,101.0,52.0,286.0,286.0,262.0,253.0,845.0,11.0,65.0,56.0,65.0,320.0,61.0,1076.0,272.0,8608.0,9499.0,4334.0,937.0,17706.0,1882.0,1696.0,6195.0,23901.0,23901.0,24206.0,24206.0,593.0,168999.0,121.0,232.0,55.0,364.0,338.0,679.0,172805.0,6372.0,175664.0,1408.0,816.0,732.0,178210.0
2013-01-25,3304.0,11432.0,719.0,515.0,511.0,7719.0,205.0,444.0,169.0,612.0,1279.0,784.0,2064.0,117.0,2560.0,8704.0,12936.0,14266.0,1058.0,15024.0,1783.0,2600.0,3391.0,94.0,111072.0,474.0,116040.0,136248.0,773.0,318.0,138052.0,414.0,141362.0,79.0,734.0,147424.0,142910.0,134.0,128.0,236.0,225.0,74.0,1010.0,106.0,379.0,601.0,814.0,2093.0,2730.0,424.0,424.0,1182.0,344.0,1600.0,320.0,1104.0,1341.0,2049.0,1262.0,41.0,2093.0,2030.0,1695.0,1729.0,164.0,4392.0,508.0,78.0,5066.0,78.0,141.0,149.0,98.0,51.0,286.0,283.0,266.0,253.0,845.0,14.0,64.0,54.0,65.0,318.0,61.0,1068.0,269.0,8592.0,9481.0,4318.0,932.0,17661.0,1850.0,1721.0,6230.0,23892.0,23892.0,24234.0,24234.0,635.0,171609.0,115.0,236.0,59.0,387.0,332.0,687.0,176783.0,6416.0,179726.0,1390.0,730.0,720.0,182431.0
2013-01-26,3278.0,11427.0,711.0,504.0,511.0,7710.0,205.0,442.0,169.0,611.0,1273.0,780.0,2052.0,116.0,2565.0,8684.0,12976.0,14314.0,1038.0,15031.0,1746.0,2550.0,3374.0,92.0,110909.0,472.0,115847.0,128123.0,767.0,311.0,129564.0,406.0,132634.0,78.0,719.0,138466.0,134346.0,134.0,129.0,238.0,221.0,90.0,1032.0,102.0,378.0,555.0,788.0,2099.0,2745.0,422.0,423.0,1174.0,343.0,1587.0,320.0,1100.0,1336.0,2043.0,1261.0,41.0,2082.0,2016.0,1683.0,1718.0,164.0,4382.0,508.0,78.0,5088.0,78.0,141.0,149.0,96.0,50.0,286.0,283.0,270.0,254.0,844.0,19.0,63.0,50.0,65.0,315.0,60.0,1060.0,264.0,8572.0,9460.0,4298.0,978.0,17646.0,1823.0,1684.0,6215.0,23861.0,23861.0,24289.0,24289.0,637.0,167280.0,121.0,231.0,58.0,392.0,354.0,696.0,174486.0,6342.0,177656.0,1403.0,936.0,744.0,180971.0
2013-01-27,3271.0,11420.0,704.0,494.0,511.0,7701.0,205.0,442.0,169.0,611.0,1271.0,776.0,2048.0,115.0,2572.0,8668.0,13020.0,14367.0,1019.0,15043.0,1749.0,2275.0,3176.0,91.0,110753.0,462.0,115478.0,124998.0,762.0,305.0,126073.0,400.0,128727.0,77.0,704.0,133656.0,129603.0,129.0,124.0,238.0,208.0,86.0,1048.0,99.0,376.0,505.0,770.0,2120.0,2749.0,421.0,420.0,1168.0,342.0,1575.0,319.0,1096.0,1330.0,2038.0,1262.0,41.0,2068.0,2002.0,1670.0,1708.0,165.0,4371.0,508.0,78.0,5110.0,78.0,140.0,149.0,97.0,50.0,286.0,283.0,273.0,254.0,842.0,23.0,64.0,46.0,65.0,313.0,60.0,1053.0,264.0,8558.0,9444.0,4277.0,967.0,17603.0,1804.0,1729.0,6254.0,23857.0,23857.0,24322.0,24322.0,622.0,159926.0,115.0,225.0,51.0,382.0,359.0,726.0,166933.0,6357.0,170114.0,1470.0,993.0,775.0,173860.0
