, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2015-10-27, 3964, 4501, 534, 302, 462, 3743, 190, 358, 195, , , , , 74, 2245, 4006, 8506, 8297, 1558, , 518, 1726, 2246, 42, 79850, 224, 82476, 67117, 863, 332, 68213, 714, 70482, , 482, 70315, 70026, 121, 245, 193, 438, 28, 672, 44, 222, 156, 274, 1112, 2203, 302, 386, , 432, 1111, 334, 1560, , 2870, 1627, 33, 2570, 2706, 1933, , 148, , 0, 56, 6731, 116, 196, 186, 66, 40, 258, , 402, , 834, 34, , 0, 1, 400, 56, 826, 94, 10100, , 3760, 587, , 1082, 834, 2882, 16235, 16235, 16272, 16272, 38, 88987, 46, 92, 3, 200, 94, 257, 89806, 4489, 92689, 615, 264, 485, 
2015-10-28, 3911, 4513, 532, 300, 462, 3737, 192, 361, 189, , , , , 66, 2250, 4056, 9024, 8866, 1536, , 506, 1810, 2455, 38, 79491, 229, 82482, 65940, 842, 326, 67221, 570, 69882, , 488, 70520, 70570, 98, 136, 193, 222, 25, 664, 38, 218, 144, 268, 1112, 2183, 296, 392, , 422, 1238, 336, 1540, , 2846, 1493, 32, 2302, 2450, 1846, , 150, , 0, 56, 6916, 111, 188, 178, 64, 36, 246, , 393, , 828, 34, , 0, 1, 266, 53, 814, 84, 9584, , 3722, 578, , 1071, 653, 2857, 16077, 16077, 16114, 16114, 36, 89120, 45, 91, 3, 199, 87, 252, 91757, 4546, 94527, 603, 232, 469, 
2015-10-29, 3876, 4496, 528, 298, 462, 3732, 191, 362, 178, , , , , 62, 2272, 4031, 9105, 8962, 1522, , 508, 1807, 2454, 37, 78482, 226, 81516, 64764, 822, 318, 66015, 660, 68672, , 497, 69316, 69366, 120, 154, 199, 315, 28, 670, 40, 234, 216, 277, 1121, 2176, 289, 386, , 408, 1254, 333, 1516, , 2807, 1469, 34, 2322, 2396, 1683, , 153, , 0, 66, 6965, 108, 184, 178, 61, 41, 274, , 396, , 823, 34, , 0, 2, 386, 58, 806, 89, 9583, , 3705, 582, , 1052, 680, 2836, 15888, 15888, 15926, 15926, 45, 88411, 50, 93, 3, 197, 103, 251, 91490, 4562, 94369, 599, 386, 464, 
2015-10-30, 3852, 4491, 522, 292, 464, 3719, 189, 362, 182, , , , , 66, 2228, 4010, 9132, 8994, 1508, , 507, 1804, 2452, 46, 78274, 226, 81102, 63587, 804, 319, 64818, 654, 67484, , 520, 68150, 68198, 122, 146, 201, 302, 26, 673, 36, 234, 193, 285, 1153, 2172, 287, 389, , 405, 1198, 335, 1500, , 2774, 1446, 35, 2292, 2367, 1684, , 162, , 0, 89, 6996, 112, 191, 181, 72, 42, 372, , 364, , 817, 34, , 0, 6, 360, 56, 852, 98, 9776, , 3696, 634, , 1096, 768, 2838, 15910, 15910, 15954, 15954, 69, 87152, 47, 94, 3, 194, 113, 282, 90240, 4578, 93122, 604, 365, 460, 
2015-10-31, 3827, 4485, 518, 298, 469, 3719, 186, 361, 174, , , , , 67, 2203, 4004, 9107, 8970, 1513, , 504, 1628, 2347, 46, 79925, 229, 81550, 64916, 786, 318, 65816, 967, 68148, , 654, 68466, 68382, 175, 207, 214, 482, 34, 676, 46, 240, 304, 283, 1167, 2160, 285, 385, , 393, 1165, 338, 1480, , 2739, 1421, 33, 2222, 2276, 1651, , 167, , 0, 90, 7014, 104, 178, 171, 66, 38, 348, , 322, , 814, 34, , 0, 10, 311, 54, 819, 84, 9832, , 3659, 607, , 1230, 686, 2958, 16018, 16018, 16065, 16065, 50, 86212, 47, 92, 3, 186, 104, 282, 89252, 4595, 92122, 596, 286, 460, 
2015-11-01, 4186, 4502, 520, 314, 574, 3726, 186, 360, 171, , , , , 89, 2216, 3986, 9117, 8984, 1524, , 503, 1574, 2224, 70, 86523, 238, 87797, 68749, 773, 334, 69598, 2782, 72002, , 1238, 72639, 72447, 292, 372, 234, 1086, 38, 701, 110, 267, 520, 330, 1206, 2162, 283, 384, , 388, 1135, 339, 1468, , 2706, 1397, 33, 2172, 2201, 1598, , 172, , 0, 82, 7015, 100, 172, 167, 59, 37, 264, , 291, , 809, 34, , 0, 12, 399, 58, 809, 90, 9837, , 3636, 598, , 1235, 842, 3002, 16015, 16015, 16064, 16064, 64, 87874, 48, 90, 2, 172, 102, 268, 90338, 4611, 93071, 667, 464, 511, 
2015-11-02, 5412, 4520, 560, 386, 516, 3808, 186, 361, 177, , , , , 82, 2178, 4036, 9159, 9033, 1502, , 534, 1572, 2224, 65, 87556, 250, 90276, 72582, 762, 356, 73438, 2919, 75924, , 1414, 76878, 76717, 284, 334, 227, 920, 32, 719, 87, 264, 362, 333, 1279, 2172, 288, 395, , 392, 1090, 350, 1474, , 2700, 1532, 34, 2130, 2133, 1556, , 173, , 0, 84, 7022, 98, 170, 167, 62, 37, 258, , 258, , 804, 34, , 0, 20, 430, 58, 845, 94, 9879, , 3632, 598, , 1394, 829, 3074, 16096, 16096, 16144, 16144, 70, 92234, 47, 90, 2, 156, 101, 270, 94505, 4627, 97163, 712, 536, 556, 
2015-11-03,4999.0,4498.0,572.0,432.0,498.0,3899.0,188.0,363.0,173.0,597.0,1565.0,1614.0,3092.0,67.0,2150.0,4124.0,9108.0,8980.0,1484.0,11747.0,563.0,1570.0,2225.0,52.0,85592.0,254.0,88534.0,76416.0,791.0,382.0,77290.0,1463.0,79648.0,158.0,975.0,80229.0,80093.0,252.0,251.0,226.0,590.0,27.0,715.0,82.0,261.0,230.0,329.0,1300.0,2201.0,288.0,398.0,1475.0,390.0,1089.0,358.0,1450.0,2004.0,2691.0,1869.0,35.0,2292.0,2208.0,1557.0,2278.0,180.0,4972.0,0.0,85.0,7033.0,96.0,167.0,164.0,66.0,40.0,278.0,275.0,216.0,219.0,801.0,34.0,56.0,0.0,30.0,371.0,55.0,840.0,91.0,9924.0,10368.0,3656.0,594.0,15095.0,1646.0,692.0,3341.0,16383.0,16383.0,16432.0,16432.0,66.0,96420.0,46.0,89.0,2.0,144.0,104.0,278.0,98805.0,4644.0,101489.0,628.0,390.0,490.0,101624.0
2015-11-04,4174.0,4476.0,554.0,434.0,498.0,3896.0,190.0,366.0,170.0,499.0,1371.0,917.0,2273.0,59.0,2128.0,4162.0,9070.0,8941.0,1468.0,12163.0,535.0,1568.0,2224.0,40.0,84829.0,255.0,87540.0,80249.0,851.0,367.0,81135.0,990.0,83415.0,102.0,777.0,83735.0,83582.0,227.0,206.0,228.0,419.0,25.0,705.0,78.0,259.0,192.0,324.0,1303.0,2211.0,287.0,414.0,1613.0,408.0,1151.0,352.0,1436.0,1946.0,2681.0,2214.0,40.0,2656.0,2526.0,1768.0,2467.0,192.0,5174.0,0.0,86.0,7042.0,96.0,166.0,163.0,68.0,44.0,286.0,253.0,178.0,220.0,799.0,34.0,56.0,0.0,39.0,306.0,54.0,812.0,84.0,9932.0,10191.0,3610.0,585.0,14715.0,1621.0,613.0,3416.0,16451.0,16451.0,16501.0,16501.0,65.0,100039.0,45.0,86.0,2.0,140.0,102.0,286.0,102504.0,4660.0,105212.0,593.0,282.0,468.0,115540.0
2015-11-05,3964.0,4466.0,540.0,424.0,497.0,3869.0,190.0,368.0,168.0,459.0,1267.0,762.0,2030.0,59.0,2096.0,4143.0,9050.0,8922.0,1460.0,11374.0,513.0,1566.0,2222.0,34.0,84343.0,256.0,86994.0,84082.0,819.0,351.0,85007.0,920.0,87272.0,88.0,738.0,87531.0,87371.0,209.0,190.0,230.0,360.0,28.0,704.0,72.0,262.0,194.0,319.0,1304.0,2201.0,284.0,416.0,1603.0,394.0,1218.0,352.0,1388.0,1832.0,2644.0,2561.0,36.0,3070.0,2920.0,2172.0,2717.0,200.0,5416.0,0.0,88.0,7054.0,94.0,164.0,163.0,70.0,45.0,286.0,232.0,146.0,220.0,795.0,38.0,56.0,0.0,44.0,309.0,54.0,800.0,84.0,9939.0,10082.0,3561.0,575.0,14400.0,1427.0,596.0,3246.0,16211.0,16211.0,16262.0,16262.0,67.0,103560.0,46.0,84.0,2.0,138.0,103.0,287.0,106052.0,4676.0,108768.0,586.0,267.0,462.0,114250.0
