, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2019-10-07,4601.0,4546.0,800.0,746.0,675.0,3703.0,324.0,800.0,308.0,654.0,1877.0,989.0,2991.0,104.0,3735.0,4050.0,12481.0,13520.0,346.0,14908.0,740.0,2112.0,2810.0,57.0,59301.0,1214.0,62333.0,48437.0,1293.0,528.0,50513.0,406.0,54469.0,66.0,479.0,54461.0,52308.0,83.0,87.0,180.0,139.0,22.0,1137.0,39.0,245.0,205.0,847.0,458.0,983.0,547.0,517.0,1441.0,564.0,1802.0,598.0,1988.0,2455.0,3490.0,4193.0,45.0,3869.0,4098.0,2362.0,2679.0,189.0,5600.0,0.0,134.0,9157.0,151.0,213.0,245.0,134.0,88.0,290.0,345.0,181.0,267.0,1041.0,44.0,44.0,0.0,257.0,69.0,509.0,137.0,11842.0,13013.0,4897.0,749.0,20478.0,1953.0,735.0,3804.0,24282.0,24282.0,24373.0,24373.0,71.0,67944.0,45.0,59.0,6.0,155.0,134.0,368.0,74125.0,4405.0,75047.0,638.0,329.0,523.0,73329.0
2019-10-08,4770.0,4541.0,814.0,938.0,1356.0,3777.0,319.0,793.0,316.0,675.0,1896.0,984.0,3002.0,165.0,3731.0,4039.0,12482.0,13674.0,374.0,13210.0,777.0,2110.0,2819.0,64.0,59548.0,1447.0,63410.0,52999.0,1306.0,615.0,54402.0,1609.0,56674.0,83.0,745.0,56726.0,56523.0,130.0,109.0,185.0,148.0,29.0,1129.0,42.0,251.0,335.0,858.0,505.0,1043.0,552.0,538.0,1440.0,559.0,1720.0,605.0,1947.0,2422.0,3506.0,4178.0,45.0,3848.0,4072.0,2332.0,2591.0,188.0,5540.0,0.0,129.0,9200.0,152.0,215.0,249.0,133.0,89.0,286.0,345.0,181.0,364.0,1006.0,45.0,45.0,0.0,282.0,68.0,522.0,134.0,12204.0,13154.0,4879.0,743.0,21404.0,1941.0,882.0,3807.0,25210.0,25210.0,25301.0,25301.0,74.0,74077.0,49.0,60.0,7.0,163.0,135.0,359.0,74414.0,4405.0,77135.0,642.0,414.0,526.0,77976.0
2019-10-09,5981.0,4749.0,895.0,1017.0,1910.0,4161.0,318.0,789.0,323.0,747.0,1970.0,1143.0,3231.0,130.0,3792.0,4433.0,12711.0,13914.0,382.0,13575.0,1633.0,2109.0,2818.0,102.0,61053.0,1878.0,65299.0,60949.0,1297.0,873.0,62281.0,1147.0,64586.0,97.0,819.0,64198.0,63806.0,113.0,94.0,184.0,133.0,26.0,1092.0,40.0,260.0,265.0,887.0,556.0,1146.0,568.0,603.0,1555.0,584.0,1623.0,675.0,1934.0,2399.0,3585.0,4130.0,47.0,3741.0,3971.0,2302.0,2482.0,197.0,5418.0,0.0,123.0,9259.0,155.0,221.0,251.0,141.0,89.0,288.0,362.0,187.0,292.0,1015.0,56.0,47.0,0.0,487.0,74.0,583.0,147.0,12530.0,13526.0,4874.0,746.0,20308.0,2934.0,1127.0,4289.0,24597.0,24597.0,24689.0,24689.0,100.0,85258.0,49.0,65.0,9.0,191.0,148.0,352.0,86430.0,4410.0,88998.0,660.0,577.0,566.0,89866.0
2019-10-10,5268.0,4775.0,788.0,876.0,819.0,3850.0,325.0,797.0,297.0,870.0,2079.0,1141.0,3332.0,93.0,3964.0,4918.0,12744.0,13944.0,399.0,13088.0,1940.0,2108.0,2816.0,71.0,61167.0,1768.0,66011.0,64999.0,1329.0,778.0,67073.0,565.0,69327.0,75.0,594.0,69933.0,69890.0,95.0,83.0,184.0,122.0,22.0,1067.0,39.0,253.0,222.0,902.0,578.0,1237.0,566.0,622.0,2018.0,575.0,1833.0,761.0,1904.0,2379.0,3672.0,4056.0,48.0,3687.0,3866.0,2244.0,2431.0,240.0,5368.0,0.0,130.0,9279.0,151.0,216.0,240.0,159.0,93.0,297.0,363.0,185.0,292.0,963.0,62.0,50.0,0.0,336.0,71.0,624.0,143.0,12746.0,13615.0,4922.0,765.0,20200.0,4248.0,869.0,5980.0,26181.0,26181.0,26277.0,26277.0,119.0,93362.0,45.0,69.0,8.0,210.0,153.0,356.0,94262.0,4414.0,96796.0,661.0,373.0,567.0,97708.0
2019-10-11,4734.0,4700.0,748.0,848.0,781.0,3737.0,322.0,793.0,286.0,849.0,2038.0,1078.0,3223.0,94.0,3938.0,4478.0,12774.0,13969.0,430.0,13009.0,1314.0,2107.0,2812.0,56.0,59174.0,1648.0,64440.0,64999.0,1386.0,651.0,66964.0,485.0,69024.0,71.0,520.0,69571.0,69582.0,90.0,82.0,186.0,118.0,21.0,1042.0,39.0,246.0,218.0,910.0,580.0,1292.0,547.0,610.0,2002.0,579.0,2196.0,667.0,1812.0,2275.0,3572.0,3966.0,47.0,3965.0,4032.0,2298.0,2457.0,239.0,5365.0,0.0,145.0,9306.0,144.0,206.0,232.0,146.0,92.0,294.0,355.0,183.0,292.0,953.0,58.0,49.0,0.0,275.0,70.0,602.0,135.0,12814.0,13567.0,4819.0,763.0,20199.0,3369.0,763.0,5548.0,25747.0,25747.0,25836.0,25836.0,101.0,97387.0,45.0,63.0,7.0,214.0,150.0,348.0,99784.0,4419.0,102642.0,660.0,321.0,535.0,104040.0
2019-10-12,4610.0,4638.0,739.0,823.0,768.0,3771.0,317.0,782.0,288.0,816.0,1989.0,1054.0,3146.0,94.0,3842.0,4199.0,12173.0,13312.0,462.0,12606.0,918.0,2106.0,2810.0,53.0,57483.0,1573.0,62432.0,52499.0,1405.0,590.0,55860.0,492.0,59564.0,69.0,509.0,62383.0,63060.0,85.0,82.0,188.0,115.0,21.0,1019.0,39.0,244.0,219.0,922.0,580.0,1327.0,538.0,580.0,1798.0,564.0,2224.0,618.0,1759.0,2222.0,3516.0,3871.0,48.0,4201.0,4267.0,2593.0,2734.0,221.0,5507.0,0.0,146.0,9318.0,140.0,201.0,230.0,124.0,88.0,287.0,350.0,183.0,292.0,940.0,57.0,48.0,0.0,257.0,71.0,602.0,133.0,12854.0,13594.0,4707.0,751.0,20104.0,2589.0,738.0,4630.0,24734.0,24734.0,24822.0,24822.0,92.0,95644.0,45.0,61.0,6.0,208.0,145.0,341.0,98591.0,4423.0,101595.0,662.0,300.0,520.0,103273.0
2019-10-13,4567.0,4601.0,731.0,800.0,759.0,3846.0,310.0,771.0,293.0,797.0,1959.0,1046.0,3102.0,99.0,3772.0,4223.0,11394.0,12448.0,494.0,11840.0,864.0,2106.0,2806.0,52.0,56299.0,1508.0,60944.0,44999.0,1393.0,567.0,46940.0,511.0,48997.0,68.0,502.0,49690.0,49846.0,83.0,83.0,191.0,113.0,22.0,1003.0,39.0,243.0,217.0,938.0,589.0,1356.0,536.0,557.0,1629.0,568.0,2066.0,610.0,1723.0,2180.0,3475.0,3779.0,45.0,4118.0,4183.0,2731.0,2935.0,203.0,5764.0,0.0,137.0,9312.0,138.0,198.0,227.0,108.0,85.0,286.0,345.0,183.0,292.0,930.0,58.0,47.0,0.0,256.0,70.0,609.0,131.0,12918.0,13659.0,4634.0,734.0,24377.0,2278.0,734.0,4208.0,28584.0,28584.0,28672.0,28672.0,89.0,84629.0,44.0,60.0,6.0,204.0,141.0,334.0,89137.0,4427.0,92591.0,662.0,284.0,513.0,95192.0
2019-10-14,4516.0,4588.0,723.0,780.0,753.0,3809.0,304.0,765.0,291.0,806.0,1955.0,1042.0,3089.0,96.0,3741.0,4258.0,10896.0,11899.0,526.0,11465.0,868.0,2106.0,2804.0,51.0,55959.0,1436.0,60431.0,55668.0,1378.0,546.0,56232.0,495.0,56760.0,68.0,499.0,55241.0,54668.0,80.0,82.0,193.0,110.0,22.0,987.0,39.0,242.0,209.0,954.0,609.0,1390.0,538.0,539.0,1510.0,559.0,1918.0,608.0,1700.0,2145.0,3431.0,3686.0,43.0,3914.0,3935.0,2613.0,2867.0,194.0,5839.0,0.0,129.0,9300.0,136.0,196.0,226.0,100.0,84.0,296.0,341.0,183.0,292.0,922.0,60.0,47.0,0.0,256.0,69.0,624.0,130.0,12964.0,13715.0,4581.0,729.0,24046.0,2158.0,729.0,4047.0,28093.0,28093.0,28180.0,28180.0,89.0,80430.0,44.0,60.0,6.0,208.0,139.0,328.0,83034.0,4431.0,85978.0,664.0,276.0,508.0,87600.0
2019-10-15,4469.0,4567.0,719.0,758.0,757.0,3771.0,300.0,760.0,290.0,795.0,1933.0,1037.0,3057.0,96.0,3722.0,4238.0,10343.0,11285.0,557.0,10890.0,873.0,2106.0,2802.0,50.0,55647.0,1368.0,60030.0,60155.0,1365.0,523.0,62747.0,478.0,65445.0,68.0,493.0,66410.0,66400.0,79.0,84.0,193.0,109.0,23.0,968.0,39.0,242.0,216.0,969.0,630.0,1434.0,542.0,528.0,1464.0,550.0,1822.0,604.0,1680.0,2124.0,3398.0,3595.0,42.0,3732.0,3682.0,2419.0,2690.0,190.0,5718.0,0.0,124.0,9290.0,135.0,196.0,225.0,95.0,83.0,320.0,341.0,182.0,293.0,917.0,62.0,47.0,0.0,256.0,69.0,642.0,129.0,13008.0,13765.0,4522.0,727.0,14450.0,2128.0,724.0,3989.0,18439.0,18439.0,18525.0,18525.0,89.0,85121.0,44.0,59.0,6.0,210.0,139.0,323.0,86925.0,4431.0,89552.0,667.0,271.0,504.0,90500.0
2019-10-16,4446.0,4547.0,711.0,741.0,762.0,3736.0,300.0,755.0,293.0,772.0,1900.0,1031.0,3012.0,108.0,3691.0,4212.0,9912.0,10811.0,617.0,10957.0,879.0,2106.0,2801.0,54.0,55385.0,1306.0,59688.0,53730.0,1351.0,504.0,55597.0,1176.0,58056.0,100.0,598.0,59012.0,59209.0,134.0,121.0,175.0,250.0,43.0,963.0,43.0,259.0,316.0,998.0,750.0,1497.0,545.0,526.0,1419.0,548.0,1770.0,604.0,1665.0,2107.0,3378.0,3520.0,41.0,3613.0,3509.0,2253.0,2524.0,187.0,5544.0,0.0,123.0,9284.0,134.0,195.0,224.0,87.0,83.0,332.0,344.0,169.0,299.0,925.0,64.0,47.0,0.0,259.0,69.0,682.0,127.0,13014.0,13786.0,4442.0,725.0,13575.0,2155.0,782.0,4006.0,17581.0,17581.0,17667.0,17667.0,89.0,83332.0,46.0,59.0,6.0,212.0,140.0,321.0,86949.0,4436.0,89991.0,667.0,279.0,507.0,91788.0
